genID,reachGoal,bC-ID,bC-C,bC-Sm,bC-Sf,bC-A,bSm-ID,bSm-C,bSm-Sm,bSm-Sf,bSm-A,bSf-ID,bSf-C,bSf-Sm,bSf-Sf,bSf-A,bA-ID,bA-C,bA-Sm,bA-Sf,bA-A,bCCD-ID,bCCD-C,bCCD-Sm,bCCD-Sf,bCCD-A,bSmCD-ID,bSmCD-C,bSmCD-Sm,bSmCD-Sf,bSmCD-A,bSfCD-ID,bSfCD-C,bSfCD-Sm,bSfCD-Sf,bSfCD-A,bACD-ID,bACD-C,bACD-Sm,bACD-Sf,bACD-A,Cmd-bCCD,Cmd-bSmCD,Cmd-bSfCD,Cmd-bACD,bf-ID,bf-C,bf-Sm,bf-Sf,bf-A,Cmd-bf,f_gr,f_t,f_sm,f_sf
0,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0016651986,0.57471263,0.729927,1.3063048,FLLRFLLFLFFLFFFBBBBFBLBRBFLLRBLFFLFRRRBRFBLBLLFBLRFRRRBLBFFBLLFBBBFBFBRLBLBRRFLBLBRBLFFFLRLRFBBBLBFF,0.039238334,0.0,0.14942527,0.729927
1,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,0.015118956,0.56179774,0.390625,0.9675417,LRLBLFFFLLRLRLBFFRBBLRFFLLFLRBFLLFFLLLBLFRLBRBBLBFLRBRBLBRBBLRBBBLRFBLRBLBFRBBLRLBBFBBRBBRRLRLRBFLRR,0.1102406,0.0,0.123595476,0.390625
2,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,0.1,0.6857143,0.373057,1.1587713,LBLFFFLLFLFLLFFLLLBBBLBRBLBRBBBBBBBBLBBBRBBRRRRRRRBBRRRRFFLLFFLLLLFFLLBB,0.25,0.27999997,0.3714286,0.373057
3,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,0.5,0.62068963,0.4556962,1.5763859,LRLFFFLRFLFLLFFLLLBBFLBRLLBRLFBLFBRBLBBBLBBRBBBBBLLRBBBBRRBBRRRRFFRFRRFF,0.5,0.27999997,0.24137926,0.4556962
4,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.5,0.62068963,0.4556962,1.5763859,LRLFFFLRFLFLLFFLLLBBFLBRLLBRLFBLFBRBLBBBLBBRBBBBBLLRBBBBRRBBRRRRFFRFRRFF,0.5,0.27999997,0.24137926,0.4556962
5,T,27.0,1.0,0.6666667,0.44094488,2.1076117,32.0,1.0,0.68,0.46258503,2.142585,32.0,1.0,0.68,0.46258503,2.142585,32.0,1.0,0.68,0.46258503,2.142585,27.0,99999.0,99999.0,99999.0,299997.0,27.0,99999.0,99999.0,99999.0,299997.0,27.0,99999.0,99999.0,99999.0,299997.0,27.0,99999.0,99999.0,99999.0,299997.0,LFFFFLFLLFFLLLBLBLBBLBBBLBBRBBBBBLBBBBRRBBRRRRFFRFRRFFRR,LFFFFLFLLFFLLLBLBLBBLBBBLBBRBBBBBLBBBBRRBBRRRRFFRFRRFFRR,LFFFFLFLLFFLLLBLBLBBLBBBLBBRBBBBBLBBBBRRBBRRRRFFRFRRFFRR,LFFFFLFLLFFLLLBLBLBBLBBBLBBRBBBBBLBBBBRRBBRRRRFFRFRRFFRR,,,,,,,1.0,0.44,0.33333337,0.44094488
6,T,0.0,1.0,0.6666667,0.44094488,2.1076117,0.0,1.0,0.6666667,0.44094488,2.1076117,0.0,1.0,0.6666667,0.44094488,2.1076117,0.0,1.0,0.6666667,0.44094488,2.1076117,0.0,99999.0,99999.0,99999.0,299997.0,0.0,99999.0,99999.0,99999.0,299997.0,0.0,99999.0,99999.0,99999.0,299997.0,0.0,99999.0,99999.0,99999.0,299997.0,LFFFFLFLLFFLLLBLBLBBLBBBLBBRBBBBBLBBBBRRBBRRRRFFRFRRFFRR,LFFFFLFLLFFLLLBLBLBBLBBBLBBRBBBBBLBBBBRRBBRRRRFFRFRRFFRR,LFFFFLFLLFFLLLBLBLBBLBBBLBBRBBBBBLBBBBRRBBRRRRFFRFRRFFRR,LFFFFLFLLFFLLLBLBLBBLBBBLBBRBBBBBLBBBBRRBBRRRRFFRFRRFFRR,,,,,,,1.0,0.44,0.33333337,0.44094488
7,T,0.0,1.0,0.6666667,0.44094488,2.1076117,76.0,1.0,0.6923077,0.41860464,2.1109123,0.0,1.0,0.6666667,0.44094488,2.1076117,76.0,1.0,0.6923077,0.41860464,2.1109123,17.0,0.0,99999.0,0.9045486,99999.91,0.0,99999.0,0.24074058,99999.0,199998.25,80.0,99999.0,0.7592594,0.09545139,99999.85,76.0,0.0,99999.0,0.1616735,99999.164,LFFFFLFLLFFLLLBLBLBBLBBBLBBRBBBBBLBBBBRRBRRRRFRFRRFFRR,LFFFFLFLLFFLLLBLBLBBLBBBLBBRBBBBBLBBBBRRBBRRRRFFRFRRFFRR,LFFFFLFLLFLLLLBLBBLBBBLBBRBBBBBLBBBBRRBBRRRRFFRFRRFFRR,LFFFFLFLLFFLLLBLBLBBLBBBBBBBBBBLBBBBRRBBRRRRFFRFRRFFRR,,,,,,,1.0,0.45999998,0.38461542,0.41860464
8,T,0.0,1.0,0.6666667,0.44094488,2.1076117,80.0,1.0,0.7058824,0.3265306,2.032413,122.0,1.0,0.6666667,0.4516129,2.1182797,122.0,1.0,0.6666667,0.4516129,2.1182797,1.0,0.0,0.16121364,0.09129035,0.252504,8.0,0.0,0.0,99999.0,99999.0,0.0,99999.0,0.14548542,0.08014536,99999.23,79.0,0.0,0.14548542,0.09988726,0.24537268,LFFFFLFLLFLLLLBLBBLBBBLBBRBBBBBLBBBBRRBBRRRRFFRFRRFFRR,LFFFLFLLFLLLBLLBBLBBBBRBBBBLBBBBRBBRRRRFFRFRRFRR,LFFFFLFLLFFLLLBLBLBBLBBBLBBRBBBBBLBBBBRRBBRRRRFFRFRRFFRR,LFFFFLFLLFLLLBLBLBLBBBLBBRBBBBBLBBBBRRBBRRRRFFRFRRFFRR,,,,,,,1.0,0.45999998,0.31707323,0.40298507
9,T,0.0,1.0,0.6666667,0.44094488,2.1076117,6.0,1.0,0.7058824,0.3265306,2.032413,4.0,1.0,0.6666667,0.4516129,2.1182797,4.0,1.0,0.6666667,0.4516129,2.1182797,1.0,0.0,0.3705475,0.17860433,0.54915184,4.0,0.0,0.0,99999.0,99999.0,90.0,99999.0,0.17600997,0.062183216,99999.24,36.0,0.0,0.0,0.39798954,0.39798954,LFFFFLFLLFLLLLBLBBLBBBLBBRBBBBBLBBBBRRBBRRRRFFRFRRFFRR,LFFRFLFFLFLLLLBLLFLBLBBBLBBRBBBBBBBBBBBBRBRRRRFRRFFRFFRR,LFFFFLFLLFLLLLBLBBLBBBLBBRBBBBBLBBBBRRBRRRRFRFRRFFRR,LFFFLFLLFFLLLBLBLBBLBBBLBBRBBBBLBBBBRRBBRRRRFFRFRRFFRR,,,,,,,1.0,0.45999998,0.31707323,0.3802817
