genID,reachGoal,bC-ID,bC-C,bC-Sm,bC-Sf,bC-A,bSm-ID,bSm-C,bSm-Sm,bSm-Sf,bSm-A,bSf-ID,bSf-C,bSf-Sm,bSf-Sf,bSf-A,bA-ID,bA-C,bA-Sm,bA-Sf,bA-A,bCCD-ID,bCCD-C,bCCD-Sm,bCCD-Sf,bCCD-A,bSmCD-ID,bSmCD-C,bSmCD-Sm,bSmCD-Sf,bSmCD-A,bSfCD-ID,bSfCD-C,bSfCD-Sm,bSfCD-Sf,bSfCD-A,bACD-ID,bACD-C,bACD-Sm,bACD-Sf,bACD-A,Cmd-bCCD,Cmd-bSmCD,Cmd-bSfCD,Cmd-bACD,bf-ID,bf-C,bf-Sm,bf-Sf,bf-A,Cmd-bf,f_gr,f_t,f_sm,f_sf
0,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,0.005669978,0.5681818,0.53763443,1.1114862,FLLRBRLRRBBLLFFFBFLRLLFBFRLFFBFBLLLFFLFLRBLFBBFLRBRLLFBBLRLBFLRLLBRFBBRRFBLLRBFFBLBBFRBLFBLLBBLLRBLF,0.0702117,0.0,0.13636363,0.53763443
1,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,0.02,0.625,0.3125,0.9575,BBBRLLRRRRRLRRRRLLFLRRBBFLFLBBBBFBLLLBBLLLBBFLBLLLRRRLBFLLLRLLBLRRLLRLRLBLRFLRLFBBBRLRFBBBBFFBLRLBBB,0.125,0.0,0.25,0.3125
2,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,0.1464466,0.661157,0.42105263,1.2286563,RBLLFLLFLLFLBLLLBBLLBBBLBRRBLBLFLBBLBLLLLLBBLLBBRRBBRRFFRRRRBBBBLLBBLLBBBBRRFFFF,0.2928932,0.19999999,0.32231402,0.42105263
3,T,105.0,1.0,0.6041667,0.30366492,1.9078317,124.0,1.0,0.63917524,0.4189189,2.058094,124.0,1.0,0.63917524,0.4189189,2.058094,124.0,1.0,0.63917524,0.4189189,2.058094,110.0,0.0,0.46357077,99999.0,99999.46,105.0,99999.0,0.274795,0.10881134,99999.38,105.0,99999.0,0.274795,0.10881134,99999.38,119.0,0.0,0.5364292,0.14139669,0.6778259,RBLRFLLFFLFLBLLLBBLLBBLLBRBBLBLFLBBFBLFRBLBLLBBBLRBBBBLFRFBLBBBB,BBBRRLBRLRBLFLBBBBBLLBBLLLFLFLBLBLBLRBBBBBLRLBLLBLFBLLFLLL,BBBRRLBRLRBLFLBBBBBLLBBLLLFLFLBLBLBLRBBBBBLRLBLLBLFBLLFLLL,RRLLFLLFLRLFBLLLBBLLBBLLBBBBLBLFRBLLBLRLRLBBLLBBRBBBBRLLBR,,,,,,,1.0,0.42000002,0.22105265,0.30366492
4,T,0.0,1.0,0.6041667,0.30366492,1.9078317,94.0,1.0,0.71428573,0.31746033,2.0317461,97.0,1.0,0.6268657,0.3442623,1.971128,94.0,1.0,0.71428573,0.31746033,2.0317461,4.0,0.0,99999.0,0.2889224,99999.29,44.0,0.0,0.07420736,99999.0,99999.07,11.0,0.0,0.16170523,0.148713,0.31041822,11.0,0.0,0.16170523,0.148713,0.31041822,RBLFLLLFLLFLBLBLBBLFBBBLBRFBLFBFBBFLBLBLBFBLLBBBFBBBBLBFBRBBBFBFLL,BBBRBLLBBBBBLLBBLLLLFLBLBLBBBBBLBLBLLLFLLL,RRLLFLLFLRLFBLLLBBLLBBLLBBBBLBLFRBLLBLRLRLBBLLBBRBBBBRLLBR,RRLLFLLFLRLFBLLLBBLLBBLLBBBBLBLFRBLLBLRLRLBBLLBBRBBBBRLLBR,,,,,,,1.0,0.42000002,0.22105265,0.30366492
5,T,0.0,1.0,0.6041667,0.30366492,1.9078317,28.0,1.0,0.7346939,0.28346458,2.0181584,83.0,1.0,0.6451613,0.34188035,1.9870416,4.0,1.0,0.71428573,0.31746033,2.0317461,1.0,0.0,0.13376461,0.09784019,0.2316048,28.0,0.0,0.024410047,0.13290823,0.15731826,23.0,0.0,0.2549718,0.030831961,0.28580377,28.0,0.0,0.024410047,0.13290823,0.15731826,RBLRFLLFFLFLBLLLBBLLBBLLBRBBLBLFLBBFBLFRBLBLLBBBLRBBBBLFRFBLBBBB,BBBBBLBBBBLLBLLLLLBLBLBBBBBLBLLLLLLL,RRLLFLLFLRLFBLLLBBLLBBLLBBBBLBLFRBLLBLRLRLBBLLBBRBBBBRLLBR,BBBBBLBBBBLLBLLLLLBLBLBBBBBLBLLLLLLL,,,,,,,1.0,0.64,0.46938777,0.28346458
6,T,0.0,1.0,0.6041667,0.30366492,1.9078317,28.0,1.0,0.7659575,0.25,2.0159574,81.0,1.0,0.67741936,0.3442623,2.0216818,33.0,1.0,0.7659575,0.2857143,2.0516717,1.0,0.0,0.27363312,0.027260661,0.30089378,15.0,0.0,0.020436248,0.1938715,0.21430774,82.0,0.0,0.071796425,0.015177675,0.0869741,6.0,0.0,0.051812384,0.030957086,0.08276947,RRLLFLLFLRLFBLLLBBLLBBLLBBBBLBLFRBLLBLRLRLBBLLBBRBBBBRLLBR,BBBBBLBBBBLLBLLLLLBLBLBBBBBLBLLLLLLL,BBBBLBBBBBLLBBLLLLLLBLBBBBBLBLBLLLFLLL,BBBRBLLBBBBBLLBBLLLLFLBLBLBBBBBLBLBLLLFLLL,,,,,,,1.0,0.58000004,0.33333337,0.251497
7,T,0.0,1.0,0.6041667,0.30366492,1.9078317,82.0,1.0,0.8,0.2264151,2.026415,36.0,1.0,0.6567164,0.3697479,2.0264642,5.0,1.0,0.7659575,0.2857143,2.0516717,1.0,0.0,0.13313375,0.037759736,0.17089349,14.0,0.0,0.0,0.053968772,0.053968772,42.0,0.0,0.15964387,0.010147389,0.16979127,44.0,0.0,0.0,0.010516974,0.010516974,BBBRBBLBBBBLLBBLLLFLLLBLBLBBBBBLBLLLLLLL,BBBBLBBBBBLLBBLLLLLLBLBBBBBLBLBLLLFLLL,BBBRBBLBBBBLLBBLLLLLLBLBLBBBBBLLLLLLLL,BBBRBBLBBBBLLBBLLLLLLBLBLBBBBLBLLLLLLL,,,,,,,1.0,0.62,0.43396223,0.24203822
8,T,0.0,1.0,0.6041667,0.30366492,1.9078317,3.0,1.0,0.8,0.2264151,2.026415,85.0,1.0,0.6666667,0.4329897,2.0996563,85.0,1.0,0.6666667,0.4329897,2.0996563,1.0,0.0,0.25009206,0.12678194,0.376874,24.0,0.0,0.0,0.025042623,0.025042623,63.0,0.0,0.268339,3.5745683E-4,0.26869646,42.0,0.0,0.0,0.019893363,0.019893363,BBBBBLBBBBLBLLLLLLBLBLBBBBBLBLLLLLLL,BBBRBBLBBBBLLBLLLLLLBLBLBBBBBLBLLLLLLL,RBBRBLLBBBBBLLBBLLLLFLBLBLBBBBBLBLBLLLFLLL,BBBBLBBBBBLLBBLLLLLLBLBBBBBLBLLLLLLL,,,,,,,1.0,0.64,0.53191495,0.22360249
9,T,0.0,1.0,0.6041667,0.30366492,1.9078317,6.0,1.0,0.8,0.2264151,2.026415,16.0,1.0,0.7169811,0.30645162,2.0234327,2.0,1.0,0.7659575,0.2857143,2.0516717,1.0,0.0,0.055380277,0.17920513,0.2345854,11.0,0.0,0.0,99999.0,99999.0,14.0,0.0,0.31914896,8.944653E-4,0.3200434,4.0,0.0,0.0027919323,0.042618725,0.04541066,BBBRBBLBBBBLLBBLLLFLLLBLBLBBBBBLBLLLLLLL,BBBBLBBBBBLLBBLLLLLBLLBBBBBLBLLLLLLL,RBBRBLLBBBBBLLBBLLLLFLBLBLBBBBBLBLBLLLFLLL,BBBBLBBBBBLLBBLLLLFLBLBLBBBBBLBLBLLLFLLL,,,,,,,1.0,0.6,0.35593224,0.24242425
