genID,reachGoal,bC-ID,bC-C,bC-Sm,bC-Sf,bC-A,bSm-ID,bSm-C,bSm-Sm,bSm-Sf,bSm-A,bSf-ID,bSf-C,bSf-Sm,bSf-Sf,bSf-A,bA-ID,bA-C,bA-Sm,bA-Sf,bA-A,bCCD-ID,bCCD-C,bCCD-Sm,bCCD-Sf,bCCD-A,bSmCD-ID,bSmCD-C,bSmCD-Sm,bSmCD-Sf,bSmCD-A,bSfCD-ID,bSfCD-C,bSfCD-Sm,bSfCD-Sf,bSfCD-A,bACD-ID,bACD-C,bACD-Sm,bACD-Sf,bACD-A,Cmd-bCCD,Cmd-bSmCD,Cmd-bSfCD,Cmd-bACD,bf-ID,bf-C,bf-Sm,bf-Sf,bf-A,Cmd-bf,f_gr,f_t,f_sm,f_sf
0,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,0.0017373543,0.5813953,0.39370078,0.97683346,RBBRFRFLLBRFFLBRLLBBLRRFFFBLFRFLFBFBFFLRLBFBBLFBFBBLBFBBBRLBBBFBLBLRBBBRBBLLLLRFFRBFRRRLRBLFFRRLBLLR,0.040047158,0.0,0.16279066,0.39370078
1,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,0.0027216708,0.5714286,0.20366599,0.77781624,BFLBLLBRLLRLFFRLFBBBRFFLBFFBBRBFRLLRBLBBFLRRLFRFBFLRFFLBRLFBFBRBBRBLLBFBBLRBFBBRRLLFBRRLFBRRRLLBLRRR,0.049647167,0.0,0.1428572,0.20366599
2,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,0.003743396,0.5531915,0.17333333,0.73026824,FRFRLLFLLFLBRBLBBFBRFLBLBBBBRBRRLRRRRFBBFLBFBFRRLBFBFRRBFLRLRRLBFLBFBRFLBFRBFB,0.057757698,0.22000003,0.106382966,0.17333333
3,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,0.005333058,0.6605505,0.24,0.90588355,RLFLBRLBLBLBBBRLRRBRRRRBLFRRBRFRBBBBBBBBRRBBRRRRRRFFRRBBBBLLFFFFFFLLBFLL,0.06822746,0.27999997,0.32110095,0.24
4,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.005333058,0.6605505,0.24,0.90588355,RLFLBRLBLBLBBBRLRRBRRRRBLFRRBRFRBBBBBBBBRRBBRRRRRRFFRRBBBBLLFFFFFFLLBFLL,0.06822746,0.27999997,0.32110095,0.24
5,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,0.01450513,0.6857143,0.13610587,0.8363253,RLLLBRLFLBBBBBBRRRRLRRRBLFRRBRFBFBBBBBLLRRLLLLRRRRFFRLBBLLLLLLLRRRLLRRLL,0.10819419,0.27999997,0.3714286,0.13610587
6,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,0.2,0.6923077,0.15824176,1.0505495,RLLLBLBBFBFBBBBLRFFBRLBRRRRLRLLRRRLLRRRRRBBBBLBLLLLLLLBBBBBBRRBBBBRRBBFF,0.33333334,0.27999997,0.38461542,0.15824176
7,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.2,0.6923077,0.15824176,1.0505495,RLLLBLBBFBFBBBBLRFFBRLBRRRRLRLLRRRLLRRRRRBBBBLBLLLLLLLBBBBBBRRBBBBRRBBFF,0.33333334,0.27999997,0.38461542,0.15824176
8,T,115.0,1.0,0.65384614,0.1607565,1.8146026,115.0,1.0,0.65384614,0.1607565,1.8146026,115.0,1.0,0.65384614,0.1607565,1.8146026,115.0,1.0,0.65384614,0.1607565,1.8146026,115.0,99999.0,99999.0,99999.0,299997.0,115.0,99999.0,99999.0,99999.0,299997.0,115.0,99999.0,99999.0,99999.0,299997.0,115.0,99999.0,99999.0,99999.0,299997.0,RLLFBLBBFLFBBBBBBBFFRLBRRRRLRRLRRRLRRBFBRLBBBLBLLLLLLLBBBBBBFRRBRBRR,RLLFBLBBFLFBBBBBBBFFRLBRRRRLRRLRRRLRRBFBRLBBBLBLLLLLLLBBBBBBFRRBRBRR,RLLFBLBBFLFBBBBBBBFFRLBRRRRLRRLRRRLRRBFBRLBBBLBLLLLLLLBBBBBBFRRBRBRR,RLLFBLBBFLFBBBBBBBFFRLBRRRRLRRLRRRLRRBFBRLBBBLBLLLLLLLBBBBBBFRRBRBRR,,,,,,,1.0,0.32,0.3076923,0.1607565
9,T,0.0,1.0,0.65384614,0.1607565,1.8146026,0.0,1.0,0.65384614,0.1607565,1.8146026,119.0,1.0,0.64761907,0.16585366,1.8134726,0.0,1.0,0.65384614,0.1607565,1.8146026,0.0,99999.0,99999.0,99999.0,299997.0,0.0,99999.0,99999.0,99999.0,299997.0,0.0,99999.0,99999.0,99999.0,299997.0,0.0,99999.0,99999.0,99999.0,299997.0,RLLFBLBBFLFBBBBBBBFFRLBRRRRLRRLRRRLRRBFBRLBBBLBLLLLLLLBBBBBBFRRBRBRR,RLLFBLBBFLFBBBBBBBFFRLBRRRRLRRLRRRLRRBFBRLBBBLBLLLLLLLBBBBBBFRRBRBRR,RLLFBLBBFLFBBBBBBBFFRLBRRRRLRRLRRRLRRBFBRLBBBLBLLLLLLLBBBBBBFRRBRBRR,RLLFBLBBFLFBBBBBBBFFRLBRRRRLRRLRRRLRRBFBRLBBBLBLLLLLLLBBBBBBFRRBRBRR,,,,,,,1.0,0.32,0.3076923,0.1607565
10,T,0.0,1.0,0.65384614,0.1607565,1.8146026,102.0,1.0,0.68686867,0.16152018,1.8483889,1.0,1.0,0.64761907,0.16585366,1.8134726,102.0,1.0,0.68686867,0.16152018,1.8483889,1.0,0.0,99999.0,99999.0,199998.0,0.0,99999.0,1.0,99999.0,199999.0,102.0,99999.0,99999.0,1.0,199999.0,1.0,0.0,99999.0,99999.0,199998.0,RFLLLLBBFBFRBBLBBBFBRLBRRRRLFBRRRRLRRBFBLRBBBBLLLLLLLLBBBBBRLRRBRBRR,RLLFBLBBFLFBBBBBBBFFRLBRRRRLRRLRRRLRRBFBRLBBBLBLLLLLLLBBBBBBFRRBRBRR,RLLFRLBBFLLBBBBBBRRRRLRRRRLLLRRRRBLRLRFBBFBBBBLLLLLLRLLLBBBBBRRBRBRR,RFLLLLBBFBFRBBLBBBFBRLBRRRRLFBRRRRLRRBFBLRBBBBLLLLLLLLBBBBBRLRRBRBRR,,,,,,,1.0,0.32,0.29523814,0.16585366
11,T,0.0,1.0,0.65384614,0.1607565,1.8146026,0.0,1.0,0.65384614,0.1607565,1.8146026,0.0,1.0,0.65384614,0.1607565,1.8146026,0.0,1.0,0.65384614,0.1607565,1.8146026,0.0,99999.0,99999.0,99999.0,299997.0,0.0,99999.0,99999.0,99999.0,299997.0,0.0,99999.0,99999.0,99999.0,299997.0,0.0,99999.0,99999.0,99999.0,299997.0,RLLFBLBBFLFBBBBBBBFFRLBRRRRLRRLRRRLRRBFBRLBBBLBLLLLLLLBBBBBBFRRBRBRR,RLLFBLBBFLFBBBBBBBFFRLBRRRRLRRLRRRLRRBFBRLBBBLBLLLLLLLBBBBBBFRRBRBRR,RLLFBLBBFLFBBBBBBBFFRLBRRRRLRRLRRRLRRBFBRLBBBLBLLLLLLLBBBBBBFRRBRBRR,RLLFBLBBFLFBBBBBBBFFRLBRRRRLRRLRRRLRRBFBRLBBBLBLLLLLLLBBBBBBFRRBRBRR,,,,,,,1.0,0.32,0.3076923,0.1607565
12,T,0.0,1.0,0.65384614,0.1607565,1.8146026,122.0,1.0,0.69473684,0.1575179,1.8522547,0.0,1.0,0.65384614,0.1607565,1.8146026,122.0,1.0,0.69473684,0.1575179,1.8522547,111.0,0.0,1.0,99999.0,100000.0,111.0,0.0,1.0,99999.0,100000.0,122.0,99999.0,99999.0,1.0,199999.0,111.0,0.0,1.0,99999.0,100000.0,RLLBBLFBFLFBBBBBBRLFBRRRRRRLRRRLRRLLRBFBBFBBBLBLLLLLLLBBBBBBFRRRRBBR,RLLBBLFBFLFBBBBBBRLFBRRRRRRLRRRLRRLLRBFBBFBBBLBLLLLLLLBBBBBBFRRRRBBR,RLLLFLBBFFBBBBBBBFBFRLBRRRRLRRRRRLLRLRRBRLBBBBLLLLLLLLBBBBBBRRRBRB,RLLBBLFBFLFBBBBBBRLFBRRRRRRLRRRLRRLLRBFBBFBBBLBLLLLLLLBBBBBBFRRRRBBR,,,,,,,1.0,0.32,0.3465346,0.15044248
13,T,0.0,1.0,0.65384614,0.1607565,1.8146026,118.0,1.0,0.68,0.1588785,1.8388786,0.0,1.0,0.65384614,0.1607565,1.8146026,118.0,1.0,0.68,0.1588785,1.8388786,0.0,99999.0,99999.0,99999.0,299997.0,0.0,99999.0,99999.0,99999.0,299997.0,0.0,99999.0,99999.0,99999.0,299997.0,0.0,99999.0,99999.0,99999.0,299997.0,RLLFBLBBFLFBBBBBBBFFRLBRRRRLRRLRRRLRRBFBRLBBBLBLLLLLLLBBBBBBFRRBRBRR,RLLFBLBBFLFBBBBBBBFFRLBRRRRLRRLRRRLRRBFBRLBBBLBLLLLLLLBBBBBBFRRBRBRR,RLLFBLBBFLFBBBBBBBFFRLBRRRRLRRLRRRLRRBFBRLBBBLBLLLLLLLBBBBBBFRRBRBRR,RLLFBLBBFLFBBBBBBBFFRLBRRRRLRRLRRRLRRBFBRLBBBLBLLLLLLLBBBBBBFRRBRBRR,,,,,,,1.0,0.32,0.3076923,0.1607565
14,T,0.0,1.0,0.65384614,0.1607565,1.8146026,14.0,1.0,0.68,0.1588785,1.8388786,115.0,1.0,0.65384614,0.1646489,1.818495,14.0,1.0,0.68,0.1588785,1.8388786,14.0,0.0,99999.0,99999.0,199998.0,115.0,99999.0,1.0,99999.0,199999.0,0.0,99999.0,99999.0,1.0,199999.0,14.0,0.0,99999.0,99999.0,199998.0,RLFBBLLFFLBBBBBBBFFBBRLRRRRLRRLRRRLRRBBBBLRBLLRLLLLLLLBBBBBBFRRBRBRR,RLFFBLBBFLLRBLBBBBFBBLRRLRRRRRLRRRLRRBFBBFBBBLBLLLLLLLBBBBBBFRRBRBRR,RLLFBLBBFLFBBBBBBBFFRLBRRRRLRRLRRRLRRBFBRLBBBLBLLLLLLLBBBBBBFRRBRBRR,RLFBBLLFFLBBBBBBBFFBBRLRRRRLRRLRRRLRRBBBBLRBLLRLLLLLLLBBBBBBFRRBRBRR,,,,,,,1.0,0.32,0.36,0.1588785
15,T,0.0,1.0,0.65384614,0.1607565,1.8146026,4.0,1.0,0.68,0.1588785,1.8388786,13.0,1.0,0.65384614,0.1646489,1.818495,4.0,1.0,0.68,0.1588785,1.8388786,4.0,0.0,99999.0,99999.0,199998.0,13.0,99999.0,1.0,99999.0,199999.0,0.0,99999.0,99999.0,1.0,199999.0,4.0,0.0,99999.0,99999.0,199998.0,RLFBBLLFFLBBBBBBBFFBBRLRRRRLRRLRRRLRRBBBBLRBLLRLLLLLLLBBBBBBFRRBRBRR,RLFFBLBBFLLRBLBBBBFBBLRRLRRRRRLRRRLRRBFBBFBBBLBLLLLLLLBBBBBBFRRBRBRR,RLLFBLBBFLFBBBBBBBFFRLBRRRRLRRLRRRLRRBFBRLBBBLBLLLLLLLBBBBBBFRRBRBRR,RLFBBLLFFLBBBBBBBFFBBRLRRRRLRRLRRRLRRBBBBLRBLLRLLLLLLLBBBBBBFRRBRBRR,,,,,,,1.0,0.32,0.36,0.1588785
16,T,0.0,1.0,0.65384614,0.1607565,1.8146026,5.0,1.0,0.68,0.1588785,1.8388786,0.0,1.0,0.65384614,0.1607565,1.8146026,5.0,1.0,0.68,0.1588785,1.8388786,0.0,99999.0,99999.0,99999.0,299997.0,0.0,99999.0,99999.0,99999.0,299997.0,0.0,99999.0,99999.0,99999.0,299997.0,0.0,99999.0,99999.0,99999.0,299997.0,RLLFBLBBFLFBBBBBBBFFRLBRRRRLRRLRRRLRRBFBRLBBBLBLLLLLLLBBBBBBFRRBRBRR,RLLFBLBBFLFBBBBBBBFFRLBRRRRLRRLRRRLRRBFBRLBBBLBLLLLLLLBBBBBBFRRBRBRR,RLLFBLBBFLFBBBBBBBFFRLBRRRRLRRLRRRLRRBFBRLBBBLBLLLLLLLBBBBBBFRRBRBRR,RLLFBLBBFLFBBBBBBBFFRLBRRRRLRRLRRRLRRBFBRLBBBLBLLLLLLLBBBBBBFRRBRBRR,,,,,,,1.0,0.32,0.3076923,0.1607565
17,T,0.0,1.0,0.65384614,0.1607565,1.8146026,5.0,1.0,0.68,0.1588785,1.8388786,108.0,1.0,0.635514,0.17128463,1.8067987,5.0,1.0,0.68,0.1588785,1.8388786,5.0,0.0,99999.0,99999.0,199998.0,0.0,99999.0,1.0,1.0,100001.0,0.0,99999.0,1.0,1.0,100001.0,0.0,99999.0,1.0,1.0,100001.0,RLFBBLLFFLBBBBBBBFFBBRLRRRRLRRLRRRLRRBBBBLRBLLRLLLLLLLBBBBBBFRRBRBRR,RLLFBLBBFLFBBBBBBBFFRLBRRRRLRRLRRRLRRBFBRLBBBLBLLLLLLLBBBBBBFRRBRBRR,RLLFBLBBFLFBBBBBBBFFRLBRRRRLRRLRRRLRRBFBRLBBBLBLLLLLLLBBBBBBFRRBRBRR,RLLFBLBBFLFBBBBBBBFFRLBRRRRLRRLRRRLRRBFBRLBBBLBLLLLLLLBBBBBBFRRBRBRR,,,,,,,1.0,0.32,0.3076923,0.1607565
18,T,0.0,1.0,0.65384614,0.1607565,1.8146026,10.0,1.0,0.68,0.1588785,1.8388786,22.0,1.0,0.635514,0.17128463,1.8067987,10.0,1.0,0.68,0.1588785,1.8388786,10.0,0.0,99999.0,99999.0,199998.0,0.0,99999.0,1.0,1.0,100001.0,0.0,99999.0,1.0,1.0,100001.0,0.0,99999.0,1.0,1.0,100001.0,RLFBBLLFFLBBBBBBBFFBBRLRRRRLRRLRRRLRRBBBBLRBLLRLLLLLLLBBBBBBFRRBRBRR,RLLFBLBBFLFBBBBBBBFFRLBRRRRLRRLRRRLRRBFBRLBBBLBLLLLLLLBBBBBBFRRBRBRR,RLLFBLBBFLFBBBBBBBFFRLBRRRRLRRLRRRLRRBFBRLBBBLBLLLLLLLBBBBBBFRRBRBRR,RLLFBLBBFLFBBBBBBBFFRLBRRRRLRRLRRRLRRBFBRLBBBLBLLLLLLLBBBBBBFRRBRBRR,,,,,,,1.0,0.32,0.3076923,0.1607565
