genID,reachGoal,bC-ID,bC-C,bC-Sm,bC-Sf,bC-A,bSm-ID,bSm-C,bSm-Sm,bSm-Sf,bSm-A,bSf-ID,bSf-C,bSf-Sm,bSf-Sf,bSf-A,bA-ID,bA-C,bA-Sm,bA-Sf,bA-A,bCCD-ID,bCCD-C,bCCD-Sm,bCCD-Sf,bCCD-A,bSmCD-ID,bSmCD-C,bSmCD-Sm,bSmCD-Sf,bSmCD-A,bSfCD-ID,bSfCD-C,bSfCD-Sm,bSfCD-Sf,bSfCD-A,bACD-ID,bACD-C,bACD-Sm,bACD-Sf,bACD-A,Cmd-bCCD,Cmd-bSmCD,Cmd-bSfCD,Cmd-bACD,bf-ID,bf-C,bf-Sm,bf-Sf,bf-A,Cmd-bf,f_gr,f_t,f_sm,f_sf
0,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,0.00546888,0.5988024,0.65789473,1.262166,LBBBRBBRBBLRBBLRBFRLRRRLFLFLRFRFLLBLLLLRRRBRFLBBBFFBBLLLLLRLLLBBRLFFRRBFLRRLRRLBBRBBRBRLFLBBLFRBBLBF,0.0690356,0.0,0.19760478,0.65789473
1,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,0.032988373,0.57471263,0.29325512,0.90095615,LBBBRBBLBBBLLBLRRFLLRRBLLLFBRLRFLLBLLRLBLLBRFLBBBFFBBFLRLLRBRLBBRLFFRFBFLRBLRLRBBRBBRBLLFLBBLFRLBFLB,0.15590376,0.0,0.14942527,0.29325512
2,T,29.0,1.0,0.63461536,0.4074074,2.0420227,29.0,1.0,0.63461536,0.4074074,2.0420227,29.0,1.0,0.63461536,0.4074074,2.0420227,29.0,1.0,0.63461536,0.4074074,2.0420227,29.0,99999.0,99999.0,99999.0,299997.0,29.0,99999.0,99999.0,99999.0,299997.0,29.0,99999.0,99999.0,99999.0,299997.0,29.0,99999.0,99999.0,99999.0,299997.0,RRBBLBBFBBBRRLLBBLLBLFLLBLLBLLBRFLBLFRBBLBBBBRBBLLBBLLBBLLFFFFLLFF,RRBBLBBFBBBRRLLBBLLBLFLLBLLBLLBRFLBLFRBBLBBBBRBBLLBBLLBBLLFFFFLLFF,RRBBLBBFBBBRRLLBBLLBLFLLBLLBLLBRFLBLFRBBLBBBBRBBLLBBLLBBLLFFFFLLFF,RRBBLBBFBBBRRLLBBLLBLFLLBLLBLLBRFLBLFRBBLBBBBRBBLLBBLLBBLLFFFFLLFF,,,,,,,1.0,0.33999997,0.26923072,0.4074074
3,T,0.0,1.0,0.63461536,0.4074074,2.0420227,82.0,1.0,0.7169811,0.35185185,2.068833,91.0,1.0,0.6885246,0.44210526,2.1306298,80.0,1.0,0.7118644,0.4329897,2.144854,2.0,0.0,99999.0,0.02599561,99999.02,91.0,0.0,0.0,99999.0,99999.0,27.0,0.0,0.20780805,0.017574854,0.2253829,82.0,0.0,0.038708396,0.021890992,0.060599387,FLBFFLBBRRFBBRBBFBBBBBLFLBRBRLLFLLBFBLBLFFFBLBLBFRLLBBFBFBLBBLBRFFFLBFFRRBLBLBRBBLBBRLFBRBLLLLLLLFLB,RRBBLBBBBBLLBLLLBLLBLLBLBBBBBBBLBLLLLFLLFF,FLFLBBRBRBBBBBLFLBRBLFLLBLBLFLBLLBBBBBRFLLBRBBLBRBLLLLLLLFLB,RBBBBBBLBLBLLLBLBLLBBLBBBBBBLLLLLLLLFF,,,,,,,1.0,0.62,0.43396223,0.35185185
4,T,0.0,1.0,0.63461536,0.4074074,2.0420227,5.0,1.0,0.7017544,0.3508772,2.0526316,10.0,1.0,0.6885246,0.44210526,2.1306298,10.0,1.0,0.6885246,0.44210526,2.1306298,2.0,0.0,0.0982479,0.08784006,0.18608797,19.0,0.0,0.0,0.12533747,0.12533747,9.0,0.0,0.22822775,0.0051945522,0.23342231,43.0,0.0,0.04488112,0.008186113,0.053067233,FLBFFLBBRRFBBRBBFBBBBBLFLBRBRLLFLLBFBLBLFFFBLBLBFRLLBBFBFBLBBLBRFFFLBFFRRBLBLBRBBLBBRLFBRBLLLLLLLFLB,RRBBLBBBBBBLLBLFLLBLLBLLBRFLBBLBBBBRBBLLBBLLBLLFFFLLFF,FLFLBBRBRBBBBBLFLBRBLFLLBLBLFLBLLBBBBBRFLLBRBBLBRBLLLLLLLFLB,RBBLBBBBBLLBLFLBLBLLBLFRBBLBBBBBLLBBLLBLLFFLLF,,,,,,,1.0,0.53999996,0.26027393,0.33333334
5,T,0.0,1.0,0.63461536,0.4074074,2.0420227,35.0,1.0,0.72727275,0.43956044,2.1668332,35.0,1.0,0.72727275,0.43956044,2.1668332,35.0,1.0,0.72727275,0.43956044,2.1668332,1.0,0.0,0.25704816,0.03419592,0.2912441,17.0,0.0,0.0,0.056465376,0.056465376,29.0,0.0,0.051437903,0.0014054764,0.05284338,29.0,0.0,0.051437903,0.0014054764,0.05284338,FLFLBBRRBRBBBBBBLFLBRBLFLLBLBLFLBLLBBLBBLBRFFLFRRBLLBRBBLBRBLLLLLLLFLB,RRBLBBBBBLBLLBLLLBLLBLBBLBBBBBLLLLLLLF,RBLBBBBBLBBLLLLLBLLBBBBBBBLLBLLBLLFLLF,RBLBBBBBLBBLLLLLBLLBBBBBBBLLBLLBLLFLLF,,,,,,,1.0,0.62,0.38181818,0.28787878
6,T,0.0,1.0,0.63461536,0.4074074,2.0420227,12.0,1.0,0.7755102,0.3275862,2.1030965,14.0,1.0,0.6506024,0.4390244,2.0896268,12.0,1.0,0.7755102,0.3275862,2.1030965,1.0,0.0,0.015071039,0.12470803,0.13977906,15.0,0.0,0.0,0.0017270938,0.0017270938,15.0,0.0,0.0,0.0017270938,0.0017270938,15.0,0.0,0.0,0.0017270938,0.0017270938,RRBBLBBBBBLLBLFLLBLLBLLBRFLBLFRBBLBBBBRBBLLBBLLBBLLFFFLLFF,RBLBBBBBLBBLLLLLBLLBBBBBBBLLBLLBLLFLLF,RBLBBBBBLBBLLLLLBLLBBBBBBBLLBLLBLLFLLF,RBLBBBBBLBBLLLLLBLLBBBBBBBLLBLLBLLFLLF,,,,,,,1.0,0.62,0.38181818,0.28787878
7,T,0.0,1.0,0.63461536,0.4074074,2.0420227,5.0,1.0,0.7659575,0.2857143,2.0516717,0.0,1.0,0.63461536,0.4074074,2.0420227,49.0,1.0,0.72727275,0.3960396,2.1233125,1.0,0.0,0.009169714,0.02565619,0.034825902,7.0,0.0,0.0,0.058198705,0.058198705,39.0,0.0,0.111352056,0.009869229,0.12122129,10.0,0.0,0.0,0.01107464,0.01107464,RBBLBBBBLBBLLLLBLLBLBBBBBBLLBLLBLLLLFF,RBBBBBBBLLLLLBLLBLLBBLBBLBBBBBLLLLFLLF,RBBBBBBBLBLLBLLLBLLBLBBLBBBBLLLLLLLF,RBLBBBBBLBBLLLLLBLLBBBBBBBLLBLLBLLFLLF,,,,,,,1.0,0.62,0.38181818,0.28787878
8,T,0.0,1.0,0.63461536,0.4074074,2.0420227,12.0,1.0,0.74509805,0.29457363,2.0396717,0.0,1.0,0.63461536,0.4074074,2.0420227,4.0,1.0,0.72727275,0.3960396,2.1233125,1.0,0.0,0.08880939,0.011771214,0.10058061,11.0,0.0,0.0,0.02565619,0.02565619,1.0,0.0,0.08880939,0.011771214,0.10058061,11.0,0.0,0.0,0.02565619,0.02565619,RBBBBBBLLLLLBLBBLBLBBBBBLBBBLLLLLLBLLFFF,RBBLBBBBLBBLLLLBLLBLBBBBBBLLBLLBLLLLFF,RBBBBBBLLLLLBLBBLBLBBBBBLBBBLLLLLLBLLFFF,RBBLBBBBLBBLLLLBLLBLBBBBBBLLBLLBLLLLFF,,,,,,,1.0,0.62,0.38181818,0.304
9,T,0.0,1.0,0.63461536,0.4074074,2.0420227,98.0,1.0,0.7826087,0.15189873,1.9345075,0.0,1.0,0.63461536,0.4074074,2.0420227,82.0,1.0,0.754717,0.3960396,2.1507566,1.0,0.0,0.07328238,0.026061976,0.09934436,17.0,0.0,0.0,0.004336878,0.004336878,17.0,0.0,0.0,0.004336878,0.004336878,17.0,0.0,0.0,0.004336878,0.004336878,RRBLBBBBLBBLBLLLBLLBLLBLBBBBBBBLLLLLLLFF,RRBLBBBBBLLBLLLBLLBLLBLBBBBBBBLLLLLLLF,RRBLBBBBBLLBLLLBLLBLLBLBBBBBBBLLLLLLLF,RRBLBBBBBLLBLLLBLLBLLBLBBBBBBBLLLLLLLF,,,,,,,1.0,0.62,0.43396223,0.30645162
