genID,reachGoal,bC-ID,bC-C,bC-Sm,bC-Sf,bC-A,bSm-ID,bSm-C,bSm-Sm,bSm-Sf,bSm-A,bSf-ID,bSf-C,bSf-Sm,bSf-Sf,bSf-A,bA-ID,bA-C,bA-Sm,bA-Sf,bA-A,bCCD-ID,bCCD-C,bCCD-Sm,bCCD-Sf,bCCD-A,bSmCD-ID,bSmCD-C,bSmCD-Sm,bSmCD-Sf,bSmCD-A,bSfCD-ID,bSfCD-C,bSfCD-Sm,bSfCD-Sf,bSfCD-A,bACD-ID,bACD-C,bACD-Sm,bACD-Sf,bACD-A,Cmd-bCCD,Cmd-bSmCD,Cmd-bSfCD,Cmd-bACD,bf-ID,bf-C,bf-Sm,bf-Sf,bf-A,Cmd-bf,f_gr,f_t,f_sm,f_sf
0,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,0.0044844067,0.56497175,0.4347826,1.0042387,RBRLBRBRRBRBFLLLRBBBLLLLRBLLBFLLBFBBRRFFFRBBLFFRLBRLFFBLBLFLRRBLFRBBFBFBLBFFRBFFRFRFBLFRFLBLBFLLRLBR,0.06289508,0.0,0.12994349,0.4347826
1,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,0.016055416,0.5813953,0.42372882,1.0211796,LRFBRLFBBBLRBBRRBBBRRFBFLFFRBLFBFLLBBFLLBRBFRLLRLBLFFBBLBFLRBLBLLLRRLLRLLRRLFBLLBFRLBBLFBLRLBBBFFBBB,0.11327045,0.0,0.16279066,0.42372882
2,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,0.03846154,0.5952381,0.40816328,1.041863,LRRBLLFRRLLRBLRRBBBLRRBFLLBLBLBBBRFBBFLRBRFFFFBFLBFFBBLLBRLBFLLLLFRLBLBLBBFBFLLBBRLLRBRBFLBBBBBFLLRR,0.16666667,0.0,0.19047618,0.40816328
3,T,119.0,1.0,0.6296296,0.34871796,1.9783475,119.0,1.0,0.6296296,0.34871796,1.9783475,119.0,1.0,0.6296296,0.34871796,1.9783475,119.0,1.0,0.6296296,0.34871796,1.9783475,119.0,99999.0,99999.0,99999.0,299997.0,119.0,99999.0,99999.0,99999.0,299997.0,119.0,99999.0,99999.0,99999.0,299997.0,119.0,99999.0,99999.0,99999.0,299997.0,LBFBBBBBFBBBBRBFLFFLBLFLLBLLBFBLRBRLLLLLBBBFBFBBBRBBBBRLFBLLLLLLLFLR,LBFBBBBBFBBBBRBFLFFLBLFLLBLLBFBLRBRLLLLLBBBFBFBBBRBBBBRLFBLLLLLLLFLR,LBFBBBBBFBBBBRBFLFFLBLFLLBLLBFBLRBRLLLLLBBBFBFBBBRBBBBRLFBLLLLLLLFLR,LBFBBBBBFBBBBRBFLFFLBLFLLBLLBFBLRBRLLLLLBBBFBFBBBRBBBBRLFBLLLLLLLFLR,,,,,,,1.0,0.32,0.25925922,0.34871796
4,T,0.0,1.0,0.6296296,0.34871796,1.9783475,85.0,1.0,0.7755102,0.33333334,2.1088436,0.0,1.0,0.6296296,0.34871796,1.9783475,90.0,1.0,0.7755102,0.34234235,2.1178524,47.0,0.0,0.24052347,99999.0,99999.24,47.0,0.0,0.24052347,99999.0,99999.24,85.0,0.0,0.26506677,0.14487126,0.40993804,85.0,0.0,0.26506677,0.14487126,0.40993804,LBBBBBBBLBLFLLBLLBBLLLLLBBBBBRBBBLLLLLLLFR,LBBBBBBBLBLFLLBLLBBLLLLLBBBBBRBBBLLLLLLLFR,LBBBBBBBBLLLLLBLLLLLBBBBBBBBLBLLLLLFLR,LBBBBBBBBLLLLLBLLLLLBBBBBBBBLBLLLLLFLR,,,,,,,1.0,0.62,0.5510204,0.33333334
5,T,0.0,1.0,0.6296296,0.34871796,1.9783475,84.0,1.0,0.80851066,0.3275862,2.136097,0.0,1.0,0.6296296,0.34871796,1.9783475,84.0,1.0,0.80851066,0.3275862,2.136097,5.0,0.0,0.24230438,0.7332335,0.9755379,14.0,0.0,0.17001319,0.22899178,0.39900497,84.0,99999.0,99999.0,0.03777471,199998.03,14.0,0.0,0.17001319,0.22899178,0.39900497,LBFBBBBBFBBBBBLLLLBLLLLLLBBBBBBBLBLLLLLFLR,LBBBBBBBBLLLLLBLBLLLLBBBBBBBBLLLLLLFLR,LBBBBBBBLLLLLLBBLLLLBBBBBBBBBLLLLLLFLR,LBBBBBBBBLLLLLBLBLLLLBBBBBBBBLLLLLLFLR,,,,,,,1.0,0.62,0.5510204,0.34234235
6,T,0.0,1.0,0.6296296,0.34871796,1.9783475,87.0,1.0,0.80851066,0.28787878,2.0963895,106.0,1.0,0.6226415,0.375,1.9976416,6.0,1.0,0.7755102,0.34234235,2.1178524,4.0,0.0,0.20803934,99999.0,99999.21,6.0,0.0,0.17754677,0.57669395,0.75424075,23.0,0.0,0.7848563,0.1741788,0.9590351,6.0,0.0,0.17754677,0.57669395,0.75424075,LBBBBBBBBBLLLLBLLLLLLBBBBBBBLBLLLLLFLR,LBBBBBBBBLLLLLBLBLLLLBBBBBBBBLLLLLLFLR,LBFBBBBBFBBBBBLLLLBLLLLLLBBBBBBBLBLLLLLFLR,LBBBBBBBBLLLLLBLBLLLLBBBBBBBBLLLLLLFLR,,,,,,,1.0,0.62,0.5510204,0.34234235
7,T,0.0,1.0,0.6296296,0.34871796,1.9783475,7.0,1.0,0.80851066,0.28787878,2.0963895,122.0,1.0,0.6415094,0.3756906,2.0172,7.0,1.0,0.80851066,0.28787878,2.0963895,2.0,0.0,0.93358827,99999.0,99999.93,122.0,99999.0,0.81551725,99999.0,199998.81,7.0,0.0,99999.0,0.7459893,99999.74,7.0,0.0,99999.0,0.7459893,99999.74,LBBBBBBBBBLLLLBLLLLLLBBBBBBBLBLLLLLFLR,LBBBBBBBFBBBLRBRFFBLBRFLLLLLLFBLRLRLLLBLBBBFBBBBBLBLBBRFFBLLLLFLLLFR,LBBBBBBBBBLLLLLLLLLLBBBBBBBBLBLLLLLFLR,LBBBBBBBBBLLLLLLLLLLBBBBBBBBLBLLLLLFLR,,,,,,,1.0,0.62,0.6170213,0.28787878
8,T,0.0,1.0,0.6296296,0.34871796,1.9783475,2.0,1.0,0.80851066,0.28787878,2.0963895,11.0,1.0,0.6415094,0.3756906,2.0172,92.0,1.0,0.7755102,0.36893204,2.1444423,1.0,0.0,0.035103824,99999.0,99999.03,1.0,0.0,0.035103824,99999.0,99999.03,75.0,0.0,0.21501197,0.19036292,0.40537488,92.0,0.0,0.18448275,0.19353043,0.3780132,LBBBBBBBBBLLLLBLLLLLLBBBBBBBLBLLLLLFLR,LBBBBBBBBBLLLLBLLLLLLBBBBBBBLBLLLLLFLR,LBBBBBBBBLBLLLLLLLBLBBBBBBBLBLLLLLLLFR,LBBBBBBBBLLLLBLLLLLBBBBBBBBLBLLLLLLFLR,,,,,,,1.0,0.62,0.5510204,0.36893204
9,T,0.0,1.0,0.6296296,0.34871796,1.9783475,4.0,1.0,0.80851066,0.28787878,2.0963895,111.0,1.0,0.74509805,0.38,2.1250982,9.0,1.0,0.7755102,0.36893204,2.1444423,2.0,0.0,0.17001319,0.27272725,0.44274044,97.0,0.0,0.09964893,99999.0,99999.1,11.0,0.0,0.5458551,0.087378606,0.6332337,9.0,0.0,0.18448275,0.21294199,0.39742476,LBBBBBBBBBLLLLBLLLLLLBBBBBBBLBLLLLLFLR,LBBBBBBBBBLBLLLLLLLBLBBBBBLBLBLLLLLLFR,LBBBBBBBFBBBLRBRFFBLBRFLLLLLLFBLRLRLLLBLBBBFBBBBBLBLBBRFFBLLLLFLLLFR,LBBBBBBBBLLLLBLLLLLBBBBBBBBLBLLLLLLFLR,,,,,,,1.0,0.62,0.5510204,0.36893204
