genID,reachGoal,bC-ID,bC-C,bC-Sm,bC-Sf,bC-A,bSm-ID,bSm-C,bSm-Sm,bSm-Sf,bSm-A,bSf-ID,bSf-C,bSf-Sm,bSf-Sf,bSf-A,bA-ID,bA-C,bA-Sm,bA-Sf,bA-A,bCCD-ID,bCCD-C,bCCD-Sm,bCCD-Sf,bCCD-A,bSmCD-ID,bSmCD-C,bSmCD-Sm,bSmCD-Sf,bSmCD-A,bSfCD-ID,bSfCD-C,bSfCD-Sm,bSfCD-Sf,bSfCD-A,bACD-ID,bACD-C,bACD-Sm,bACD-Sf,bACD-A,Cmd-bCCD,Cmd-bSmCD,Cmd-bSfCD,Cmd-bACD,bf-ID,bf-C,bf-Sm,bf-Sf,bf-A,Cmd-bf,f_gr,f_t,f_sm,f_sf
0,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0.002247242,0.5847953,0.4385965,1.025639,BRRBBLRLLLFLFFFFBBFFLBRLFFLLLFFLLBLRLRLRBBBBRRFBFBRBBLFBLRBBFRFLFFRFBFBLLRRRLFRBBBLBFBLFFBRRBRLRFRBR,0.045308184,0.0,0.16959059,0.4385965
1,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,0.0022842062,0.6060606,0.4,1.0083449,BFRLLLRLFRLFBLBLRRLBBBFFFRBBLFFBFFBFFRLLFFFLLBRRFLLBLLFLBRLRRFBBFFRLLFBBLFBRFFFBBRFBLBLLBFFFBRBBBBBB,0.045663156,0.0,0.21212125,0.4
2,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,0.0048571452,0.65648854,0.59310347,1.2544491,LLBRFRFFFLFRRRRFRRRBRRBBRFFLLFFRBBRBLFRFFLBBRBBLFRBBLFFRRFLLBBBBRRRRRRBBBBLLBBBBLLFFFF,0.06530097,0.13999999,0.31297708,0.59310347
3,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,0.0068161367,0.6666667,0.4278607,1.1013435,LLFLFRRFRFFLFRBRBLLBBLFFLLLLLLFLLLBRBRBBLBBBRBLBLLFFFFLLLLBBBBRRRRBBRRBBRRBBLLLLLLFFFF,0.07650484,0.13999999,0.33333337,0.4278607
4,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,0.013168095,0.6851852,0.61157024,1.3099235,LLLFFFFLLBRFRRRFLLLLBLF8LL2LLLBLF1BLBRBBBBBBBBLBBRFFLLBBLLBBBBBBRRRRRRFFFF,0.103553385,0.26,0.3703704,0.61157024
5,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.013168095,0.6851852,0.61157024,1.3099235,LLLFFFFLLBRFRRRFLLLLBLF8LL2LLLBLF1BLBRBBBBBBBBLBBRFFLLBBLLBBBBBBRRRRRRFFFF,0.103553385,0.26,0.3703704,0.61157024
6,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.013168095,0.6851852,0.61157024,1.3099235,LLLFFFFLLBRFRRRFLLLLBLF8LL2LLLBLF1BLBRBBBBBBBBLBBRFFLLBBLLBBBBBBRRRRRRFFFF,0.103553385,0.26,0.3703704,0.61157024
7,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,0.03510585,0.66071427,0.5,1.1958201,LLFFFFFLLBRF0RR1LLLLB8F8LL2LLLFLBBBLBRBBBLBBBBLBBRFRRLBBLLBBBBBRRRRRRRFF1F,0.16018863,0.26,0.32142854,0.5
8,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.03510585,0.66071427,0.5,1.1958201,LLFFFFFLLBRF0RR1LLLLB8F8LL2LLLFLBBBLBRBBBLBBBBLBBRFRRLBBLLBBBBBRRRRRRRFF1F,0.16018863,0.26,0.32142854,0.5
9,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.03510585,0.6605505,0.54545456,1.2411108,LLFFFFFLLBRF0RR1LLLLB8F8LL2LLLFLBBBLBRBBBLBBBBLBBRFRBBLLBBBBBRRRRRRRFF1F,0.16018863,0.27999997,0.32110095,0.54545456
