genID,reachGoal,bC-ID,bC-C,bC-Sm,bC-Sf,bC-A,bSm-ID,bSm-C,bSm-Sm,bSm-Sf,bSm-A,bSf-ID,bSf-C,bSf-Sm,bSf-Sf,bSf-A,bA-ID,bA-C,bA-Sm,bA-Sf,bA-A,bCCD-ID,bCCD-C,bCCD-Sm,bCCD-Sf,bCCD-A,bSmCD-ID,bSmCD-C,bSmCD-Sm,bSmCD-Sf,bSmCD-A,bSfCD-ID,bSfCD-C,bSfCD-Sm,bSfCD-Sf,bSfCD-A,bACD-ID,bACD-C,bACD-Sm,bACD-Sf,bACD-A,Cmd-bCCD,Cmd-bSmCD,Cmd-bSfCD,Cmd-bACD,bf-ID,bf-C,bf-Sm,bf-Sf,bf-A,Cmd-bf,f_gr,f_t,f_sm,f_sf
0,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249,2.8023572E-4,0.56390977,0.93467724,1.4988673,RBLFLFLFRLRRRLFRFLBFRBRLRRLFRRFRFRRFFRLFFBBFBFBRRFBRBRBFLRFLFFLRBRLLFRRLLRRFLFRBBLFRBLBRRBLBRRLBBFRLRLBFLBBRLFFFLBBFLRBRBFLLBBRBFBRLRBBBRFRRFLRRFFBFFRFRRBBLRRBRLRRFRBBLFFFRBRRBBBLRLFBLRLRRBLBBRFRBFBRBRBLRBLFFFBLBLRLFLLLRRRLLLFFRLRLBFLFFFRLBLRFRBRRBLBFFBFFRBLRFBRLLRLLFRLBFRRRLRLBLRLFBRBBBLBFFFBBLRBBB,0.01646689,0.0,0.12781954,0.93467724
1,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245,4.0819772E-4,0.58365756,0.60703945,1.1911051,LRFBLLLRFBRBFFBLRRLLRLRRLLRFBRRRRFRBRLFRRBRRRRLRFBFBBRFRRLLRRLBFLFBRLBFFBLRRBLRFRFBFBRFRBLRLRRRLRFFRLBBLLRFFLBFRRRBRFRLBBBLFBLRRBLRLFRBBFLRBRBFFFBRLLBBBFLRFBBBRLFRBBLFBRFFBBBBFBBBLBBFRLRRRRBRBRFBRBFFRRRLBRRLRBBRRRRRLFBRBLLLBBRRRLBRLFBLFBLBRFFFBRLLRFRBFRFRRLLBBLRBFBRRRRFLLLLLFFRRFBFFRLLLFFFRBLRBBFBFB,0.019807752,0.0,0.16731513,0.60703945
2,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,7.339058E-4,0.5782609,0.46124405,1.0402389,RRLFBFBFBLRRRLLRFBLRRLRFRRBLRRRRLRRRRRLRLLBFBFRRFBRRBFBFLRFBRFRRBLRLFRRBLRRRLLRBRRBRBLBRLBBBRLBBBFFBRFBFLBBRLFFBBBBFBRFRBFLLBBRBFLLRRLBBBFFRFLBBFBBFFRLRLBBRLBBRLRLFBFBLBFFRBRRLFBLLBLBBFLRBRFRBBLFFLBLFLLRLLLFBRRBRFLLLBLFLLLRRBBLFLRFLRRBBRRRRFRFRRRFRFFLRRLRLFRLLRBBLRF,0.026385576,0.113333344,0.1565218,0.46124405
3,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,9.5677684E-4,0.6267281,0.55069387,1.1783788,FRRLLFBRLLRLRRFBLRRLRRFBLFBRRLFBRLRRRRRLLRRRLRLRFBRLBFRRRRLRRRFRBLRRLFRRBRLLBRFRFBLFBBFLFBRRLLLLBLFFRBRRLLFLBLRLFBRRRRFRLBFBLLLRFLBRLRRRLLRRRRLLRFBRLRRRRRRLRBLRLRFRRRLLBLBBLBRLLBLLRBRFFLBLBBBBBBBBBBBRBLBLBBRBLFLLLLLLBBRRBBBBLLLLBBBBLLBBLLLLLLLLFFFFLLLLLLLLFFLLFFLLLLFFLLFF,0.030017672,0.093333304,0.25345623,0.55069387
4,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,0.0018097634,0.6647564,0.59649533,1.2630615,FRRLLFBRLLRLRRFBLRRLRRFBLFBRRLFBRLRRRRRLLRRRLRLRFBRLBFRRRRLRRRFRBLRFRRBLBRFLLLBLFRFLBRRRRRRRRRRRBLBBLBLBLBRFFLBLBBBBBBBBBBBRBLBLBBRBLFLLLLLLBBRRBBBBLLLLBBBBLLBBLLLLLLLLFFFFLLLLLLLLFFLLFFLLLLFFLLFFFFFFFFFFLLBBLLLLFFFFLLBBRRRRFFRRBBRR,0.040840864,0.22666669,0.32951283,0.59649533
5,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227,0.0023380565,0.6041667,0.46312302,1.0696278,FRLRLBFRLLRLRRLLLRRLRRLRLRRRRFBBRLRRRFRLLRRRLRRLFBBLFLRRFRRRRBFRBLRFRLBLBFFLBLRLRRFRBRLRRRRRRRRLBLBBBFLRLBRFBFBBFBBBBBBBBBBRRLBLBBRBLFLRBLBRLBRRLBBBLBLLFBBLLLBBLBFLLBLBFBFFBLLLBLLLFLLLFFFLFFRFLFRFFFFFLFFFBFFBFLRBFFFFFLBBRLRRLFFFBBFR,0.046174757,0.22666669,0.20833337,0.46312302
6,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0023380565,0.6041667,0.46312302,1.0696278,FRLRLBFRLLRLRRLLLRRLRRLRLRRRRFBBRLRRRFRLLRRRLRRLFBBLFLRRFRRRRBFRBLRFRLBLBFFLBLRLRRFRBRLRRRRRRRRLBLBBBFLRLBRFBFBBFBBBBBBBBBBRRLBLBBRBLFLRBLBRLBRRLBBBLBLLFBBLLLBBLBFLLBLBFBFFBLLLBLLLFLLLFFFLFFRFLFRFFFFFLFFFBFFBFLRBFFFFFLBBRLRRLFFFBBFR,0.046174757,0.22666669,0.20833337,0.46312302
7,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,0.002581365,0.6405229,0.49399513,1.1370994,FRLRLBFRLLRLRRLLLRRLRRLRLRRRRFBBRLRRRFRLLRRRLRRLFBBLFLRRFRRRRBFRBLRFRLBLFLBRFRBRRRRRRRBLBBLBRBBBBBBBBBBRBLBBRBLLBBRBBBLBLLBLLLBBLLLBLLLLBLLLFLLLFFFLFFRFLFRFFFFFLFFFFFFFFLBBRFFRRRBBRRBBLLFFFFFFFFRR,0.04841008,0.3466667,0.2810458,0.49399513
8,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216,0.02099631,0.654321,0.41723132,1.0925486,FRRRRRRRRRRRRRRRRRRBRLFRBLLLFLFBFLBRRRBRFRFLRRBLBRLBRBBFBFFLRBBBBBBBBBBBRFLBBLRBBFBFBBLRLRBBRRBBFLLLRLBFFBLLBBLBLLLLLLLFFFLLRLLLLLFLLLBFBBFLFFRFFFFFFFFFLLFRRRFFBBFLRFLLBBRLRRLFFRRRRRLLBFRRRRRRRRRRRRLBLRBBBBRLLRBF,0.12773958,0.29333335,0.30864203,0.41723132
9,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,0.2,0.7557252,0.47216964,1.4278948,FRRRRRRRRRRRRRRRRRRRBLLLFLFLBRRRBRFRFRBLBBRBBBBBBBBBBBRFLBBBBBBBRRBLLLLLBBLBLLLLLLLFFFLLLLLLFLLLBLFFRFFFFFFFFFLLFRRRFFLLBBRFFRRRRRRRRRRRRRRBBBBBLLLLLLLLFFLLBBBBLLFFLLFFFFFFRRBBLLLLFFFFFFFFFFRRRRRRFF,0.33333334,0.33999997,0.5114504,0.47216964
