genID,bestTime,reachGoal,bestFitness,bestGene
0,100,F,6.829668E-4,n/a
1,100,F,6.829668E-4,n/a
2,100,F,0.015974442,n/a
3,100,F,0.015974442,n/a
4,100,F,0.12195122,n/a
5,100,F,10.0,n/a
6,100,Y,11.777778,FLRLBBFRBFRR1FFLRRFBBFBRFFRRLFRLFRLRFBBLFBFBFBFBFFRBBBFBBRRRRRLRRFBRRRLRRRRRLRLRRRLRRFRL4RRLRBFRRRFF
7,75,Y,11.777778,FLRLBBFRBFRR1FFLRRFBBFBRFFRRLFRLFRLRFBBBFBFBFBFBFFFBBBFBBRRRRRLRRFBRRRLRRRRR
8,75,Y,11.929012,FLRL1BFRBFRRBRFLBRFBBFBRFFRRRRRRLRLRRRRLRBFBFBFBFFRB4BFRBB6FFFLRBFBRFRFRRRLR
9,72,Y,12.227668,LRL1BRRBFRRBRFLBRFBBFBRFFRRRRRRLRLRRRRLRBRBFBFBFFRBBFBBBRFFFLRRFBRFRLRRRL
10,67,Y,12.227668,LRL1BRRBFRRBRFLFRFBBRBRFFRBRRRRLRLRRRRLRBRBFBFBFFRBBFBBBRFFFLRRFBRFR
11,67,Y,12.366864,LRL1BRRBFRRBRFLFRFBBRBRFFRBRRRRLRLRRRRLBRBFBFBFFRBBFRBBRFFFLRRFBRFR
12,65,Y,12.687449,LRL1BRRBFRRBRFLFRFBBRBRFFRBRRRRLRLRRRRLBRBFBFBFFRBBFRBBRFFFRRRFBRF
13,61,Y,12.687449,LRL1BRRBFRRBRFLFRFRBRBRFFBBRRRRLRLRRRRLBRBFBFBFFRBBFRBBRFFFRRR
14,61,Y,15.94884,FL1RRRBRFLBRBRFFRRRRRRRRRFRB40BB64RRFRFRRR
15,41,Y,16.574623,FL1RRRBRFLBRBRFFRRRRRRRRRFRB40BBRRRFRFRRR
16,39,Y,17.304602,FL1RRRBRFLBRBRFFRRRRRRRRRFRB40RBRRRFRFRR
17,37,Y,20.405827,6L10RRBRFRBRBRFFRRRRRRRRRFRBRRR6FFRBRF
18,31,Y,20.405827,6L10RRBRFRBRBRFFRRRRRRRRRFRBRRR6
19,31,Y,21.890606,L1RRRBRFRBRBRFFRRRRRRRRRFRBRRR6
20,29,Y,21.890606,L1RRRBRFRBRBRFFRRRRRRRRRFRBRRR
21,29,Y,21.890606,L1RRRBRFRBRBRFFRRRRRRRRRFRBRRR
22,29,Y,21.890606,L1RRRBRFRBRBRFFRRRRRRRRRFRBRRR
23,29,Y,21.890606,L1RRRBRFRBRBRFFRRRRRRRRRFRBRRR
24,29,Y,21.890606,L1RRRBRFRBRBRFFRRRRRRRRRFRBRRR
25,29,Y,21.890606,L1RRRBRFRBRBRFFRRRRRRRRRFRBRRR
26,29,Y,21.890606,L1RRRBRFRBRBRFFRRRRRRRRRFRBRRR
27,29,Y,21.890606,L1RRRBRFRBRBRFFRRRRRRRRRFRBRRR
28,29,Y,21.890606,L1RRRBRFRBRBRFFRRRRRRRRRFRBRRR
29,29,Y,21.890606,L1RRRBRFRBRBRFFRRRRRRRRRFRBRRR
30,29,Y,21.890606,L1RRRBRFRBRBRFFRRRRRRRRRFRBRRR
31,29,Y,23.717422,L1RRRBRFRBRFRRRRRRRRRRRRFRBRRR
32,27,Y,23.717422,L1RRRBRFRBRFRRRRRRRRRRRRFRBR
33,27,Y,23.717422,L1RRRBRFRBRFRRRRRRRRRRRRFRBR
34,27,Y,26.0,L1RRRBRFRBRFRRRRRRRRRRRRRBR
35,25,Y,26.0,L1RRRBRFRBRFRRRRRRRRRRRRRB
36,25,Y,26.0,L1RRRBRFRBRFRRRRRRRRRRRRRB
37,25,Y,26.0,L1RRRBRFRBRFRRRRRRRRRRRRRB
38,25,Y,26.0,L1RRRBRFRBRFRRRRRRRRRRRRRB
39,25,Y,28.903591,RRRRBRFRBRFRRRRRRRRRRRRRB
40,23,F,10.0,n/a
41,23,F,10.0,n/a
42,23,F,10.0,n/a
43,23,F,10.0,n/a
44,23,F,10.0,n/a
45,23,F,10.0,n/a
46,23,F,10.0,n/a
47,23,F,10.0,n/a
48,23,Y,28.903591,L1RRRRRFRBRRRRRRRRRRRRRR
49,23,Y,28.903591,L1RRRRRFRBRRRRRRRRRRRRRR
50,23,Y,28.903591,L1RRRRRFRBRRRRRRRRRRRRRR
51,23,Y,28.903591,L1RRRRRFRBRRRRRRRRRRRRRR
52,23,Y,28.903591,L1RRRRRFRBRRRRRRRRRRRRRR
53,23,Y,28.903591,L1RRRRRFRBRRRRRRRRRRRRRR
54,23,Y,28.903591,L1RRRRRFRBRRRRRRRRRRRRRR
55,23,Y,28.903591,L1RRRRRFRBRRRRRRRRRRRRRR
56,23,Y,28.903591,L1RRRRRFRBRRRRRRRRRRRRRR
57,23,Y,28.903591,L1RRRRRFRBRRRRRRRRRRRRRR
58,23,Y,28.903591,L1RRRRRFRBRRRRRRRRRRRRRR
59,23,Y,28.903591,L1RRRRRFRBRRRRRRRRRRRRRR
