genID,bestTime,reachGoal,bestFitness,bestGene,ID O Fitness,bestGeneID
0,100,F,6.829668E-4,n/a,7.673301E-5,2
1,100,F,0.5882353,n/a,6.829668E-4,18
2,100,Y,12.441406,FBBLFRFRFBBLLRRRRRLBLBR1FFRFRRRFBBBFFFBRRRRRRLLRRRRRRBFFRRRLR6LBRRBBLFBFLFRLLFRLFFBBFRBRBFFFLRBFBLFR,0.5882353,1
3,64,Y,14.0,FBBLFRFR5RRLBRRRFRLBLBRR1FRFRRLRRRRRFFBRBRRRRLLRRRRLRBFFRRRLR6LBR,12.441406,16
4,50,Y,15.165289,2BBLFRFR5RRLBRRRFRLBFBRR1FRRRRLRRRRRFFBRBRRRRLLRRRR,14.0,29
5,44,Y,15.165289,2BBLFRFR5RRLBRRRFRLBFBRR1FRRRRLRRRRRFFBRBRRRR,15.165289,0
6,44,Y,15.408329,2BBLFRFR5RRLBRRRFRLBFB4R1FRRRRRRRRRRFFBRBRRRR,15.165289,44
7,43,Y,15.94884,FBBBFRFRFBB6LRR3FRLBRBRF1FRFRRRRRRRRRRRRRRRR,15.408329,41
8,41,Y,16.925207,FBBBFRF5FBB6RRR3FRLRRBRF1FRRRRRRRRRRRRRRRR,15.94884,74
9,38,Y,17.71605,FBBBFRF5FBB6RRR3FRLRRRRF1RRRRRRRRRRRRRR,16.925207,12
10,36,Y,17.71605,FBBBFRF5FBB6RRR3FRLRRRRF1RRRRRRRRRRRR,17.71605,0
11,36,Y,17.71605,FBBBFRF5FBB6RRR3FRLRRRRF1RRRRRRRRRRRR,17.71605,0
12,36,Y,17.71605,FBBBFRF5FBB6RRR3FRLRRRRF1RRRRRRRRRRRR,17.71605,0
13,36,Y,18.65052,LBBBFRF5FB16RRR3FR1RRRRRRRRRRRR5RRRR4,17.71605,7
14,34,Y,18.65052,LBBBFRF5FB16RRR3FR1RRRRRRRRRRRR5RRR,18.65052,0
15,34,Y,18.65052,LBBBFRF5FB16RRR3FR1RRRRRRRRRRRR5RRR,18.65052,0
16,34,Y,19.182735,LBBBFRF5FB16RRR3FR1RRRRRRRRRRRRRRRR,18.65052,36
17,33,Y,19.182735,LBBBFRF5FB16RRR3FR1RRRRRRRRRRRRRRR,19.182735,0
18,33,Y,19.182735,LBBBFRF5FB16RRR3FR1RRRRRRRRRRRRRRR,19.182735,0
19,33,Y,19.182735,LBBBFRF5FB16RRR3FR1RRRRRRRRRRRRRRR,19.182735,0
20,33,Y,19.182735,LBBBFRF5FB16RRR3FR1RRRRRRRRRRRRRRR,19.182735,0
21,33,Y,19.182735,LBBBFRF5FB16RRR3FR1RRRRRRRRRRRRRRR,19.182735,0
