genID,bestTime,reachGoal,bestFitness,bestGene,bestID,ID 0 Fitness
0,100,F,6.829668E-4,n/a,4,3.6922432E-4
1,100,F,0.015974442,n/a,49,6.829668E-4
2,100,Y,11.08507,RRFRRFRLBRRLBLLFLFFRFRBBRBBRRLRRL1RRRRRRRRLFBRRLRLLLRLRLRLRRRL6LLFLBRRRLRRRLLRLRLRRRLLLRRRLRRLRRBFBL,48,0.015974442
3,96,Y,14.725898,RRFRRRBLLFLFFRFRBBRBBRR1RRRRRRRR6LLFLBRRRRRRRRBL,0,14.725898
4,46,Y,15.408329,RRFRRRBLLFLFFRFRBBRBBRR1RRRRRRRRLLRLRRRRRRRRRBL,54,14.725898
5,43,Y,17.304602,RRFRRRBLLFLFFRFRBBRBBRR1RRRRRRRRRRRRRRRBL,0,17.304602
6,37,Y,17.304602,RRFRRRBLLFLFFRFRBBRBBRR1RRRRRRRRRRRRRR,0,17.304602
7,37,Y,18.163265,RRFRRRBLFLFFRFRBBRBBRR1RRRRRRRRRRRRRR,83,17.304602
8,35,Y,18.163265,RRFRRRBLFLFFRFRBBRBBRR1RRRRRRRRRRRRR,0,18.163265
9,35,Y,18.65052,RRF2RBLBFFFRFRRBRBBRR1RRRRRRRRRRRRR,94,18.163265
10,34,Y,19.765625,RRF2RBLFFRFRRBRBBRR1RRRRRRRRRRRRR,0,19.765625
11,32,Y,19.765625,RRF2RBLFFRFRRBRBBRR1RRRRRRRRRRRRR,0,19.765625
12,32,Y,20.405827,RRFRBLFFRFRRBRBBRR1RRRRRRRRRRRRR,41,19.765625
13,31,Y,21.890606,RRFRB1FFRFRRBRBBRRRRRRRRRRRRRRR,37,20.405827
14,29,Y,21.890606,RRFRB1FFRFRRBRBBRRRRRRRRRRRRRR,0,21.890606
15,29,Y,26.0,RRFRB1RRRFRRBRRRRRRRRRRRRRRRRR,50,21.890606
16,25,Y,26.0,RRFRB1RRRFRRBRRRRRRRRRRRRR,0,26.0
17,25,Y,28.903591,RRRRB1RRRFRRRRRRRRRRRRRRRR,32,26.0
18,23,Y,28.903591,RRRRB1RRRFRRRRRRRRRRRRRR,0,28.903591
19,23,Y,28.903591,RRRRB1RRRFRRRRRRRRRRRRRR,0,28.903591
20,23,Y,28.903591,RRRRB1RRRFRRRRRRRRRRRRRR,0,28.903591
21,23,Y,30.661158,RRRR61RRRRRRRRRRRRRRRRRR,30,28.903591
22,22,Y,32.675735,RRRR1RRRRRRRRRRRRRRRRRR,49,30.661158
23,21,Y,32.675735,RRRR1RRRRRRRRRRRRRRRRR,0,32.675735
24,21,Y,32.675735,RRRR1RRRRRRRRRRRRRRRRR,0,32.675735
25,21,Y,32.675735,RRRR1RRRRRRRRRRRRRRRRR,0,32.675735
26,21,Y,32.675735,RRRR1RRRRRRRRRRRRRRRRR,0,32.675735
27,21,Y,32.675735,RRRR1RRRRRRRRRRRRRRRRR,0,32.675735
28,21,Y,32.675735,RRRR1RRRRRRRRRRRRRRRRR,0,32.675735
29,21,Y,32.675735,RRRR1RRRRRRRRRRRRRRRRR,0,32.675735
30,21,Y,32.675735,RRRR1RRRRRRRRRRRRRRRRR,0,32.675735
31,21,Y,32.675735,RRRR1RRRRRRRRRRRRRRRRR,0,32.675735
32,21,Y,32.675735,RRRR1RRRRRRRRRRRRRRRRR,0,32.675735
