genID,bestTime,reachGoal,bestFitness,bestGene,bestID,ID 0 Fitness
0,100,F,3.4256332E-4,n/a,7,1.1774762E-4
1,100,F,3.4256332E-4,n/a,0,3.4256332E-4
2,100,F,0.009756098,n/a,16,3.4256332E-4
3,100,F,5.0,n/a,98,0.009756098
4,100,F,5.0,n/a,0,5.0
5,100,Y,11.08507,BBRFLRRFRRBFL5BRB6BLLLRRFFFBFBLLLLLR1RBFFLBBLLR7FLLBR5LR8RBLLBRFFFFBBBBBLBBBBBBBBBFBFBBRRRBBRRBBBBBR,49,5.0
6,96,Y,12.601457,BBRFRFR5BRB6BLFFLLLL1RFLBBL7FLLBR58RBLLBRBLBBBBBBBBBBRRRBBRRBBBBBR,0,12.601457
7,62,Y,12.872738,BBRFRFR5BRBBBFFLLLL1RFLBBL7FLLBB58RBLLBRBLBBBBBBBBBBRRRBBRRBBBB,12,12.601457
8,59,Y,13.305785,BBRFRFR5BRBLLLL1RFLBBL7FLLBB58RBLLBRBLBBBBBBBBBBRRRBBRRBBBB,0,13.305785
9,55,Y,13.844675,BBRFRFRBRBLLLLRFLBBLFLLBB8RBLLBRBLBBBBBBBBBBRRRBBRRBBBB,80,13.305785
10,51,Y,14.164931,BBRFRFRBRBLLLFLBBLFLLBB8RBLLBRBLBBBBBBBBBBRRRBBRRBBB,0,14.164931
11,49,Y,14.164931,BBRFRFRBRBLLLFLBBLFLLBB8RBLLBRBLBBBBBBBBBBRRRBBRRB,0,14.164931
12,49,Y,14.526936,BRFFRBRBLLLFLBBBFLLBB8RBLLBRBLBBBBBBBBBBRRRBBRRBBB,43,14.164931
13,47,Y,14.9382715,BRFFRBRBLLLFLBBLLBB8RBLLBRBLBBBBBBBBBBRRRBBRRBBB,0,14.9382715
14,45,Y,14.9382715,BRFFRBRBLLLFLBBLLBB8RBLLBRBLBBBBBBBBBBRRRBBRRB,0,14.9382715
15,45,Y,14.9382715,BRFFRBRBLLLFLBBLLBB8RBLLBRBLBBBBBBBBBBRRRBBRRB,0,14.9382715
16,45,Y,15.408329,BRFLRBRBLLLFLBBLLBB8RBBBRLLBBBBBBBBBRRRBBRRB,41,14.9382715
17,43,Y,17.304602,BRRBLLLFLBBLLBB8RBBBLBBBBBBBBBRRRBBRRB,0,17.304602
18,37,Y,17.304602,BRRBLLLFLBBLLBB8RBBBLBBBBBBBBBRRRBBRRB,0,17.304602
19,37,Y,17.304602,BRRBLLLFLBBLLBB8RBBBLBBBBBBBBBRRRBBRRB,0,17.304602
20,37,Y,17.304602,BRRBLLLFLBBLLBB8RBBBLBBBBBBBBBRRRBBRRB,0,17.304602
21,37,Y,17.304602,BRRBLLLFLBBLLBB8RBBBLBBBBBBBBBRRRBBRRB,0,17.304602
22,37,Y,17.304602,BRRBLLLFLBBLLBB8RBBBLBBBBBBBBBRRRBBRRB,0,17.304602
23,37,Y,17.304602,BRRBLLLFLBBLLBB8RBBBLBBBBBBBBBRRRBBRRB,0,17.304602
24,37,Y,17.304602,BRRBLLLFLBBLLBB8RBBBLBBBBBBBBBRRRBBRRB,0,17.304602
25,37,Y,17.304602,BRRBLLLFLBBLLBB8RBBBLBBBBBBBBBRRRBBRRB,0,17.304602
26,37,Y,17.304602,BRRBLLLFLBBLLBB8RBBBLBBBBBBBBBRRRBBRRB,0,17.304602
27,37,Y,17.71605,BRRBLL5LLBBLLBB8RBBLBBBBBBBBBBRRRRBRRB,13,17.304602
28,36,Y,17.71605,BRRBLL5LLBBLLBB8RBBLBBBBBBBBBBRRRRBRR,0,17.71605
29,36,Y,17.71605,BRRBLL5LLBBLLBB8RBBLBBBBBBBBBBRRRRBRR,0,17.71605
30,36,Y,17.71605,BRRBLL5LLBBLLBB8RBBLBBBBBBBBBBRRRRBRR,0,17.71605
31,36,Y,17.71605,BRRBLL5LLBBLLBB8RBBLBBBBBBBBBBRRRRBRR,0,17.71605
32,36,Y,18.163265,BRRBLLLLBBLLBB88BBLBBBBBBBBBBRRRRBRR,28,17.71605
33,35,Y,18.163265,BRRBLLLLBBLLBB88BBLBBBBBBBBBBRRRRBRR,0,18.163265
34,35,Y,18.163265,BRRBLLLLBBLLBB88BBLBBBBBBBBBBRRRRBRR,0,18.163265
35,35,Y,18.163265,BRRBLLLLBBLLBB88BBLBBBBBBBBBBRRRRBRR,0,18.163265
36,35,Y,18.163265,BRRBLLLLBBLLBB88BBLBBBBBBBBBBRRRRBRR,0,18.163265
37,35,Y,18.163265,BRRBLLLLBBLLBB88BBLBBBBBBBBBBRRRRBRR,0,18.163265
38,35,Y,19.182735,B8RBLLLFLBBLBBBBBBBBBBBBBBBBRRRRRR,2,18.163265
39,33,Y,19.182735,B8RBLLLFLBBLBBBBBBBBBBBBBBBBRRRRRR,0,19.182735
40,33,Y,19.182735,B8RBLLLFLBBLBBBBBBBBBBBBBBBBRRRRRR,0,19.182735
41,33,Y,19.182735,B8RBLLLFLBBLBBBBBBBBBBBBBBBBRRRRRR,0,19.182735
42,33,Y,19.182735,B8RBLLLFLBBLBBBBBBBBBBBBBBBBRRRRRR,0,19.182735
43,33,Y,19.182735,B8RBLLLFLBBLBBBBBBBBBBBBBBBBRRRRRR,0,19.182735
44,33,Y,19.182735,B8RBLLLFLBBLBBBBBBBBBBBBBBBBRRRRRR,0,19.182735
45,33,Y,19.182735,B8RBLLLFLBBLBBBBBBBBBBBBBBBBRRRRRR,0,19.182735
46,33,Y,19.182735,B8RBLLLFLBBLBBBBBBBBBBBBBBBBRRRRRR,0,19.182735
47,33,Y,19.182735,B8RBLLLFLBBLBBBBBBBBBBBBBBBBRRRRRR,0,19.182735
48,33,Y,19.765625,8RBLLLFLBBLBBBBBBBBBBBBBBBBRRRRRR,58,19.182735
49,32,Y,19.765625,8RBLLLFLBBLBBBBBBBBBBBBBBBBRRRRRR,0,19.765625
50,32,Y,19.765625,8RBLLLFLBBLBBBBBBBBBBBBBBBBRRRRRR,0,19.765625
51,32,Y,19.765625,8RBLLLFLBBLBBBBBBBBBBBBBBBBRRRRRR,0,19.765625
52,32,Y,19.765625,8RBLLLFLBBLBBBBBBBBBBBBBBBBRRRRRR,0,19.765625
53,32,Y,19.765625,8RBLLLFLBBLBBBBBBBBBBBBBBBBRRRRRR,0,19.765625
54,32,Y,19.765625,8RBLLLFLBBLBBBBBBBBBBBBBBBBRRRRRR,0,19.765625
55,32,Y,19.765625,8RBLLLFLBBLBBBBBBBBBBBBBBBBRRRRRR,0,19.765625
56,32,Y,19.765625,8RBLLLFLBBLBBBBBBBBBBBBBBBBRRRRRR,0,19.765625
57,32,Y,19.765625,8RBLLLFLBBLBBBBBBBBBBBBBBBBRRRRRR,0,19.765625
58,32,Y,19.765625,8RBLLLFLBBLBBBBBBBBBBBBBBBBRRRRRR,0,19.765625
