genID,bestTime,reachGoal,bestFitness,bestGene,bestID,ID 0 Fitness
0,200,F,5.0,n/a,90,3.4256332E-4
1,200,Y,10.718184,LRBBBLRFFLBBLRLLLLBRBLBLFRRBBFRBFRRBRLRLFBFBRLRFLBRFRRRBBBLBLRRBLL4LFBRLRFRBLRLRFBL1RRLLL5RRLLLLLLRLBB3BRBRFBFRBBFBB5BFRLRRLRBBBFFLRBLBBRRLRLBRLFFLFFLRBBRL2LBLRRRRRFRRRLLFBRRLBRFLBFRBLBLLLRFBRFRLFRFBR,37,5.0
2,118,Y,10.756144,LRBBBLRFFLBBLRLLLLBRBLBLFFRRBBRBLRRRRLRLFBFBRLRFLBRF7RRRBBFRBFBBLLBLLLRLRLRRLLRLLLLRRLLLRRRBLFLRLRLBBBBRLRFB6RBBRBBLBFR,34,5.0
3,115,Y,10.811623,LRBBBLRFFLBBLRLLLLBRBLBLRLRRBLRLLRRRRLRLFBFBRLRFRBRFRRRBBFFBFBBLBBLLLRLRLRRLLRLLLLRLLLRRRRBLFLRLRLBBBBRLRBBRBBRBBLBF,88,5.0
4,111,Y,11.826151,LRBBBLRFFL8BLRLLLLBLRLBFFFRRBBBBFBBRLLRLLBFBBFBBBBBFBBFBBBBBRRRL3LBBFBR1RRRBLRL2RBBLRRLLLFRFBLBLFFRLBBRLRLRFBFRF,72,2.2713415E-4
5,74,Y,11.929012,LRBBBRFFL8BLRLLLLBLLBFFFRRBBBBFBBRLLRLLBFBBFBBBBBFBBFBBBBBRRRL3LBBFBR1RRRBL,61,5.0
6,72,Y,14.9382715,BL8BLLLLBBFFRRBBBBBLLBBBBBBBBBBBRR3BBRR1R7RBL2RBBLLFRF,52,5.0
7,45,Y,17.304602,BL8BLLBBBBBLLBBBBBBBBBBBRR3BBRR1R7RBL2RBBLLFRF,0,17.304602
8,37,Y,19.182735,BL8BLLBBBBBLLBBBBBBBBBBBRRBBRR1RRBLRBB,73,17.304602
9,33,Y,20.405827,BL8BLLBBBBBLLBBBBBBBBBBBRRBBRRRRBL,15,19.182735
10,31,Y,20.405827,BL8BLLBBBBBLLBBBBBBBBBBBRRBBRRRR,0,20.405827
11,31,Y,20.405827,BL8BLLBBBBBLLBBBBBBBBBBBRRBBRRRR,0,20.405827
12,31,Y,20.405827,BL8BLLBBBBBLLBBBBBBBBBBBRRBBRRRR,0,20.405827
13,31,Y,20.405827,BL8BLLBBBBBLLBBBBBBBBBBBRRBBRRRR,0,20.405827
14,31,Y,20.405827,BL8BLLBBBBBLLBBBBBBBBBBBRRBBRRRR,0,20.405827
15,31,Y,20.405827,BL8BLLBBBBBLLBBBBBBBBBBBRRBBRRRR,0,20.405827
16,31,Y,21.11111,BL8BLLBBBBBLLBBBBBBBBBBRRBBRRRR,89,20.405827
17,30,F,10.0,n/a,2,5.0
18,30,F,10.0,n/a,0,10.0
19,30,F,10.0,n/a,0,10.0
20,30,F,10.0,n/a,0,10.0
21,30,F,10.0,n/a,0,10.0
22,30,F,10.0,n/a,0,10.0
23,30,F,10.0,n/a,0,10.0
24,30,F,10.0,n/a,0,10.0
25,30,F,10.0,n/a,0,10.0
26,30,F,10.0,n/a,0,10.0
27,30,F,10.0,n/a,0,10.0
28,30,F,10.0,n/a,0,10.0
29,30,F,10.0,n/a,0,10.0
30,30,F,10.0,n/a,0,10.0
31,30,F,10.0,n/a,0,10.0
32,30,F,10.0,n/a,0,10.0
33,30,Y,21.11111,BL8BLLBBBBLLBBBBBBBBBBBRBBRRRRB,34,10.0
34,30,F,10.0,n/a,0,10.0
35,30,F,10.0,n/a,0,10.0
36,30,F,10.0,n/a,0,10.0
37,30,F,10.0,n/a,0,10.0
38,30,F,10.0,n/a,0,10.0
