genID,reachGoal,bC-ID,bC-C,bC-Sm,bC-Sf,bC-A,bSm-ID,bSm-C,bSm-Sm,bSm-Sf,bSm-A,bSf-ID,bSf-C,bSf-Sm,bSf-Sf,bSf-A,bA-ID,bA-C,bA-Sm,bA-Sf,bA-A,F0,F1,F2
0,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
1,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
2,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
3,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
4,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
5,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
6,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
7,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
8,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
9,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
10,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
11,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
12,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
13,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
14,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
15,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
16,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
17,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
18,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
19,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
20,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
21,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
22,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
23,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
24,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
25,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
26,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
27,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
28,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
29,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
30,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
31,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
32,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
33,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
34,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
35,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,"HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d ","HToGA_v4_06$Robot@b70bd8 HToGA_v4_06$Robot@7d3a8d "
