genID,reachGoal,bC-ID,bC-C,bC-Sm,bC-Sf,bC-A,bSm-ID,bSm-C,bSm-Sm,bSm-Sf,bSm-A,bSf-ID,bSf-C,bSf-Sm,bSf-Sf,bSf-A,bA-ID,bA-C,bA-Sm,bA-Sf,bA-A,F0,F1
0,0,8.0,,,,,8.0,,,,,8.0,,,,,8.0,,,,,"HToGA_v4_10$Robot@c5054b HToGA_v4_10$Robot@1b782da HToGA_v4_10$Robot@4daab8 HToGA_v4_10$Robot@1913701 HToGA_v4_10$Robot@1e29065 HToGA_v4_10$Robot@186511 HToGA_v4_10$Robot@1bb1a40 HToGA_v4_10$Robot@1b01689 HToGA_v4_10$Robot@f2d1e2 HToGA_v4_10$Robot@16d16c0 ","HToGA_v4_10$Robot@c5054b HToGA_v4_10$Robot@1b782da HToGA_v4_10$Robot@4daab8 HToGA_v4_10$Robot@1913701 HToGA_v4_10$Robot@1e29065 HToGA_v4_10$Robot@186511 HToGA_v4_10$Robot@1bb1a40 HToGA_v4_10$Robot@1b01689 HToGA_v4_10$Robot@f2d1e2 HToGA_v4_10$Robot@16d16c0 "
1,0,18.0,,,,,18.0,,,,,18.0,,,,,18.0,,,,,"HToGA_v4_10$Robot@c5054b HToGA_v4_10$Robot@1b782da HToGA_v4_10$Robot@4daab8 HToGA_v4_10$Robot@1913701 HToGA_v4_10$Robot@1e29065 HToGA_v4_10$Robot@186511 HToGA_v4_10$Robot@1bb1a40 HToGA_v4_10$Robot@1b01689 HToGA_v4_10$Robot@f2d1e2 HToGA_v4_10$Robot@16d16c0 ","HToGA_v4_10$Robot@c5054b HToGA_v4_10$Robot@1b782da HToGA_v4_10$Robot@4daab8 HToGA_v4_10$Robot@1913701 HToGA_v4_10$Robot@1e29065 HToGA_v4_10$Robot@186511 HToGA_v4_10$Robot@1bb1a40 HToGA_v4_10$Robot@1b01689 HToGA_v4_10$Robot@f2d1e2 HToGA_v4_10$Robot@16d16c0 "
2,0,18.0,,,,,18.0,,,,,18.0,,,,,18.0,,,,,"HToGA_v4_10$Robot@c5054b HToGA_v4_10$Robot@1b782da HToGA_v4_10$Robot@4daab8 HToGA_v4_10$Robot@1913701 HToGA_v4_10$Robot@1e29065 HToGA_v4_10$Robot@186511 HToGA_v4_10$Robot@1bb1a40 HToGA_v4_10$Robot@1b01689 HToGA_v4_10$Robot@f2d1e2 HToGA_v4_10$Robot@16d16c0 ","HToGA_v4_10$Robot@c5054b HToGA_v4_10$Robot@1b782da HToGA_v4_10$Robot@4daab8 HToGA_v4_10$Robot@1913701 HToGA_v4_10$Robot@1e29065 HToGA_v4_10$Robot@186511 HToGA_v4_10$Robot@1bb1a40 HToGA_v4_10$Robot@1b01689 HToGA_v4_10$Robot@f2d1e2 HToGA_v4_10$Robot@16d16c0 "
3,0,18.0,,,,,18.0,,,,,18.0,,,,,18.0,,,,,"HToGA_v4_10$Robot@c5054b HToGA_v4_10$Robot@1b782da HToGA_v4_10$Robot@4daab8 HToGA_v4_10$Robot@1913701 HToGA_v4_10$Robot@1e29065 HToGA_v4_10$Robot@186511 HToGA_v4_10$Robot@1bb1a40 HToGA_v4_10$Robot@1b01689 HToGA_v4_10$Robot@f2d1e2 HToGA_v4_10$Robot@16d16c0 ","HToGA_v4_10$Robot@c5054b HToGA_v4_10$Robot@1b782da HToGA_v4_10$Robot@4daab8 HToGA_v4_10$Robot@1913701 HToGA_v4_10$Robot@1e29065 HToGA_v4_10$Robot@186511 HToGA_v4_10$Robot@1bb1a40 HToGA_v4_10$Robot@1b01689 HToGA_v4_10$Robot@f2d1e2 HToGA_v4_10$Robot@16d16c0 "
4,0,18.0,,,,,18.0,,,,,18.0,,,,,18.0,,,,,"HToGA_v4_10$Robot@c5054b HToGA_v4_10$Robot@1b782da HToGA_v4_10$Robot@4daab8 HToGA_v4_10$Robot@1913701 HToGA_v4_10$Robot@1e29065 HToGA_v4_10$Robot@186511 HToGA_v4_10$Robot@1bb1a40 HToGA_v4_10$Robot@1b01689 HToGA_v4_10$Robot@f2d1e2 HToGA_v4_10$Robot@16d16c0 ","HToGA_v4_10$Robot@c5054b HToGA_v4_10$Robot@1b782da HToGA_v4_10$Robot@4daab8 HToGA_v4_10$Robot@1913701 HToGA_v4_10$Robot@1e29065 HToGA_v4_10$Robot@186511 HToGA_v4_10$Robot@1bb1a40 HToGA_v4_10$Robot@1b01689 HToGA_v4_10$Robot@f2d1e2 HToGA_v4_10$Robot@16d16c0 "
5,0,18.0,,,,,18.0,,,,,18.0,,,,,18.0,,,,,"HToGA_v4_10$Robot@c5054b HToGA_v4_10$Robot@1b782da HToGA_v4_10$Robot@4daab8 HToGA_v4_10$Robot@1913701 HToGA_v4_10$Robot@1e29065 HToGA_v4_10$Robot@186511 HToGA_v4_10$Robot@1bb1a40 HToGA_v4_10$Robot@1b01689 HToGA_v4_10$Robot@f2d1e2 HToGA_v4_10$Robot@16d16c0 ","HToGA_v4_10$Robot@c5054b HToGA_v4_10$Robot@1b782da HToGA_v4_10$Robot@4daab8 HToGA_v4_10$Robot@1913701 HToGA_v4_10$Robot@1e29065 HToGA_v4_10$Robot@186511 HToGA_v4_10$Robot@1bb1a40 HToGA_v4_10$Robot@1b01689 HToGA_v4_10$Robot@f2d1e2 HToGA_v4_10$Robot@16d16c0 "
6,0,18.0,,,,,18.0,,,,,18.0,,,,,18.0,,,,,"HToGA_v4_10$Robot@c5054b HToGA_v4_10$Robot@1b782da HToGA_v4_10$Robot@4daab8 HToGA_v4_10$Robot@1913701 HToGA_v4_10$Robot@1e29065 HToGA_v4_10$Robot@186511 HToGA_v4_10$Robot@1bb1a40 HToGA_v4_10$Robot@1b01689 HToGA_v4_10$Robot@f2d1e2 HToGA_v4_10$Robot@16d16c0 ","HToGA_v4_10$Robot@c5054b HToGA_v4_10$Robot@1b782da HToGA_v4_10$Robot@4daab8 HToGA_v4_10$Robot@1913701 HToGA_v4_10$Robot@1e29065 HToGA_v4_10$Robot@186511 HToGA_v4_10$Robot@1bb1a40 HToGA_v4_10$Robot@1b01689 HToGA_v4_10$Robot@f2d1e2 HToGA_v4_10$Robot@16d16c0 "
7,0,18.0,,,,,18.0,,,,,18.0,,,,,18.0,,,,,"HToGA_v4_10$Robot@c5054b HToGA_v4_10$Robot@1b782da HToGA_v4_10$Robot@4daab8 HToGA_v4_10$Robot@1913701 HToGA_v4_10$Robot@1e29065 HToGA_v4_10$Robot@186511 HToGA_v4_10$Robot@1bb1a40 HToGA_v4_10$Robot@1b01689 HToGA_v4_10$Robot@f2d1e2 HToGA_v4_10$Robot@16d16c0 ","HToGA_v4_10$Robot@c5054b HToGA_v4_10$Robot@1b782da HToGA_v4_10$Robot@4daab8 HToGA_v4_10$Robot@1913701 HToGA_v4_10$Robot@1e29065 HToGA_v4_10$Robot@186511 HToGA_v4_10$Robot@1bb1a40 HToGA_v4_10$Robot@1b01689 HToGA_v4_10$Robot@f2d1e2 HToGA_v4_10$Robot@16d16c0 "
8,0,18.0,,,,,18.0,,,,,18.0,,,,,18.0,,,,,"HToGA_v4_10$Robot@c5054b HToGA_v4_10$Robot@1b782da HToGA_v4_10$Robot@4daab8 HToGA_v4_10$Robot@1913701 HToGA_v4_10$Robot@1e29065 HToGA_v4_10$Robot@186511 HToGA_v4_10$Robot@1bb1a40 HToGA_v4_10$Robot@1b01689 HToGA_v4_10$Robot@f2d1e2 HToGA_v4_10$Robot@16d16c0 ","HToGA_v4_10$Robot@c5054b HToGA_v4_10$Robot@1b782da HToGA_v4_10$Robot@4daab8 HToGA_v4_10$Robot@1913701 HToGA_v4_10$Robot@1e29065 HToGA_v4_10$Robot@186511 HToGA_v4_10$Robot@1bb1a40 HToGA_v4_10$Robot@1b01689 HToGA_v4_10$Robot@f2d1e2 HToGA_v4_10$Robot@16d16c0 "
9,0,18.0,,,,,18.0,,,,,18.0,,,,,18.0,,,,,"HToGA_v4_10$Robot@c5054b HToGA_v4_10$Robot@1b782da HToGA_v4_10$Robot@4daab8 HToGA_v4_10$Robot@1913701 HToGA_v4_10$Robot@1e29065 HToGA_v4_10$Robot@186511 HToGA_v4_10$Robot@1bb1a40 HToGA_v4_10$Robot@1b01689 HToGA_v4_10$Robot@f2d1e2 HToGA_v4_10$Robot@16d16c0 ","HToGA_v4_10$Robot@c5054b HToGA_v4_10$Robot@1b782da HToGA_v4_10$Robot@4daab8 HToGA_v4_10$Robot@1913701 HToGA_v4_10$Robot@1e29065 HToGA_v4_10$Robot@186511 HToGA_v4_10$Robot@1bb1a40 HToGA_v4_10$Robot@1b01689 HToGA_v4_10$Robot@f2d1e2 HToGA_v4_10$Robot@16d16c0 "
