genID,reachGoal,bC-ID,bC-C,bC-Sm,bC-Sf,bC-A,bSm-ID,bSm-C,bSm-Sm,bSm-Sf,bSm-A,bSf-ID,bSf-C,bSf-Sm,bSf-Sf,bSf-A,bA-ID,bA-C,bA-Sm,bA-Sf,bA-A
0,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,
1,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,
2,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,
3,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,
4,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,
5,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,
6,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,
7,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,
8,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,
9,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,
10,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,
11,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,
12,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,
13,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,
14,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,
15,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,
16,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,
17,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,
18,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,
19,0,179.0,99999.0,99999.0,99999.0,299997.0,179.0,99999.0,99999.0,99999.0,299997.0,179.0,99999.0,99999.0,99999.0,299997.0,179.0,99999.0,99999.0,99999.0,299997.0
20,0,58.0,99999.0,99999.0,99999.0,299997.0,58.0,99999.0,99999.0,99999.0,299997.0,58.0,99999.0,99999.0,99999.0,299997.0,58.0,99999.0,99999.0,99999.0,299997.0
21,0,0.0,99999.0,99999.0,99999.0,299997.0,0.0,99999.0,99999.0,99999.0,299997.0,0.0,99999.0,99999.0,99999.0,299997.0,0.0,99999.0,99999.0,99999.0,299997.0
22,0,84.0,99999.0,99999.0,99999.0,299997.0,84.0,99999.0,99999.0,99999.0,299997.0,84.0,99999.0,99999.0,99999.0,299997.0,84.0,99999.0,99999.0,99999.0,299997.0
23,0,87.0,99999.0,99999.0,99999.0,299997.0,87.0,99999.0,99999.0,99999.0,299997.0,87.0,99999.0,99999.0,99999.0,299997.0,87.0,99999.0,99999.0,99999.0,299997.0
24,0,96.0,1.0,1.0,99999.0,100001.0,96.0,1.0,1.0,99999.0,100001.0,0.0,99999.0,99999.0,1.0,199999.0,96.0,1.0,1.0,99999.0,100001.0
