genID,reachGoal,bC-ID,bC-C,bC-Sm,bC-Sf,bC-A,bSm-ID,bSm-C,bSm-Sm,bSm-Sf,bSm-A,bSf-ID,bSf-C,bSf-Sm,bSf-Sf,bSf-A,bA-ID,bA-C,bA-Sm,bA-Sf,bA-A,bCCD-ID,bCCD-C,bCCD-Sm,bCCD-Sf,bCCD-A,bSmCD-ID,bSmCD-C,bSmCD-Sm,bSmCD-Sf,bSmCD-A,bSfCD-ID,bSfCD-C,bSfCD-Sm,bSfCD-Sf,bSfCD-A,bACD-ID,bACD-C,bACD-Sm,bACD-Sf,bACD-A,Cmd-bCCD,Cmd-bSmCD,Cmd-bSfCD,Cmd-bACD,bf-ID,bf-C,bf-Sm,bf-Sf,bf-A,Cmd-bf,f_gr,f_t,f_sm,f_sf
0,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149,0.027027028,0.5813953,0.47829682,1.0867192,BLBBLFFBBLRLRRRRFFFLFBLBRBFBLRLBLLBFFLRLBFBLFFRLLLLFRBLLLFFRBRRLLBBBRLLFBLRLRBLBFFRBLFFFRFLBBBRLFRRRFBLFLLLLLRLFRBRLLLRFFBRBFLRFFFLRFLFLLFFRBFLRBRFBBL,0.14118785,0.006666667,0.5813953,0.47829682
1,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247,0.028595477,0.57471263,0.006362677,0.60967076,LLFFFFRRRBFFRBBLFFBFLLLLFLFRBLRLBLRFFBFRFLLLBFBLBFLBRBLLRLFRFLLFRRLLLRFBFBLFBBBRFLBLRFFFBBBRLLFFRLLFBRRLRLRFLLRRRBLRLRRBFBRBFRLLBBLRBLRBLFRLBBLBRLBBFB,0.14464262,0.006666667,0.57471263,0.006362677
2,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238,0.048815534,0.5928854,0.06461077,0.7063117,LLBFRFRFLLRLBFFBBLRRRFFFFRLLFFRBBFLFBLLLFRBBBRLLBBLRFFLLRLBFFLLLFRBLLRBLFBRBLFFRRFBFFBRLRLLFBRFBBFRRRFFFBFBLRLRBBBRBLLBLFFFLLLFRLFLFLLLFRBBRLRFRBBBBLB,0.18096052,0.006666667,0.5928854,0.06461077
3,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248,0.1464466,0.56390977,0.16677174,0.8771281,BLLLFLFRLRLLLLFRRBLLFLFRBFFFLFBFLRFB8BB1BBLFLRFLLFFBLRFBB5FLFBBBFLRLBBBLBFFF2BBLBR3FBFRBFFFFRLLLBFFRL2FFB12RFBBRBF6RLRBRFFBRLFLBFLLRFBFFB7RLFF1RLBRFBR,0.27676865,0.006666667,0.56390977,0.16677174
4,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.1464466,0.56390977,0.20589104,0.91624737,BLLLFLFRLRLLLLFRRBLLFLFRBFFFLFBFLRFB8BB1BBLFLRFLLFFBLRFBB5FLFBBBFLRLBBBLBFFF2BBLBR3FBFRBFFFFRLLLBFFRL2FFB12RFBBRBF6RLRBRFFBRLFLBFLLRFBFFB7RLFF1RLBRFBR,0.27676865,0.006666667,0.56390977,0.20589104
5,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221,0.5,0.5660377,0.20589104,1.2719287,BLLLFLFRLRLLLLFRRBLLFLFRBFFFLFBFLRFB8BB1BBLFLRFLLFFBLRFBB5FLFBBBFLRLBBBLBFFF2BBLBR3FBFRBFFFFRLLLBFFRL2FFB12RFBBRBF6RLRBRFFBRLFLBFLLRFBFFB7RLFF1RLBFFBR,0.41421354,0.006666667,0.5660377,0.20589104
6,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.5,0.56390977,0.25418648,1.3180963,BLLLFLFRLRLLLLFRRBLLFLFRBFFFLFBFLRFB8BB1BBLFLRFLLFFBLRFBB5FLFBBBFLRLBBBLBFFF2BBLBF3FBFRBFFFFRLLLBFFRL2FFB12RFBBRBF6RLRBRFFBRLFLBFLLRFBFFB7RLFF1RLBRFBR,0.41421354,0.006666667,0.56390977,0.25418648
7,T,210.0,77.1141,0.56439394,0.22876783,77.90726,210.0,77.1141,0.56439394,0.22876783,77.90726,210.0,77.1141,0.56439394,0.22876783,77.90726,210.0,77.1141,0.56439394,0.22876783,77.90726,210.0,99999.0,99999.0,99999.0,299997.0,210.0,99999.0,99999.0,99999.0,299997.0,210.0,99999.0,99999.0,99999.0,299997.0,210.0,99999.0,99999.0,99999.0,299997.0,BLLLFLFRLRLLLLFRRBLLFLFRBFFFLFBFLRFB8BB1BBLFLRFLLFFBLRFBB5FLFBBBFLRBBLBLBFFF2BBLBF3FBFRBFFFFRLLLBFFRL2FFB12RFBBRBF6RLRBRFFBRLFLBFLLRFBFFB7RLFF1RLBFFB,BLLLFLFRLRLLLLFRRBLLFLFRBFFFLFBFLRFB8BB1BBLFLRFLLFFBLRFBB5FLFBBBFLRBBLBLBFFF2BBLBF3FBFRBFFFFRLLLBFFRL2FFB12RFBBRBF6RLRBRFFBRLFLBFLLRFBFFB7RLFF1RLBFFB,BLLLFLFRLRLLLLFRRBLLFLFRBFFFLFBFLRFB8BB1BBLFLRFLLFFBLRFBB5FLFBBBFLRBBLBLBFFF2BBLBF3FBFRBFFFFRLLLBFFRL2FFB12RFBBRBF6RLRBRFFBRLFLBFLLRFBFFB7RLFF1RLBFFB,BLLLFLFRLRLLLLFRRBLLFLFRBFFFLFBFLRFB8BB1BBLFLRFLLFFBLRFBB5FLFBBBFLRBBLBLBFFF2BBLBF3FBFRBFFFFRLLLBFFRL2FFB12RFBBRBF6RLRBRFFBRLFLBFLLRFBFFB7RLFF1RLBFFB,,,,,,,1.0,0.0067114094,0.56439394,0.22876783
8,T,122.0,83.52941,0.5596708,0.22876783,84.31785,150.0,77.1141,0.5687023,0.22876783,77.91157,228.0,78.965515,0.55984557,0.43046713,79.955826,122.0,83.52941,0.5596708,0.22876783,84.31785,150.0,0.0,99999.0,0.0,99999.0,0.0,99999.0,0.021217901,0.10186652,99999.125,122.0,99999.0,99999.0,0.0,199998.0,165.0,0.0,0.2376141,0.11318504,0.35079914,BLLLFLFRLRLLLLFRRBLLLFFRBFFFLFBFLRFB8BB1BBLFLRFLLFFBLRFBB5FLFBBBFLRBBLBLBFFF2BBLBF3FBFRBFFFFRLLLBFFRL2FFB12RFBBRBF6RLRBRFFBRLFLBFLLRFBFFB7RLFF1RLBFFB,BLLLFLFRLRLLLLFRRBLLFLFRBFFFLFBFLRFB8BB1BBLFLRFLLFFBLRFBB5FLFBBBFLRBBLBLBFFF2BBLBF3FBFRBFFFFRLLLBFFRL2FFB12RFBBRBF6RLRBRFFBRLFLBFLLRFBFFB7RLFF1RLBFFB,BLL5FLFRLRLLLLFRRBLLFLFRBFFFLFBFLRFB8BB1BBLFLRFLLFFBLRFBB5FLFBB2FL4BBLBLBFFF24BLBF3FBF0BFFFFRLLLBFFRL2FFB12RFBBRBF3RLR4RFFBRLFLB8LLRF8FF,BLLLFLFRLRLLLLFRRBLLFLFRBFFFLFBFLRFB8B1BBBLFLRFLLFFBLRFBB5FLFBBBFLRBBLBLBFFF2BBLBF3FBFRBFFFFRLLLBFFRL2FFB12RFBBRBF6RLRBRFFBRLFLBFLLRFBFFB7RLFF1RLBFFB,,,,,,,1.0,0.0067114094,0.56439394,0.25418648
9,T,1.0,83.52941,0.5596708,0.22876783,84.31785,29.0,77.1141,0.5687023,0.22876783,77.91157,37.0,78.965515,0.55984557,0.43046713,79.955826,1.0,83.52941,0.5596708,0.22876783,84.31785,14.0,0.0,0.22281106,0.0,0.22281106,166.0,0.0,0.014803033,0.0,0.014803033,1.0,99999.0,99999.0,0.0,199998.0,166.0,0.0,0.014803033,0.0,0.014803033,BLLLFLFRLRLLLLFRRBLLFLFRBFFFLFBFLRFB8B1BBBLFLRFLLFFBLRFBB5FLFBBBFLRBBLBLBFFF2BBLBF3FBFRBFFFFRLLLBFFRL2FFB12RFBBRBF6RLRBRFFBRLFLBFLLRFBFFB7RLFF1RLBFFB,BLLLFLFRLRLLLLFRRBLLFLFRBFFFLFBFLRFB8BB1BBLFLRFLLFFBLRFBB5FLFBBBFLRBBLBLBFFF2BBLBF3FBFRBFFFFRLLLBFFR2LFFB12RFBBRBF6RLBRRFFBRLFLBFLLRFBFFB7RLFF1RLBFFB,BLL5FLFRLRLLLLFRRBLLFLFRBFFFLFBFLRFB8BB1BBLFLRFLLFFBLRFBB5FLFBB2FL4BBLBLBFFF24BLBF3FBF0BFFFFRLLLBFFRL2FFB12RFBBRBF3RLR4RFFBRLFLB8LLRF8FF,BLLLFLFRLRLLLLFRRBLLFLFRBFFFLFBFLRFB8BB1BBLFLRFLLFFBLRFBB5FLFBBBFLRBBLBLBFFF2BBLBF3FBFRBFFFFRLLLBFFR2LFFB12RFBBRBF6RLBRRFFBRLFLBFLLRFBFFB7RLFF1RLBFFB,,,,,,,1.0,0.0067114094,0.56653994,0.22876783
