genID,reachGoal,bC-ID,bC-C,bC-Sm,bC-Sf,bC-A,bSm-ID,bSm-C,bSm-Sm,bSm-Sf,bSm-A,bSf-ID,bSf-C,bSf-Sm,bSf-Sf,bSf-A,bA-ID,bA-C,bA-Sm,bA-Sf,bA-A,bCCD-ID,bCCD-C,bCCD-Sm,bCCD-Sf,bCCD-A,bSmCD-ID,bSmCD-C,bSmCD-Sm,bSmCD-Sf,bSmCD-A,bSfCD-ID,bSfCD-C,bSfCD-Sm,bSfCD-Sf,bSfCD-A,bACD-ID,bACD-C,bACD-Sm,bACD-Sf,bACD-A,Cmd-bCCD,Cmd-bSmCD,Cmd-bSfCD,Cmd-bACD,bf-ID,bf-C,bf-Sm,bf-Sf,bf-A,Cmd-bf,f_gr,f_t,f_sm,f_sf
0,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,0.0043833293,0.5813953,0.56179774,1.1475763,FFBLFFBLLBLFFBRLFBRBLFFLLBLLLLRLFFBRLRLFFBLLFLBFBBFRRRBFBFBBRBBLLRLBFLBBBFLRFLBFRLLLLFRRRBLRBFBBLFFL,0.06222362,0.0,0.16279066,0.56179774
1,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,0.016055416,0.5847953,0.29239765,0.8932483,RRLBBBBRLLBBBRBFLLFRRBRBLLRLBLFLLLLBFRRBLLFLBRFLRRLBRLLBLLFRBLBFBBBBBBRRLLFFFLFLRRBFLFRLBFBRBLRBLBRB,0.11327045,0.0,0.16959059,0.29239765
2,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,0.1464466,0.5847953,0.36630037,1.0975423,LBBBBRFRBFBBFBLLRRBLFLBRFFBLBLBBBLLLFLRLBLLLRLBLLRRBLLFRRLRLBFLBBRBBFLBBRLBBBBRFRFLFLBFBBBFLLLBFBFLL,0.2928932,0.0,0.16959059,0.36630037
3,T,124.0,1.0,0.58441556,0.3515625,1.935978,124.0,1.0,0.58441556,0.3515625,1.935978,124.0,1.0,0.58441556,0.3515625,1.935978,124.0,1.0,0.58441556,0.3515625,1.935978,124.0,99999.0,99999.0,99999.0,299997.0,124.0,99999.0,99999.0,99999.0,299997.0,124.0,99999.0,99999.0,99999.0,299997.0,124.0,99999.0,99999.0,99999.0,299997.0,RRLBBBBRBBBLBRBFRLBRLBRBLRLFRLFLLLLLLLRBLLLLBLBLRRLBBRLBRBLRLLBFRBLLBBLLLFLFBFFLRBFLLFRBBF,RRLBBBBRBBBLBRBFRLBRLBRBLRLFRLFLLLLLLLRBLLLLBLBLRRLBBRLBRBLRLLBFRBLLBBLLLFLFBFFLRBFLLFRBBF,RRLBBBBRBBBLBRBFRLBRLBRBLRLFRLFLLLLLLLRBLLLLBLBLRRLBBRLBRBLRLLBFRBLLBBLLLFLFBFFLRBFLLFRBBF,RRLBBBBRBBBLBRBFRLBRLBRBLRLFRLFLLLLLLLRBLLLLBLBLRRLBBRLBRBLRLLBFRBLLBBLLLFLFBFFLRBFLLFRBBF,,,,,,,1.0,0.100000024,0.16883111,0.3515625
4,T,0.0,1.0,0.58441556,0.3515625,1.935978,95.0,1.0,0.7826087,0.3272727,2.1098814,106.0,1.0,0.57746476,0.45054945,2.0280142,95.0,1.0,0.7826087,0.3272727,2.1098814,43.0,0.0,0.07535918,0.35879266,0.43415183,43.0,0.0,0.07535918,0.35879266,0.43415183,109.0,0.0,0.7034614,0.18469733,0.88815874,43.0,0.0,0.07535918,0.35879266,0.43415183,LBBBBRFRBBBLFLBRFLBLBBBLLLFLBLLLBBLBLBBBBBBRFRFLFLBBLLLLLLLL,LBBBBRFRBBBLFLBRFLBLBBBLLLFLBLLLBBLBLBBBBBBRFRFLFLBBLLLLLLLL,LBBBBBFRBBBLLLLRFLBLBBLLLLRLBLLFBBRLBRBLBBBBBBBBRFLLLFFLLLLLLLRLFFRFRLBBRL,LBBBBRFRBBBLFLBRFLBLBBBLLLFLBLLLBBLBLBBBBBBRFRFLFLBBLLLLLLLL,,,,,,,1.0,0.39999998,0.2765957,0.37974682
5,T,0.0,1.0,0.58441556,0.3515625,1.935978,97.0,1.0,0.7407407,0.30769232,2.048433,17.0,1.0,0.64912283,0.4,2.0491228,85.0,1.0,0.6857143,0.39344263,2.0791569,6.0,0.0,0.011424052,0.039923463,0.051347516,6.0,0.0,0.011424052,0.039923463,0.051347516,123.0,99999.0,0.11969537,0.016947417,99999.13,6.0,0.0,0.011424052,0.039923463,0.051347516,LBBBBRFRBBBLFLBRFLBLBBBLLLFLBLLLBBLBLBBBBBBRFRFLFLBBLLLLLLLL,LBBBBRFRBBBLFLBRFLBLBBBLLLFLBLLLBBLBLBBBBBBRFRFLFLBBLLLLLLLL,LRBBBRBLBBLLFLBBFLBLBLBLLLRFBRLBLBBLBBFLBBBRBBRFRLLFLBBLRLLLLLLLFL,LBBBBRFRBBBLFLBRFLBLBBBLLLFLBLLLBBLBLBBBBBBRFRFLFLBBLLLLLLLL,,,,,,,1.0,0.39999998,0.2765957,0.37974682
6,T,0.0,1.0,0.58441556,0.3515625,1.935978,77.0,1.0,0.76,0.33043477,2.0904348,14.0,1.0,0.64912283,0.4,2.0491228,80.0,1.0,0.76,0.33628318,2.0962832,1.0,0.0,0.038340114,0.054972325,0.09331244,89.0,0.0,0.003655691,0.052087013,0.055742703,35.0,0.0,0.025966302,0.0067520314,0.032718334,31.0,0.0,0.011618165,0.010706798,0.022324964,LBBBBRFRBBBLFLBRFLBLBBBLLLFLBLLLBBLBLBBBBBLLLLLLLL,LBBBBRFRBBBLFLBRFLBLBBBLLLFLBLLLBBLBBBBBLLBLLLLLLL,RBBBBRBBBLBRBBRBLFLFLLLLLBLLLLBBLBBBRBLLBLLBBLLLFLFF,LBBBBRFRBBBLLBRFLBLBBBLLLFLBLLLBBLBLBBBBBRFRFLLBLLLLLLLL,,,,,,,1.0,0.44,0.3023256,0.27722773
7,T,0.0,1.0,0.58441556,0.3515625,1.935978,77.0,1.0,0.754717,0.23529412,1.9900111,8.0,1.0,0.6315789,0.3821656,2.0137446,9.0,1.0,0.6756757,0.37878788,2.0544634,2.0,0.0,0.032951325,0.022416001,0.05536733,9.0,0.0,0.0039675427,0.07516237,0.07912992,2.0,0.0,0.032951325,0.022416001,0.05536733,2.0,0.0,0.032951325,0.022416001,0.05536733,LBBBBRFRBBBLFLBRFLBLBBBLLLFLBLLLBBLBLBBBBBBRFRFLFLBBLLLLLLLL,LBBBRFRBBBLFLBLBBBLLLLBLLLBBLBLBBBBBRFFLBBLLLLLLLL,LBBBBRFRBBBLFLBRFLBLBBBLLLFLBLLLBBLBLBBBBBBRFRFLFLBBLLLLLLLL,LBBBBRFRBBBLFLBRFLBLBBBLLLFLBLLLBBLBLBBBBBBRFRFLFLBBLLLLLLLL,,,,,,,1.0,0.39999998,0.2765957,0.37974682
8,T,0.0,1.0,0.58441556,0.3515625,1.935978,9.0,1.0,0.75,0.2769231,2.0269232,2.0,1.0,0.63829786,0.37974682,2.0180447,30.0,1.0,0.7307692,0.32478634,2.0555556,1.0,0.0,0.11380913,0.07576606,0.1895752,27.0,0.0,0.0,0.066941634,0.066941634,40.0,0.0,0.06503744,0.0092333155,0.074270755,4.0,0.0,0.0045406017,0.034856882,0.039397486,LBBBBRFRBBLLBRFLBLBBBLLLFLBLLLBBLBLBBBBRFLBBLLLLLLLL,LBBBBRBLLBLBBBLLLFLBLLLBBLBLBBBBBLLLLLLL,LBBBBBLBLBBLLLLBLLLBBLBLBBBBBLLLLLLL,LBBBBRFRBBBLFLBRFLBLBBBLLLFLBLLLBBLBLBBBBBLLLLLLLL,,,,,,,1.0,0.5,0.31578946,0.35714287
9,T,0.0,1.0,0.58441556,0.3515625,1.935978,4.0,1.0,0.75,0.2769231,2.0269232,12.0,1.0,0.63829786,0.37974682,2.0180447,80.0,1.0,0.7037037,0.3392857,2.0429893,1.0,0.0,0.044173855,0.07967061,0.12384446,43.0,0.0,0.0045406017,0.07205203,0.07659263,14.0,0.0,0.036076438,0.011613707,0.047690146,14.0,0.0,0.036076438,0.011613707,0.047690146,LBBBBBLBLBBLLLBLLLBBLBLBBBLBBLLLLLLL,LBBBRBBBLFLBRFLBLBBBLLLFLBLLLBBLBLBBBBBLLLLLLL,LBBBRRBBLLBBLBBBLLLFLBLLLBBLLBBBBBRFFLBBLLLLLLLL,LBBBRRBBLLBBLBBBLLLFLBLLLBBLLBBBBBRFFLBBLLLLLLLL,,,,,,,1.0,0.52,0.41176474,0.24242425
