genID,reachGoal,bC-ID,bC-C,bC-Sm,bC-Sf,bC-A,bSm-ID,bSm-C,bSm-Sm,bSm-Sf,bSm-A,bSf-ID,bSf-C,bSf-Sm,bSf-Sf,bSf-A,bA-ID,bA-C,bA-Sm,bA-Sf,bA-A,bCCD-ID,bCCD-C,bCCD-Sm,bCCD-Sf,bCCD-A,bSmCD-ID,bSmCD-C,bSmCD-Sm,bSmCD-Sf,bSmCD-A,bSfCD-ID,bSfCD-C,bSfCD-Sm,bSfCD-Sf,bSfCD-A,bACD-ID,bACD-C,bACD-Sm,bACD-Sf,bACD-A,Cmd-bCCD,Cmd-bSmCD,Cmd-bSfCD,Cmd-bACD,bf-ID,bf-C,bf-Sm,bf-Sf,bf-A,Cmd-bf,f_gr,f_t,f_sm,f_sf
0,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,0.0033248602,0.5847953,0.5405405,1.1286607,LBLLRRLLFBLLFFBFLLLBLFRLLBBFFBFBRBFLBBBFFBRFLBLFLBRFRRFRBFBFFFBFFFFRLLLRLBFBLBLLLLFLRFBFRFLFBBBFRRBB,0.054603904,0.0,0.16959059,0.5405405
1,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,0.010246113,0.5586592,0.31347963,0.8823849,LFBFBRRLBBLRLBBBBBFRBRLFBLLFLLBRFLBBLFRRBFLRLLFLRBLRFLLRRRBFRFBLLLLLBBRBLLRLBLBLRBLRFLBRBFBLFRLBFBFR,0.092349514,0.0,0.11731839,0.31347963
2,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,0.032988373,0.56497175,0.3267974,0.9247575,RFBLLLLRLLBFFBFLLLFLBBFBLBRLLBFLRLFRBLBBBRFBRBLLRLFLBFBBFBBFBFBBLLBLLBFLRLRBRLBFFLBRBRBFFFLLRLBRBLRR,0.15590376,0.0,0.12994349,0.3267974
3,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,0.03846154,0.5780347,0.36101082,0.9775071,LFLFLBLLRBLLFFBFLRLRBLFFBBBFLLBLBLBLLFRBRFLRLLLRBRBFLRLFFBBBRRLBLLRBBBLFFBBBLLRLBBLFLBBLLFBRFRFBB8BB,0.16666667,0.0,0.1560694,0.36101082
4,T,112.0,1.0,0.556962,0.3154122,1.8723742,112.0,1.0,0.556962,0.3154122,1.8723742,112.0,1.0,0.556962,0.3154122,1.8723742,112.0,1.0,0.556962,0.3154122,1.8723742,112.0,99999.0,99999.0,99999.0,299997.0,112.0,99999.0,99999.0,99999.0,299997.0,112.0,99999.0,99999.0,99999.0,299997.0,112.0,99999.0,99999.0,99999.0,299997.0,RLBFRFLRFLLBLBLLLLFLBLLBFBRLLBLBLRRRLLBFBRBBLBLRLLFRBLBLRLBFBFBFBLBFLBBLRLBBRFBBLLBBRRBF,RLBFRFLRFLLBLBLLLLFLBLLBFBRLLBLBLRRRLLBFBRBBLBLRLLFRBLBLRLBFBFBFBLBFLBBLRLBBRFBBLLBBRRBF,RLBFRFLRFLLBLBLLLLFLBLLBFBRLLBLBLRRRLLBFBRBBLBLRLLFRBLBLRLBFBFBFBLBFLBBLRLBBRFBBLLBBRRBF,RLBFRFLRFLLBLBLLLLFLBLLBFBRLLBLBLRRRLLBFBRBBLBLRLLFRBLBLRLBFBFBFBLBFLBBLRLBBRFBBLLBBRRBF,,,,,,,1.0,0.120000005,0.11392403,0.3154122
5,T,0.0,1.0,0.556962,0.3154122,1.8723742,93.0,1.0,0.6111111,0.35772356,1.9688348,93.0,1.0,0.6111111,0.35772356,1.9688348,93.0,1.0,0.6111111,0.35772356,1.9688348,75.0,0.0,0.65691805,0.5434835,1.2004015,75.0,0.0,0.65691805,0.5434835,1.2004015,75.0,0.0,0.65691805,0.5434835,1.2004015,75.0,0.0,0.65691805,0.5434835,1.2004015,LFLFLBLBLLFLLLBLBLBLLFRBRFLLBBRBLBBBLBLLBBLFLBBB8BBBBBBB,LFLFLBLBLLFLLLBLBLBLLFRBRFLLBBRBLBBBLBLLBBLFLBBB8BBBBBBB,LFLFLBLBLLFLLLBLBLBLLFRBRFLLBBRBLBBBLBLLBBLFLBBB8BBBBBBB,LFLFLBLBLLFLLLBLBLBLLFRBRFLLBBRBLBBBLBLLBBLFLBBB8BBBBBBB,,,,,,,1.0,0.44,0.20430112,0.3566879
6,T,0.0,1.0,0.556962,0.3154122,1.8723742,82.0,1.0,0.7017544,0.29850745,2.0002618,32.0,1.0,0.6233766,0.384,2.0073767,32.0,1.0,0.6233766,0.384,2.0073767,9.0,0.0,0.07395605,0.16433208,0.23828813,45.0,0.0,0.061885476,99999.0,99999.06,82.0,0.0,99999.0,0.16427904,99999.164,9.0,0.0,0.07395605,0.16433208,0.23828813,RBBFBFLRFLLRLBFLLLFLBLLLLBBLLFBBLRBRLBBFBLBBLLLRLBLRBLBLRLRFBRFFBLBFLBBBRBBBRLBB,LLFLBLBLLFLLLBLBLBLLFRBRFLLBRBLBBBLBLLBBLFLBBB8BBBBBBB,LFLLLBLLLLLBLBLLBLLBBBBBLLBBLLBB8BBBBBBB,RBBFBFLRFLLRLBFLLLFLBLLLLBBLLFBBLRBRLBBFBLBBLLLRLBLRBLBLRLRFBRFFBLBFLBBBRBBBRLBB,,,,,,,1.0,0.19999999,0.15107918,0.33472803
7,T,0.0,1.0,0.556962,0.3154122,1.8723742,90.0,1.0,0.7017544,0.20100503,1.9027593,75.0,1.0,0.6376812,0.43564355,2.0733247,75.0,1.0,0.6376812,0.43564355,2.0733247,5.0,0.0,0.18557656,0.09520012,0.28077668,20.0,0.0,0.040170625,0.13271388,0.17288451,95.0,0.0,0.24233116,0.027093815,0.26942497,91.0,0.0,0.046690017,0.08204937,0.12873939,LFLFLBLBLLFLLLBLBLBLLFRBRFLLBBRBLBBBLBLLBBLFLBBB8BBBBBBB,LFLFLBLLFLLLBLBLBLLLBBRBLBBBLBLLBBLFLBBB8BBBBBBB,LFLLLBLLLLLLBLBLBBLBBBLBLLBBLLBB8BBBBBBB,LFLFLBLBLLFLLLBLBLBLLFRBRFLLBBBLBBBBLLBBLLBBB8BBBBBB,,,,,,,1.0,0.48000002,0.25301206,0.36879432
8,T,0.0,1.0,0.556962,0.3154122,1.8723742,85.0,1.0,0.7346939,0.23684211,1.971536,90.0,1.0,0.6666667,0.40384614,2.0705128,90.0,1.0,0.6666667,0.40384614,2.0705128,1.0,0.0,0.042862374,0.033268403,0.07613078,49.0,0.0,0.0,0.3354555,0.3354555,78.0,0.0,0.0,0.023341078,0.023341078,78.0,0.0,0.0,0.023341078,0.023341078,RBBFBFLRFLLRLBFLLLFLBLLLLBBLLFBBLRBRLBBFBLBBLLLRLBLRBLBLRLRFBRFFBLBFLBBBRBBBRLBB,LLFLBLBLLFLLLBLLLLBRFLBBBLBBBBLLBBLLBBB8BBBBBB,LFLLLBLLLLLBLBLLBLLBBBBBLLBBLLBB8BBBBBBB,LFLLLBLLLLLBLBLLBLLBBBBBLLBBLLBB8BBBBBBB,,,,,,,1.0,0.6,0.40350878,0.29850745
9,T,0.0,1.0,0.556962,0.3154122,1.8723742,99.0,1.0,0.74509805,0.2753623,2.0204604,24.0,1.0,0.6233766,0.384,2.0073767,90.0,1.0,0.7017544,0.37037036,2.0721247,1.0,0.0,0.107038885,0.08838593,0.19542482,11.0,0.0,0.0,0.1008911,0.1008911,79.0,0.0,0.05896208,0.033582166,0.09254424,23.0,0.0,0.0,0.07000689,0.07000689,LFLFLBLBLLLLLBLBLLBLLBBBBBLLBBLLBB8BBBBBBB,LFLLLBLLFLLLBLBLBLLBLBBBBBLLBBLLBB8BBBBBBB,LLFLBLBLLFLLLBLLLLBRLBBBLBBBLLBBLLBBB8BBBBBB,LLFLBLBLLFLLLBLLLLBRFLBBBLBBBBLLBBLLBBB8BBBBBB,,,,,,,1.0,0.53999996,0.33333337,0.26744187
