genID,reachGoal,bC-ID,bC-C,bC-Sm,bC-Sf,bC-A,bSm-ID,bSm-C,bSm-Sm,bSm-Sf,bSm-A,bSf-ID,bSf-C,bSf-Sm,bSf-Sf,bSf-A,bA-ID,bA-C,bA-Sm,bA-Sf,bA-A,bCCD-ID,bCCD-C,bCCD-Sm,bCCD-Sf,bCCD-A,bSmCD-ID,bSmCD-C,bSmCD-Sm,bSmCD-Sf,bSmCD-A,bSfCD-ID,bSfCD-C,bSfCD-Sm,bSfCD-Sf,bSfCD-A,bACD-ID,bACD-C,bACD-Sm,bACD-Sf,bACD-A,Cmd-bCCD,Cmd-bSmCD,Cmd-bSfCD,Cmd-bACD,bf-ID,bf-C,bf-Sm,bf-Sf,bf-A,Cmd-bf,f_gr,f_t,f_sm,f_sf
0,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,0.0020807849,0.5586592,0.8333333,1.3940732,RRLRLRFFLFRLRLRRLBLRBRFLLFBBLLFBRRLBFLRFLFLFFFBBFLBRFFLFFLBLRLRFLBBFFLBBLBLLFBRLBLBBRFLRBRLRLFFRBBBL,0.043669082,0.0,0.11731839,0.8333333
1,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,0.00348927,0.56497175,0.5988024,1.1672634,BFBFFFLLFFFBRFLFLBFRLRFLRLRBLLLBLFBLRLLBRRFFRBLFBBLFBBFRLLBFBLLRBLBBBBBRBLLRRLFRBRLLBRLLFBFBLRFBFBRF,0.0558675,0.0,0.12994349,0.5988024
2,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,0.006203629,0.64912283,0.4512195,1.1065459,RFFLRFRBLBLFFLFLFFLLLLBLLFFFFFLBBRBBLBRBBBLBBRBRBBBBBBLLBBLLBBBBBBLLBBBFLL,0.0732233,0.26,0.29824567,0.4512195
3,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0.008092674,0.62184876,0.50340134,1.1333427,RFFLRFFBLBLFFLFLBFLLLLBLLFFFBLRBRRBBLLRBBBLRBBBBBBBBBBLLBBRLBBBFBFRLRBFFRL,0.082842715,0.26,0.24369752,0.50340134
4,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,0.01677081,0.72727275,0.4028777,1.1469213,RFFFLBLFFLFLLLLLBLLFRRBBLBBBBBBBBBBBBBLLBBBBRFRRRRFFFFFF,0.11551541,0.44,0.4545455,0.4028777
5,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,0.048815534,0.71794873,0.42424244,1.1910067,RFFLLBLFFLFRFFLLLLBLLBBBLFRBBBBBBBBBBBLBBBBBBRRRRRFFRRRR,0.18469903,0.44,0.43589747,0.42424244
6,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,0.05882353,0.70886075,0.35443038,1.1221147,RFFL1BLFFLFRFFLLLLBLLBBBLFRBBBBBBBBBBBLBBBBBBRRRRRFFRRRR,0.2,0.44,0.4177215,0.35443038
7,T,30.0,1.0,0.7209302,0.45255473,2.173485,30.0,1.0,0.7209302,0.45255473,2.173485,30.0,1.0,0.7209302,0.45255473,2.173485,30.0,1.0,0.7209302,0.45255473,2.173485,30.0,99999.0,99999.0,99999.0,299997.0,30.0,99999.0,99999.0,99999.0,299997.0,30.0,99999.0,99999.0,99999.0,299997.0,30.0,99999.0,99999.0,99999.0,299997.0,RFFLLBLFFLFRFFLLLLBLLBBBLFRBBBBBBBBBBBLBBBBBBRRRRRRRFFFFRRFFRR,RFFLLBLFFLFRFFLLLLBLLBBBLFRBBBBBBBBBBBLBBBBBBRRRRRRRFFFFRRFFRR,RFFLLBLFFLFRFFLLLLBLLBBBLFRBBBBBBBBBBBLBBBBBBRRRRRRRFFFFRRFFRR,RFFLLBLFFLFRFFLLLLBLLBBBLFRBBBBBBBBBBBLBBBBBBRRRRRRRFFFFRRFFRR,,,,,,,1.0,0.38,0.44186044,0.45255473
8,T,0.0,1.0,0.7209302,0.45255473,2.173485,78.0,1.0,0.8,0.34042552,2.1404254,0.0,1.0,0.7209302,0.45255473,2.173485,81.0,1.0,0.7878788,0.43333334,2.2212121,26.0,0.0,0.11066528,99999.0,99999.11,90.0,0.0,0.040723972,0.11120452,0.15192848,98.0,0.0,0.14507976,0.024485376,0.16956514,31.0,0.0,0.058031905,0.046688914,0.104720816,RFFLLBLFFLFRFLLLBLLBBBLFRBBBBBBBBBLBBBBBRRRRRRRFFFRRFR,RFFLLBLFFLFRFFLLLLBLLBBBLFRBBBBBBBBBBBBBBBBBRRRRRRFFFFRRFFRR,RFFLLBLFFLFFFLLLBLBBBLBBBBBBBBBBLBBBBBBRRRRRRRFFFFRRFFRR,RFFLLBLFLFRFFLLLLBLLBBBLFRBBBBBBBBBLBBBBBRRRRRRRFFFRRFRR,,,,,,,1.0,0.44,0.39999998,0.3218391
9,T,0.0,1.0,0.7209302,0.45255473,2.173485,8.0,1.0,0.7878788,0.38518518,2.173064,0.0,1.0,0.7209302,0.45255473,2.173485,0.0,1.0,0.7209302,0.45255473,2.173485,5.0,0.0,0.14980952,99999.0,99999.15,15.0,0.0,0.0,0.103489555,0.103489555,76.0,0.0,99999.0,0.0074403905,99999.01,10.0,0.0,0.012588728,0.06368006,0.07626879,RFFLLBLFFLFRFFLLLFBLLBBBLFRBBBBBBBBBBBLBBBRBBR1RRRRRFFFFRRR,RFFLLBLFLFRFFLLLLBLLBBBLFRBBBBBBBBBLBBBBBBRRRRRRRFFFRRFFRR,RFFLLBLFFLFFLLLLLBBBBBBBBBBBBBBBBBBBRRRRRRFFFFRRFFRR,RFFLLBLFFLFRFFLLLLBLLBBLFRBBBBBBBBBBLBBBBBBRRRRRRRFFFRRFRR,,,,,,,1.0,0.42000002,0.4146341,0.4
