genID,reachGoal,bC-ID,bC-C,bC-Sm,bC-Sf,bC-A,bSm-ID,bSm-C,bSm-Sm,bSm-Sf,bSm-A,bSf-ID,bSf-C,bSf-Sm,bSf-Sf,bSf-A,bA-ID,bA-C,bA-Sm,bA-Sf,bA-A,bCCD-ID,bCCD-C,bCCD-Sm,bCCD-Sf,bCCD-A,bSmCD-ID,bSmCD-C,bSmCD-Sm,bSmCD-Sf,bSmCD-A,bSfCD-ID,bSfCD-C,bSfCD-Sm,bSfCD-Sf,bSfCD-A,bACD-ID,bACD-C,bACD-Sm,bACD-Sf,bACD-A,Cmd-bCCD,Cmd-bSmCD,Cmd-bSfCD,Cmd-bACD,bf-ID,bf-C,bf-Sm,bf-Sf,bf-A,Cmd-bf,f_gr,f_t,f_sm,f_sf
0,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,0.1464466,0.5847953,0.44642857,1.1776705,LLFFLLRFFLRBBBLLLBBLRRFLFRBFBBLLLLRBLLBLLBLFLFFRLBRRBFRFLRFBBBFBFLRLBFLFBFRBBLLFFRLRRFRLBBRRBLLLFRBL,0.2928932,0.0,0.16959059,0.44642857
1,T,181.0,1.0,0.6344086,0.6413044,2.275713,470.0,1.0,0.6455696,0.56666666,2.2122362,410.0,1.0,0.57522124,1.0,2.5752213,410.0,1.0,0.57522124,1.0,2.5752213,400.0,0.0,0.14746274,0.066207714,0.21367046,479.0,0.0,0.0028260727,0.13496755,0.13779363,402.0,0.0,0.022836315,0.0051440815,0.027980397,451.0,0.0,0.013486643,0.009985779,0.023472423,RRRLRLRBLLLBLRRBFBLBLLBBBBLBBFRRBBBBFFBFBLBBBBRFRRF,FLRFLLLBRRLLBRRFFLBBLRLFRFBBRLLRLRBFRRRLRLLBLBBLRFBRLRLBLBBBBLBRFBRLRBBRBBRBL,LLFLBLRBFLRBBFRLFBBRRLFLBRLLBBLLRRRLBFBBBBLFLLFRLBRRBFRFBFFBBBFBBLRLRBLBBLRBRRBFFRBLBFRLRBRRLLRLBRB,LFLRFLFLLBLLFBBRBRBLRBBRRLBLBBFBFFBBBRLBBLRBLLRRRBRBLBBRFLRBRRLBF,,,,,,,1.0,0.35000002,0.14035082,0.5652174
2,T,0.0,1.0,0.6344086,0.6413044,2.275713,102.0,1.0,0.8076923,0.31343284,2.1211252,2.0,1.0,0.57522124,1.0,2.5752213,300.0,1.0,0.7105263,1.0,2.7105262,1.0,0.0,0.0043895836,0.003850123,0.008239707,141.0,0.0,0.0,0.06144647,0.06144647,171.0,0.0,0.018659815,0.0,0.018659815,151.0,0.0,0.0035763993,0.0024211423,0.0059975414,LLFLBLRBFLRBBFRLFBBRRLFLBRLLBBLLRRRLBFBBBBLFLLFRLBRRBFRFBFFBBBFBBLRLRBLBBLRBRRBFFRBLBFRLRBRRLLRLBRB,FLLLBBRBLBBLBLBBRRBBRBRBBBBRF,FLLBBLLBBBBLLFRFLLFRBRFRBBBBBLBBBRBLBBRBBBRRRRFFF,FLBBLLFRBBBBLLBBRBBLBRBBRBRBBRR,,,,,,,1.0,0.69,0.24000001,0.6458333
3,T,0.0,1.0,0.6344086,0.6413044,2.275713,186.0,1.0,0.875,0.3442623,2.2192624,37.0,1.0,0.57522124,1.0,2.5752213,257.0,1.0,0.64835167,0.9672131,2.6155648,1.0,0.0,0.082626894,0.00874025,0.09136714,63.0,0.0,0.0,0.0058958544,0.0058958544,103.0,0.0,0.08608008,0.0,0.08608008,126.0,0.0,0.0,0.0025986116,0.0025986116,FBBBLFBLLBBRFLBLBFRLRBBFBFBFLBRBFLRFFFBBBBBLRFBR2BRBRB8RBRRLBRLLRBL,LBLBLBBBBBBBBBBRBLLBRRBRR,LLLLLBRRBBBBBBBBBBBBBRRBR,FLBRBLBRBLLLBLBBRBLBRBBBBRBBLLBRRRRFL,,,,,,,1.0,0.63,0.19354844,0.5285714
4,T,0.0,1.0,0.6344086,0.6413044,2.275713,48.0,1.0,0.84,0.3442623,2.1842623,57.0,1.0,0.57522124,1.0,2.5752213,161.0,1.0,0.65957445,1.0,2.6595745,1.0,0.0,0.044733282,0.0065004216,0.051233705,36.0,0.0,0.0,0.0043931464,0.0043931464,13.0,0.0,0.050278604,0.0,0.050278604,107.0,0.0,0.0,0.0,0.0,FLFLBLBBBBBBBBBBRBBRBBRBL,LBLFLBRBLBBBBBBBBBBBBRBRB,LBLBLBBBBBBBBRBBBRBBB,BBLBLBBBBBBBBBBBBRRBR,,,,,,,1.0,0.79,0.5,0.3442623
5,T,0.0,1.0,0.6344086,0.6413044,2.275713,347.0,1.0,0.84,0.3442623,2.1842623,41.0,1.0,0.6744186,1.0,2.6744187,123.0,1.0,0.75609756,1.0,2.7560976,1.0,0.0,0.02377425,0.0013417775,0.025116026,27.0,0.0,0.0,0.014837306,0.014837306,9.0,0.0,0.041208904,0.0,0.041208904,74.0,0.0,0.0,0.0,0.0,LBLLBBBBBBBBBBBRBRBBB,LFFBBLFLBRBLBBBBBBBBBBBBBRLRBRB,LBLLBBBBBBBBBBBBRBBRR,LBLBLBBLBBBBBBBBRBBBBRRFR,,,,,,,1.0,0.75,0.35135138,0.6097561
6,T,0.0,1.0,0.6344086,0.6413044,2.275713,166.0,1.0,0.87096775,0.40298507,2.2739527,8.0,1.0,0.65957445,1.0,2.6595745,91.0,1.0,0.6744186,1.0,2.6744187,1.0,0.0,0.002672445,0.006688329,0.0093607735,11.0,0.0,0.0,0.024102744,0.024102744,18.0,0.0,0.0047154548,0.0,0.0047154548,35.0,0.0,0.0,0.0,0.0,LBLBLLBBBBBBBBRBBRBRBBB,LLBLLBBBBBBBRBBBBBRBRBB,FLLLBLBRRBBBBLBBBBLBRRBRBBRBL,LBLLBLBBBBBBBBBBBRBBRRR,,,,,,,1.0,0.77,0.48387098,0.5897436
7,T,0.0,1.0,0.6344086,0.6413044,2.275713,11.0,1.0,0.84,0.3442623,2.1842623,10.0,1.0,0.65957445,1.0,2.6595745,323.0,1.0,0.70731705,1.0,2.707317,1.0,0.0,0.01440091,0.013347723,0.027748633,24.0,0.0,0.0,0.003129062,0.003129062,13.0,0.0,0.029627344,0.0,0.029627344,26.0,0.0,0.0,0.0,0.0,FBBLBBLBLLRBFFBBFBBBBLBBBRRLBRBBBRFRR,LLBLLBBBBBBBRBBBBBRBRBB,LBLLBLBBBBBBBBBBBRBBRRR,LLBLLBBBBBBBBBBBBRBRBRF,,,,,,,1.0,0.77,0.4375,0.5897436
8,T,0.0,1.0,0.6344086,0.6413044,2.275713,36.0,1.0,0.84,0.3442623,2.1842623,3.0,1.0,0.70731705,1.0,2.707317,388.0,1.0,0.7714286,1.0,2.7714286,1.0,0.0,0.004896173,0.008006138,0.01290231,29.0,0.0,0.0,0.0136752715,0.0136752715,21.0,0.0,0.030998714,0.0,0.030998714,45.0,0.0,0.0057201134,0.0,0.0057201134,FLRLLBBBBBBBBBBBBRBBRBL,LBLBLLBBBBBBBBRBBRBRBBB,LFBLLBLBBBBBBBBBBBBBRBRRR,FLLFBLBLRBLBBBBBBBBBRBBRBBRRL,,,,,,,1.0,0.71000004,0.28888893,1.0
9,T,0.0,1.0,0.6344086,0.6413044,2.275713,44.0,1.0,0.84,0.3442623,2.1842623,31.0,1.0,0.7714286,1.0,2.7714286,308.0,1.0,0.8064516,1.0,2.8064516,1.0,0.0,0.027934927,0.0129587315,0.04089366,21.0,0.0,0.0,0.00418629,0.00418629,15.0,0.0,0.0034190516,0.0,0.0034190516,147.0,0.0,0.0,0.0,0.0,FLLBBBBLLFRRBBBBBLBLLBBRBLBRBBBRRRRFF,FRBBBLLLBLBBBBBBRBRBBRBBL,LBLBLBBBBBBBBBBRBBRBR,LLBLBLBBBBBBRBBBBRBBBRR,,,,,,,1.0,0.77,0.39393938,0.44230768
