genID,reachGoal,bC-ID,bC-C,bC-Sm,bC-Sf,bC-A,bSm-ID,bSm-C,bSm-Sm,bSm-Sf,bSm-A,bSf-ID,bSf-C,bSf-Sm,bSf-Sf,bSf-A,bA-ID,bA-C,bA-Sm,bA-Sf,bA-A,bCCD-ID,bCCD-C,bCCD-Sm,bCCD-Sf,bCCD-A,bSmCD-ID,bSmCD-C,bSmCD-Sm,bSmCD-Sf,bSmCD-A,bSfCD-ID,bSfCD-C,bSfCD-Sm,bSfCD-Sf,bSfCD-A,bACD-ID,bACD-C,bACD-Sm,bACD-Sf,bACD-A,Cmd-bCCD,Cmd-bSmCD,Cmd-bSfCD,Cmd-bACD,bf-ID,bf-C,bf-Sm,bf-Sf,bf-A,Cmd-bf,f_gr,f_t,f_sm,f_sf
0,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169,0.05882353,0.56497175,1.0,1.6237953,RBLLLFBBBLRBLLBBLBBRFLRBBLRBLRBRRRLLFLFBLBLLBFRLBFLLRLFLLBLRLBLFLBLLFBFRBLLFFBLBBLBBFRLFRFRLLFBFBBBL,0.2,0.0,0.12994349,1.0
1,T,446.0,1.0,0.58235294,0.8319328,2.4142857,446.0,1.0,0.58235294,0.8319328,2.4142857,446.0,1.0,0.58235294,0.8319328,2.4142857,446.0,1.0,0.58235294,0.8319328,2.4142857,454.0,0.0,99999.0,1.0,100000.0,477.0,99999.0,1.0,99999.0,199999.0,454.0,0.0,99999.0,1.0,100000.0,454.0,0.0,99999.0,1.0,100000.0,BFLLRLBLRRFBFBLBLRRLBLRBLRFLBRRRFLLLBLLLBFBLFBBRLBBRRBBBLRRBBBRBFRBRRLFBLBRLFBRFRFBLRRLBB,LRFRBRLRBLBBFBRFLFBBLLLRLLFRRFLLBFRBRFBLRBRLFLLLBFFLFFRRBFBLBRLFBBBLBFBFBLRLBBFBBBBBBRRBRRRBLRBBL,BFLLRLBLRRFBFBLBLRRLBLRBLRFLBRRRFLLLBLLLBFBLFBBRLBBRRBBBLRRBBBRBFRBRRLFBLBRLFBRFRFBLRRLBB,BFLLRLBLRRFBFBLBLRRLBLRBLRFLBRRRFLLLBLLLBFBLFBBRLBBRRBBBLRRBBBRBFRBRRLFBLBRLFBRFRFBLRRLBB,,,,,,,1.0,0.110000014,0.13375795,0.712
2,T,0.0,1.0,0.58235294,0.8319328,2.4142857,306.0,1.0,0.8,0.3783784,2.1783783,291.0,1.0,0.6076923,1.0,2.6076922,291.0,1.0,0.6076923,1.0,2.6076922,2.0,0.0,0.029833402,0.027724374,0.057557777,424.0,0.0,0.0014919913,0.02452777,0.026019761,341.0,0.0,0.045021217,8.920261E-4,0.04591324,350.0,0.0,0.015587936,0.0015926231,0.017180558,LRFRBRLRBLBBFBRFLFBBLLLRLLFRRFLLBFRBRFBLRBRLFLLLBFFLFFRRBFBLBRLFBBBLBFBFBLRLBBFBBBBBBRRBRRRBLRBBL,RLLBBBLRLFLFBRFFLRBRRFBLBRLBRLRLLBLFBBLBLLRBBFRLLRBBBRRLLRRRBBBBFFBRBBRLRFFBFLBFBRBFBLFRRLBRF,RLLBBFLLLFLFBLFFBBRRBBBBRBBBBBBBBBRRBRBRB,BLLLBBBLBBBBBBBBRBRBRRBBB,,,,,,,1.0,0.75,0.42857146,0.36231884
3,T,0.0,1.0,0.58235294,0.8319328,2.4142857,12.0,1.0,0.8,0.3783784,2.1783783,88.0,1.0,0.6076923,1.0,2.6076922,149.0,1.0,0.63917524,1.0,2.6391752,3.0,0.0,0.0033787102,0.023012703,0.026391413,66.0,0.0,0.0,0.005457973,0.005457973,149.0,0.0,0.026678758,0.0,0.026678758,383.0,0.0,0.0,0.0032493868,0.0032493868,RLLBBFBLLFBLBLFFLBBFRRBLLRLBRBLRLBRBBBFBRLRBBFRBRRBBRRRLBBR,BBBLLFBLBLBBBBBBBBRRBBRRRRBBLL,RBBLLFLFFF8BLBLBLLB1FFRBBBBLLBLFRRRBBLLBBLL1BRRBBRRRBBRRBBRRRR,LBLBLBLLBLBBBBBBBRBBRRRBBRF,,,,,,,1.0,0.73,0.28571427,0.5510204
4,T,0.0,1.0,0.58235294,0.8319328,2.4142857,300.0,1.0,0.8064516,0.3846154,2.191067,145.0,1.0,0.64912283,1.0,2.6491227,395.0,1.0,0.7380952,0.93939394,2.6774893,1.0,0.0,0.07358553,0.0027933351,0.07637887,38.0,0.0,0.0,0.009261627,0.009261627,152.0,0.0,0.008751389,0.0,0.008751389,182.0,0.0,0.0,0.0,0.0,BBBLLLLBBBBBBBBBRRBBRRRRBBLL,BFLLBLBBBLBBBBBBBBBRBRRBBRB,RBBLFLFFFBLBLBLLB1FFRBBRFLBLBBLLBRRBBLLBBLL1BRRBBRRRRBRRBBRRR,BLLLBBBLBBBBBBBRBBRBRRBBB,,,,,,,1.0,0.75,0.42857146,0.33783785
5,T,0.0,1.0,0.58235294,0.8319328,2.4142857,15.0,1.0,0.8,0.3783784,2.1783783,93.0,1.0,0.6306306,1.0,2.6306305,331.0,1.0,0.74358976,0.9354839,2.6790736,1.0,0.0,0.006498819,0.014681731,0.021180551,26.0,0.0,0.0,0.028478036,0.028478036,28.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,LFRBBBBRFLBLLFRRFLBLLFLFFRBLBBBLBLBBBBBBBRRBRRRBBBL,BLLBLBBBLBBBBBBBBRBRRBBRB,BLLBBLBLBBBBBBBRBBBRRBRBB,BLLBBLBLBBBBBBBRBBBRRBRBB,,,,,,,1.0,0.75,0.35135138,0.33783785
6,T,0.0,1.0,0.58235294,0.8319328,2.4142857,7.0,1.0,0.8,0.3783784,2.1783783,17.0,1.0,0.6,0.97402596,2.574026,138.0,1.0,0.67346936,0.94285715,2.6163263,1.0,0.0,0.004974046,0.1589782,0.16395225,5.0,0.0,0.0,0.014829625,0.014829625,30.0,0.0,0.010815433,0.0,0.010815433,37.0,0.0,0.0,0.0,0.0,RBBBLLFLFFFF8BLBLBBFLLFBB1RLFFRBBRFLBLBBLLBLFRRRBBLLBBLL1BRRBBRRRRBBRRBBRRRRBB,RLLBBFLLLFLLFLBRBRBRBBBBBBBRBBRBBBRRBRB,BLLBBLBLBBBBBBBRBBRBRBRBB,RLLBBLLBBBBBBBBBRBBRRBBRB,,,,,,,1.0,0.75,0.42857146,0.37313432
7,T,0.0,1.0,0.58235294,0.8319328,2.4142857,101.0,1.0,0.8064516,0.3846154,2.191067,34.0,1.0,0.6,0.97402596,2.574026,320.0,1.0,0.65957445,0.93939394,2.5989685,2.0,0.0,0.01677584,0.003145301,0.019921143,10.0,0.0,0.0,0.03602361,0.03602361,11.0,0.0,0.043826293,0.0,0.043826293,50.0,0.0,0.0,0.0,0.0,BLLLBBLBBBBBBBBBBRBRRBRBB,LBBLLLBLBBBBBBBBRBRRRBBBL,LBLLLLBBBBBBBBBBBBRRRBBRB,BLLBLBBLBBBBBBBBBRBRRBBRB,,,,,,,1.0,0.75,0.35135138,0.37313432
8,T,0.0,1.0,0.58235294,0.8319328,2.4142857,12.0,1.0,0.8064516,0.3846154,2.191067,418.0,1.0,0.6481481,1.0,2.648148,418.0,1.0,0.6481481,1.0,2.648148,1.0,0.0,0.027874708,0.0030356834,0.030910391,61.0,0.0,0.0,0.0,0.0,6.0,0.0,0.03928566,0.0,0.03928566,61.0,0.0,0.0,0.0,0.0,BLLLBBLBBBBBBBBBBRBRRBRBB,BFLLBLBBBLBBBBBBBBBRBRRBBRB,LBLLLLBBBBBBBBBBBBRRRBBRB,BFLLBLBBBLBBBBBBBBBRBRRBBRB,,,,,,,1.0,0.73,0.35000002,0.39130434
9,T,0.0,1.0,0.58235294,0.8319328,2.4142857,226.0,1.0,0.8333333,0.3846154,2.2179487,52.0,1.0,0.6481481,1.0,2.648148,52.0,1.0,0.6481481,1.0,2.648148,1.0,0.0,0.0050086067,0.009261627,0.014270233,36.0,0.0,0.0,0.15159036,0.15159036,5.0,0.0,0.055194892,0.0,0.055194892,73.0,0.0,0.0,0.0,0.0,BFLLBLBBBLBBBBBBBBBRBRRBBRB,RLLBLLLLBBBBBB1BRRBBBBRBRBRRB,BBBLLLLBBBBBBBBBRBBBRRRFBBL,BLLLBBBLBBBBBBBBBRBRRBBRB,,,,,,,1.0,0.75,0.42857146,0.37313432
