genID,reachGoal,bC-ID,bC-C,bC-Sm,bC-Sf,bC-A,bSm-ID,bSm-C,bSm-Sm,bSm-Sf,bSm-A,bSf-ID,bSf-C,bSf-Sm,bSf-Sf,bSf-A,bA-ID,bA-C,bA-Sm,bA-Sf,bA-A,bCCD-ID,bCCD-C,bCCD-Sm,bCCD-Sf,bCCD-A,bSmCD-ID,bSmCD-C,bSmCD-Sm,bSmCD-Sf,bSmCD-A,bSfCD-ID,bSfCD-C,bSfCD-Sm,bSfCD-Sf,bSfCD-A,bACD-ID,bACD-C,bACD-Sm,bACD-Sf,bACD-A,Cmd-bCCD,Cmd-bSmCD,Cmd-bSfCD,Cmd-bACD,bf-ID,bf-C,bf-Sm,bf-Sf,bf-A,Cmd-bf,f_gr,f_t,f_sm,f_sf
0,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,0.0018253247,0.57471263,0.57471263,1.1512506,FFBRLBRLBFLRLFLBLLFBBBBRLBBLLBFFRBLFBRBBRRFRBLLBRFLFBLFLBRBFFFRRBBLRFLBRFFRRFLLRFRBBRRLFBFRFFBBBRRBB,0.041009195,0.0,0.14942527,0.57471263
1,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,0.00546888,0.5780347,0.1572327,0.7407363,FFBBLRLLRFLRFFLBLLFBRBBLBBBBBRFBRBRFRRBFRRFBBRLRFBRBLFFLLRBFFBRBFLBRFLLRRLLRFBLRRRLBRLLFBFRBBBBBFRBL,0.0690356,0.0,0.1560694,0.1572327
2,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00546888,0.5780347,0.1572327,0.7407363,FFBBLRLLRFLRFFLBLLFBRBBLBBBBBRFBRBRFRRBFRRFBBRLRFBRBLFFLLRBFFBRBFLBRFLLRRLLRFBLRRRLBRLLFBFRBBBBBFRBL,0.0690356,0.0,0.1560694,0.1572327
3,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,0.010992567,0.5780347,0.14947683,0.7385041,FBLRLFLBLLRRFFLLBFFBRBBLBBBBRLBRRRRRRRBFRBFBLRLRFBRBLFFLLRBFRBBBFBBRFLBBRLLLFRBRLRLFBLLRLFRBLFBBFRLL,0.09537179,0.0,0.1560694,0.14947683
4,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,0.01450513,0.6727273,0.18781726,0.8750497,FBLFLFLBBLBBBBBRRRRRRRRBRBLBBRFLBBLLFRBLLFRBLLLLLLFFFFRRBBLLLLLLBBBFLLFFFF,0.10819419,0.26,0.34545457,0.18781726
5,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.01450513,0.6727273,0.18781726,0.8750497,FBLFLFLBBLBBBBBRRRRRRRRBRBLBBRFLBBLLFRBLLFRBLLLLLLFFFFRRBBLLLLLLBBBFLLFFFF,0.10819419,0.26,0.34545457,0.18781726
6,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,0.01870703,0.6486486,0.14723927,0.8145949,FFLBLRRFBBLLLLBBBBBRRRRRRRBRFBLRBBBBRLLLFLBLRRLLLLBLFRRRFBLRRRRLRRFBLLRL,0.121320345,0.27999997,0.29729724,0.14723927
7,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,0.022068378,0.675,0.19148937,0.8885578,FFLBRBLLLLBBBBBRRRRRRRBRBBBBLLFLBLLLBLFRBBLLBBRRBBLLBB,0.13060194,0.45999998,0.35000002,0.19148937
8,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,0.5,0.6434783,0.13653137,1.2800096,FBLRLLLBLLBBRBBRRRRRRRRBFBFBBBFBBBLLLRLLLRRLLLLRLLBFBFRRLLBFBLRLRBBBBBRRBR,0.5,0.26,0.28695655,0.13653137
9,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.5,0.6434783,0.13653137,1.2800096,FBLRLLLBLLBBRBBRRRRRRRRBFBFBBBFBBBLLLRLLLRRLLLLRLLBFBFRRLLBFBLRLRBBBBBRRBR,0.5,0.26,0.28695655,0.13653137
10,T,103.0,1.0,0.6603774,0.13806707,1.7984445,103.0,1.0,0.6603774,0.13806707,1.7984445,103.0,1.0,0.6603774,0.13806707,1.7984445,103.0,1.0,0.6603774,0.13806707,1.7984445,103.0,99999.0,99999.0,99999.0,299997.0,103.0,99999.0,99999.0,99999.0,299997.0,103.0,99999.0,99999.0,99999.0,299997.0,103.0,99999.0,99999.0,99999.0,299997.0,FBLRLLLBLLBBRBBRRRLRRRRLRRRBBBFFBBBLBRLLLRRLLLLRLLLRLLRRLLBBBBRBRRBRBB,FBLRLLLBLLBBRBBRRRLRRRRLRRRBBBFFBBBLBRLLLRRLLLLRLLLRLLRRLLBBBBRBRRBRBB,FBLRLLLBLLBBRBBRRRLRRRRLRRRBBBFFBBBLBRLLLRRLLLLRLLLRLLRRLLBBBBRBRRBRBB,FBLRLLLBLLBBRBBRRRLRRRRLRRRBBBFFBBBLBRLLLRRLLLLRLLLRLLRRLLBBBBRBRRBRBB,,,,,,,1.0,0.3,0.32075477,0.13806707
11,T,0.0,1.0,0.6603774,0.13806707,1.7984445,0.0,1.0,0.6603774,0.13806707,1.7984445,0.0,1.0,0.6603774,0.13806707,1.7984445,0.0,1.0,0.6603774,0.13806707,1.7984445,0.0,99999.0,99999.0,99999.0,299997.0,0.0,99999.0,99999.0,99999.0,299997.0,0.0,99999.0,99999.0,99999.0,299997.0,0.0,99999.0,99999.0,99999.0,299997.0,FBLRLLLBLLBBRBBRRRLRRRRLRRRBBBFFBBBLBRLLLRRLLLLRLLLRLLRRLLBBBBRBRRBRBB,FBLRLLLBLLBBRBBRRRLRRRRLRRRBBBFFBBBLBRLLLRRLLLLRLLLRLLRRLLBBBBRBRRBRBB,FBLRLLLBLLBBRBBRRRLRRRRLRRRBBBFFBBBLBRLLLRRLLLLRLLLRLLRRLLBBBBRBRRBRBB,FBLRLLLBLLBBRBBRRRLRRRRLRRRBBBFFBBBLBRLLLRRLLLLRLLLRLLRRLLBBBBRBRRBRBB,,,,,,,1.0,0.3,0.32075477,0.13806707
12,T,0.0,1.0,0.6603774,0.13806707,1.7984445,0.0,1.0,0.6603774,0.13806707,1.7984445,0.0,1.0,0.6603774,0.13806707,1.7984445,0.0,1.0,0.6603774,0.13806707,1.7984445,0.0,99999.0,99999.0,99999.0,299997.0,0.0,99999.0,99999.0,99999.0,299997.0,0.0,99999.0,99999.0,99999.0,299997.0,0.0,99999.0,99999.0,99999.0,299997.0,FBLRLLLBLLBBRBBRRRLRRRRLRRRBBBFFBBBLBRLLLRRLLLLRLLLRLLRRLLBBBBRBRRBRBB,FBLRLLLBLLBBRBBRRRLRRRRLRRRBBBFFBBBLBRLLLRRLLLLRLLLRLLRRLLBBBBRBRRBRBB,FBLRLLLBLLBBRBBRRRLRRRRLRRRBBBFFBBBLBRLLLRRLLLLRLLLRLLRRLLBBBBRBRRBRBB,FBLRLLLBLLBBRBBRRRLRRRRLRRRBBBFFBBBLBRLLLRRLLLLRLLLRLLRRLLBBBBRBRRBRBB,,,,,,,1.0,0.3,0.32075477,0.13806707
13,T,0.0,1.0,0.6603774,0.13806707,1.7984445,0.0,1.0,0.6603774,0.13806707,1.7984445,109.0,1.0,0.6363636,0.14799154,1.7843552,0.0,1.0,0.6603774,0.13806707,1.7984445,0.0,99999.0,99999.0,99999.0,299997.0,0.0,99999.0,99999.0,99999.0,299997.0,0.0,99999.0,99999.0,99999.0,299997.0,0.0,99999.0,99999.0,99999.0,299997.0,FBLRLLLBLLBBRBBRRRLRRRRLRRRBBBFFBBBLBRLLLRRLLLLRLLLRLLRRLLBBBBRBRRBRBB,FBLRLLLBLLBBRBBRRRLRRRRLRRRBBBFFBBBLBRLLLRRLLLLRLLLRLLRRLLBBBBRBRRBRBB,FBLRLLLBLLBBRBBRRRLRRRRLRRRBBBFFBBBLBRLLLRRLLLLRLLLRLLRRLLBBBBRBRRBRBB,FBLRLLLBLLBBRBBRRRLRRRRLRRRBBBFFBBBLBRLLLRRLLLLRLLLRLLRRLLBBBBRBRRBRBB,,,,,,,1.0,0.3,0.32075477,0.13806707
14,T,0.0,1.0,0.6603774,0.13806707,1.7984445,0.0,1.0,0.6603774,0.13806707,1.7984445,13.0,1.0,0.6363636,0.14799154,1.7843552,0.0,1.0,0.6603774,0.13806707,1.7984445,13.0,0.0,1.0,99999.0,100000.0,13.0,0.0,1.0,99999.0,100000.0,110.0,99999.0,99999.0,1.0,199999.0,13.0,0.0,1.0,99999.0,100000.0,FBLRLLLBLFBBBBBRRRRRRRRLRBFBBBFFBBBLBRFLRRLBLLBFLLLRLLBFLLBBBBRBRRBRBB,FBLRLLLBLFBBBBBRRRRRRRRLRBFBBBFFBBBLBRFLRRLBLLBFLLLRLLBFLLBBBBRBRRBRBB,FBLRLLLBLFBBBBBRRLRRRRRLRRRBBBFFBFBFBRLBBFBBLLBFLLLRLLBFLLBBBBRBRRBRBB,FBLRLLLBLFBBBBBRRRRRRRRLRBFBBBFFBBBLBRFLRRLBLLBFLLLRLLBFLLBBBBRBRRBRBB,,,,,,,1.0,0.3,0.27272725,0.14799154
