genID,reachGoal,bC-ID,bC-C,bC-Sm,bC-Sf,bC-A,bSm-ID,bSm-C,bSm-Sm,bSm-Sf,bSm-A,bSf-ID,bSf-C,bSf-Sm,bSf-Sf,bSf-A,bA-ID,bA-C,bA-Sm,bA-Sf,bA-A,bCCD-ID,bCCD-C,bCCD-Sm,bCCD-Sf,bCCD-A,bSmCD-ID,bSmCD-C,bSmCD-Sm,bSmCD-Sf,bSmCD-A,bSfCD-ID,bSfCD-C,bSfCD-Sm,bSfCD-Sf,bSfCD-A,bACD-ID,bACD-C,bACD-Sm,bACD-Sf,bACD-A,Cmd-bCCD,Cmd-bSmCD,Cmd-bSfCD,Cmd-bACD,bf-ID,bf-C,bf-Sm,bf-Sf,bf-A,Cmd-bf,f_gr,f_t,f_sm,f_sf
0,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,0.0041529285,0.591716,0.4,0.9958689,LFBRRFBFLFLBBLBBBBFRRLFBFRBBBBLBBLLLRFLRFLBBFLBRRRLLRFBFBBLLRRRLBLRRLLLBRFFFLFFRRBBRLFRRBLBLBRBFLFFB,0.060660172,0.0,0.18343198,0.4
1,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,0.02372922,0.5813953,0.27700832,0.8821329,FBFFLBBRRLBRLBFFRLBRRLLLFLLFFFLBBRLLLLFBRRFBRLLLBFLFRBLLRLFBLLBRBLBRBFBFBLBBLFBBLLBFRBFFBLBLLBBBFLLB,0.13487607,0.0,0.16279066,0.27700832
2,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,0.2,0.63917524,0.30392158,1.1430968,LBBRBFLBBRBBBBBLLLFLFLBRBLBLFLLFFRBBLLBLBLBBBBBBLLLLBBLLLLBBRR,0.33333334,0.38,0.27835047,0.30392158
3,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,0.5,0.6013986,0.2986111,1.4000096,FFLBBRBBFBFFLFLBFFLLLRRFLFLBBLLLBRLLBLLBLRBLLRBLRBBBBFLFRFBBBFBFLLBFBLLBBBBFFBBLRBBLBB,0.5,0.13999999,0.20279717,0.2986111
4,T,27.0,1.0,0.6315789,0.34532374,1.9769027,40.0,1.0,0.6603774,0.41666666,2.077044,40.0,1.0,0.6603774,0.41666666,2.077044,40.0,1.0,0.6603774,0.41666666,2.077044,27.0,99999.0,99999.0,99999.0,299997.0,27.0,99999.0,99999.0,99999.0,299997.0,27.0,99999.0,99999.0,99999.0,299997.0,27.0,99999.0,99999.0,99999.0,299997.0,FFLBLFLFLFLBBLLLBLBLLBBLBBBBLFRBLLBLLBBBBBBLBBBB,FFLBLFLFLFLBBLLLBLBLLBBLBBBBLFRBLLBLLBBBBBBLBBBB,FFLBLFLFLFLBBLLLBLBLLBBLBBBBLFRBLLBLLBBBBBBLBBBB,FFLBLFLFLFLBBLLLBLBLLBBLBBBBLFRBLLBLLBBBBBBLBBBB,,,,,,,1.0,0.52,0.26315784,0.34532374
5,T,0.0,1.0,0.6315789,0.34532374,1.9769027,80.0,1.0,0.72,0.27906978,1.9990698,97.0,1.0,0.68085104,0.43243244,2.1132834,97.0,1.0,0.68085104,0.43243244,2.1132834,6.0,0.0,0.056314137,0.109444164,0.1657583,87.0,0.0,0.0,0.2845393,0.2845393,0.0,99999.0,0.28873608,0.012072735,99999.305,109.0,0.0,0.020051274,0.017043138,0.037094414,FFLBLFLFLFLBBLLLBLBLLBBLBBBBLFRBLLBLLBBBBBBLBBRRBBBBBBRRBBLLFFLLFFFFFF,FFLBLFLLLBLLLLBLLBBLBBBLBLBLLBBBBBBLBBBB,FFLBLFLFLFLBBLLLBLBLLBBLBBBBLFRBLLBLLBBBBBBLBBBB,FFLLLFLRLFLBBLLLBLFLLBBLBBBBLFRBLLBBBFFRBLBLBLLLBBBBBBRRBBLL,,,,,,,1.0,0.39999998,0.2765957,0.3448276
6,T,0.0,1.0,0.6315789,0.34532374,1.9769027,78.0,1.0,0.7246377,0.28089887,2.0055366,5.0,1.0,0.6666667,0.4117647,2.0784314,5.0,1.0,0.6666667,0.4117647,2.0784314,2.0,0.0,0.07941882,0.04453073,0.12394956,10.0,0.0,0.0,0.064627685,0.064627685,0.0,99999.0,0.059674356,0.011504361,99999.07,14.0,0.0,0.024420515,0.01817322,0.042593732,FFLLLLLLLLBLBLLBBLBBBBLBLLBLBBBBBLBBBB,FFLBLFLLFLBBLLLBLBLLBBLBBBBLFRBLLLLBBBBBLBRRBBBBBRRBBLLFLLFFFF,FFLBLFLFLFLBBLLLBLBLLBBLBBBBLFRBLLBLLBBBBBBLBBBB,FFLBLFLFLFLBBLLLBLBLLBBLBBBBLFRBLLBLLBBBBBBLBBRRBBBBBBRBBLLFFLFFFFFF,,,,,,,1.0,0.32,0.3076923,0.40963855
7,T,0.0,1.0,0.6315789,0.34532374,1.9769027,75.0,1.0,0.7307692,0.27737227,2.0081415,12.0,1.0,0.65957445,0.3875,2.0470746,14.0,1.0,0.7037037,0.34862384,2.0523274,1.0,0.0,0.06249478,0.07459139,0.13708617,16.0,0.0,0.0,0.113228664,0.113228664,85.0,0.0,0.038789537,0.003836384,0.04262592,11.0,0.0,0.018511875,0.02045819,0.038970064,FFLLLFLLBLLLBLBLLBBLBBBBLBLLBLBBBBBLBBBB,FFLBLFLLLBLLLLBLLBBLBBBBLBLLBLBBBBBLBBBB,FFLBLFLFLLBBLLLLBLLBBLBBBLBLBLLBBBBBBLBBBB,FFLBLFLLLLLLBLBLLBBLBBBBLBLLBLBBBBBBBBBLFF,,,,,,,1.0,0.58000004,0.35483873,0.34710744
8,T,0.0,1.0,0.6315789,0.34532374,1.9769027,13.0,1.0,0.7058824,0.33566433,2.0415466,24.0,1.0,0.6363636,0.37168142,2.008045,20.0,1.0,0.7037037,0.34862384,2.0523274,1.0,0.0,0.012730027,0.041963257,0.05469328,6.0,0.0,0.0,0.44169238,0.44169238,0.0,99999.0,0.1628993,0.0034101715,99999.164,8.0,0.0,0.024074294,0.007295571,0.031369865,FLLLFLLLLLBLBLLBBLBBBLBLBLLBBBBBBLBBBB,FFLBLLLLLLLBLBLLBBLBBBLBLLBLBBBBBBBBLF,FFLBLFLFLFLBBLLLBLBLLBBLBBBBLFRBLLBLLBBBBBBLBBBB,FFLBLLFLLBLLLLBLLBBLBBBBLBLLBLBBBBBBBBBBBBRLLFFFFF,,,,,,,1.0,0.5,0.40845072,0.3448276
9,T,0.0,1.0,0.6315789,0.34532374,1.9769027,79.0,1.0,0.7586207,0.24581006,2.0044308,12.0,1.0,0.6363636,0.37168142,2.008045,15.0,1.0,0.7037037,0.34862384,2.0523274,1.0,0.0,0.23301223,0.13360022,0.36661243,17.0,0.0,0.004011249,0.12268231,0.12669356,0.0,99999.0,0.05991712,0.013209893,99999.08,8.0,0.0,0.012741399,0.017091926,0.029833324,FFLBLFLLLLLLBLBLLBBLBBBBLBLLBLBBBB1BBBBLF,FFLLLLLBLLLBLLLBBLBBBLBLBLLBBBBBBLBBBB,FFLBLFLFLFLBBLLLBLBLLBBLBBBBLFRBLLBLLBBBBBBLBBBB,FFLBLLFLLBLLLLBLLBBLBBBBLBLLBLBBBBBBBBBBBBLFFFFF,,,,,,,1.0,0.52,0.41176474,0.33566433
