genID,reachGoal,bC-ID,bC-C,bC-Sm,bC-Sf,bC-A,bSm-ID,bSm-C,bSm-Sm,bSm-Sf,bSm-A,bSf-ID,bSf-C,bSf-Sm,bSf-Sf,bSf-A,bA-ID,bA-C,bA-Sm,bA-Sf,bA-A,bCCD-ID,bCCD-C,bCCD-Sm,bCCD-Sf,bCCD-A,bSmCD-ID,bSmCD-C,bSmCD-Sm,bSmCD-Sf,bSmCD-A,bSfCD-ID,bSfCD-C,bSfCD-Sm,bSfCD-Sf,bSfCD-A,bACD-ID,bACD-C,bACD-Sm,bACD-Sf,bACD-A,Cmd-bCCD,Cmd-bSmCD,Cmd-bSfCD,Cmd-bACD,bf-ID,bf-C,bf-Sm,bf-Sf,bf-A,Cmd-bf,f_gr,f_t,f_sm,f_sf
0,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,0.0047433074,0.56179774,0.6451613,1.2117023,RBRFLBFBBRBLFBLBBBBFLBLBLLRBRLLBBRFBFBRLBFLRLRRBFFBFLBFFLFBFLFFLRRRLFLLBFRFFBRBRLRBBRRBLBLBBFBFBFFFF,0.06457745,0.0,0.123595476,0.6451613
1,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,0.011157301,0.5586592,0.33112583,0.9009423,FLBFLLLFFRBRFLBBLRFFBRLFRFLLRBBFRLBLRLRBLFRLLBRFBLLBFLFBLBFFBLBLBFLBRBBLBLLBBBFLBLLRRFRLRRFLFRRFFFRL,0.09602261,0.0,0.11731839,0.33112583
2,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.011157301,0.5586592,0.33112583,0.9009423,FLBFLLLFFRBRFLBBLRFFBRLFRFLLRBBFRLBLRLRBLFRLLBRFBLLBFLFBLBFFBLBLBFLBRBBLBLLBBBFLBLLRRFRLRRFLFRRFFFRL,0.09602261,0.0,0.11731839,0.33112583
3,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,0.05882353,0.5780347,0.3952569,1.0321151,FFFRFLLFRRBLRBBBLLFFBLFLRLLLBBFRBLRLRFRLRFRLLLRBBLFLFLLBBFLRBLBLBFLLBBLBBBLBBLBLLLBRRFRLRBLLBRLBBLRL,0.2,0.0,0.1560694,0.3952569
4,T,27.0,1.0,0.6356589,0.41836736,2.0540264,27.0,1.0,0.6356589,0.41836736,2.0540264,27.0,1.0,0.6356589,0.41836736,2.0540264,27.0,1.0,0.6356589,0.41836736,2.0540264,101.0,0.0,99999.0,1.0,100000.0,124.0,99999.0,1.0,99999.0,199999.0,101.0,0.0,99999.0,1.0,100000.0,101.0,0.0,99999.0,1.0,100000.0,FFFRLLLLBRBLRLBFLLLFBLFLRLLLBBLRRLRLRFRLRFRLLLBBBLBLFLBBBFLRBBBLBLBLBBLBBBLBBLRLLLRRRFRBRLBL,FLFLLBFBRFLRFLBFBLLLLLBLRLBBLBLFRLLBBBBLBFBBLLBBBBLBBBBBLB,FFFRLLLLBRBLRLBFLLLFBLFLRLLLBBLRRLRLRFRLRFRLLLBBBLBLFLBBBFLRBBBLBLBLBBLBBBLBBLRLLLRRRFRBRLBL,FFFRLLLLBRBLRLBFLLLFBLFLRLLLBBLRRLRLRFRLRFRLLLBBBLBLFLBBBFLRBBBLBLBLBBLBBBLBBLRLLLRRRFRBRLBL,,,,,,,1.0,0.07999998,0.17948723,0.4107143
5,T,0.0,1.0,0.6356589,0.41836736,2.0540264,84.0,1.0,0.6909091,0.28787878,1.9787879,89.0,1.0,0.63461536,0.44295302,2.0775685,89.0,1.0,0.63461536,0.44295302,2.0775685,6.0,0.0,0.2637072,0.034228366,0.29793555,89.0,0.0,0.012839246,99999.0,99999.016,25.0,0.0,0.15061285,0.018150171,0.16876301,95.0,0.0,0.03984482,0.050817963,0.09066278,FFFRLLLLBRBLRLBFLLLFBLFLRLLLBBLRRLRLRFRLRFRLLLBBBLBLFLBBBFLRBBBLBLBLBBLBBBLBBLRLLLRRRFRBRLBL,FFFRFLLFRRBBBBLLFLFLLLBRRFLBBLFLFLLBBLBLLLBBLBBBLBBLBLLBRBLBBBBBBB,FFRFLLFRBBLFLLLBRFLBBLFLFLLBBBLLBLBBBLBBLBLLLBBBBLBBRBBBBLLFRR,FFFRFLLFRRBBBBLLFLFLLLBRRFLBBLFLFLLBBLBLLLBBLBBBLBBLBLLLBRRRBLBBBLBRBBBBLLFFRR,,,,,,,1.0,0.22000003,0.26829267,0.3880597
6,T,0.0,1.0,0.6356589,0.41836736,2.0540264,85.0,1.0,0.73333335,0.2682927,2.001626,15.0,1.0,0.63461536,0.44295302,2.0775685,15.0,1.0,0.63461536,0.44295302,2.0775685,1.0,0.0,0.16341162,0.1735627,0.33697432,17.0,0.0,0.007825453,0.3056598,0.31348526,81.0,0.0,0.10205228,0.010454552,0.11250683,75.0,0.0,0.007825453,0.026892662,0.034718115,FFLLLBLBLLLLLLBLLBLBBBLBBLBLBBBBBBBLBL,FLLLLLLLLBLLLLBBLBBBLBBLBLLBBLBBBBRBBR,FFFLLLLBBLLLLLLBLLBBLBBBLBBLLBBBBBBLBBBL,FFFLLBLLLLLLBLBLLLBBLBBBLBBLBLBBLBBBBBBB,,,,,,,1.0,0.6,0.37931037,0.36036035
7,T,0.0,1.0,0.6356589,0.41836736,2.0540264,5.0,1.0,0.73333335,0.2682927,2.001626,14.0,1.0,0.6530612,0.42105263,2.0741138,14.0,1.0,0.6530612,0.42105263,2.0741138,2.0,0.0,0.19934985,0.06717802,0.26652786,4.0,0.0,0.0042056646,0.07852881,0.08273447,9.0,0.0,0.096290976,0.027805591,0.124096565,10.0,0.0,0.010407774,0.05747227,0.06788004,FFFRLLLLBRBLRLBFLLLFBLFLRLLLBBLRRLRLRFRLRFRLLLBBBLBLFLBBBFLRBBBLBLBLBBLBBBLBBLRLLLRRRFRBRLBL,FLLLLBLLLLLLBLLBLBBBLBBLBLBBBBBBBLBL,FFLLBLLLLLBLLLLLBBBBBBLLBLBLBBBBBBLBBL,FFFRFLLFRRBBBBLLFLFLLLBRRFLBBLFLFLLBBLBLLLBBLBBBLBBLBLLLBRRRBLBBBLBRBBBBLLFFRR,,,,,,,1.0,0.22000003,0.26829267,0.3880597
8,T,0.0,1.0,0.6356589,0.41836736,2.0540264,34.0,1.0,0.75,0.23076923,1.9807693,6.0,1.0,0.6306306,0.45751634,2.088147,18.0,1.0,0.68817204,0.4050633,2.0932355,2.0,0.0,0.0115943095,99999.0,99999.01,38.0,0.0,0.0,0.06850167,0.06850167,16.0,0.0,0.17587495,0.0039361054,0.17981106,14.0,0.0,0.0057346663,0.040274967,0.046009634,FLLBLLLLLLLLBLBBBLBBLBLLBBBBLBBBBBLL,FLFLLLLLLLBLBBLBLLBBBBLBLLBBBBLBBBBBLB,FFFLFRBBBLLLLBLLLLLLLLBBLBBBLBBLBLLBBBBBBBBB,FLFLLBFLLLLLBLBBLBLLBBBBLBLLBBBBLBBBBBLB,,,,,,,1.0,0.6,0.3114754,0.27027026
9,T,0.0,1.0,0.6356589,0.41836736,2.0540264,20.0,1.0,0.73333335,0.2682927,2.001626,0.0,1.0,0.6356589,0.41836736,2.0540264,0.0,1.0,0.6356589,0.41836736,2.0540264,1.0,0.0,99999.0,0.16030544,99999.164,4.0,0.0,0.0046931636,0.019324135,0.024017299,20.0,0.0,99999.0,0.004612281,99999.01,4.0,0.0,0.0046931636,0.019324135,0.024017299,FFFRLLLLBRBLRLBFLLLFBLFLRLLLBBLRRLRLRFRLRFRLLLBBBLBLFLBBBFLRBBBLBLBLBBLBBBLBBLRLLLRRRFRBRLBL,FLFLLLLLLLBLBBLBLLBBBBLBLLBBBBLBBBBBLB,FFFLFRBBBLLLLBLLLLLLLLBBLBBBLBBLBLLBBBBBBBBB,FLFLLLLLLLBLBBLBLLBBBBLBLLBBBBLBBBBBLB,,,,,,,1.0,0.62,0.3571428,0.26760563
10,T,0.0,1.0,0.6356589,0.41836736,2.0540264,85.0,1.0,0.7692308,0.24242425,2.011655,0.0,1.0,0.6356589,0.41836736,2.0540264,0.0,1.0,0.6356589,0.41836736,2.0540264,1.0,0.0,0.090793826,0.025503,0.11629683,30.0,0.0,0.014103566,0.2350899,0.24919346,1.0,0.0,0.090793826,0.025503,0.11629683,1.0,0.0,0.090793826,0.025503,0.11629683,FLLLLLLLLBLLLLBBLBBBLBBLBLBBLBBBBBBR,FFRFLLFRBBBBLFLFLLLLBBLFLFLBBLBLLBLBBBLBBLBLLLBRRRBLLBBLBBRRBBBBLLFFRR,FLLLLLLLLBLLLLBBLBBBLBBLBLBBLBBBBBBR,FLLLLLLLLBLLLLBBLBBBLBBLBLBBLBBBBBBR,,,,,,,1.0,0.64,0.41176474,0.26865673
11,T,0.0,1.0,0.6356589,0.41836736,2.0540264,11.0,1.0,0.7692308,0.24242425,2.011655,98.0,1.0,0.64705884,0.43421054,2.0812693,98.0,1.0,0.64705884,0.43421054,2.0812693,2.0,0.0,0.17180933,0.0127615845,0.18457091,4.0,0.0,0.042964865,0.07474641,0.117711276,2.0,0.0,0.17180933,0.0127615845,0.18457091,76.0,0.0,0.053295482,0.0348816,0.088177085,FLLLLLLLLBLLLLBBLBBBLBBLBLBBLBBBBBBR,FFFRFLLFRRBBBBLLFLFLLLBRRFLBBLFLFLLBBLBLLLBBLBBBLBBLBLLLBRRFRBLLBBBLBBRBBB,FLLLLLLLLBLLLLBBLBBBLBBLBLBBLBBBBBBR,FLFLLBFLLLLLBLBBLBLLBBBLBBLLBBBBLBBBBBLB,,,,,,,1.0,0.6,0.3114754,0.2739726
12,T,0.0,1.0,0.6356589,0.41836736,2.0540264,4.0,1.0,0.7692308,0.24242425,2.011655,81.0,1.0,0.6226415,0.46153846,2.08418,81.0,1.0,0.6226415,0.46153846,2.08418,1.0,0.0,0.28676456,0.12862091,0.41538548,31.0,0.0,0.0066012414,0.09492193,0.101523176,2.0,0.0,0.109243706,0.027744228,0.13698794,18.0,0.0,0.032378223,0.067265674,0.0996439,FLLLBLLLLLLLBLLBLBBBLBBLBLBBBBBBBLBL,FFFLLFRBBBLLFLLLLBRRFLBBLLFLLBBLBLLBBLBBBLBBLBLLLBRRFRBLBBBLBRBB,FLLFLLBLLLLLLBBLBLLBBBBBLLBBBBLBBBBBLB,FFFRFLLFRRBBBBLLFLFLLLBRRFLBBLFLFLLBBLBLLLBBLBBBLBBLBLLLBRRFRBLLBBBLBBRBBB,,,,,,,1.0,0.26,0.2542373,0.4065934
13,T,0.0,1.0,0.6356589,0.41836736,2.0540264,2.0,1.0,0.76,0.23312883,1.9931288,19.0,1.0,0.6226415,0.46153846,2.08418,19.0,1.0,0.6226415,0.46153846,2.08418,1.0,0.0,0.07530035,0.32346857,0.3987689,83.0,0.0,0.01887503,0.07269359,0.09156862,89.0,0.0,0.03422377,0.024828684,0.059052452,89.0,0.0,0.03422377,0.024828684,0.059052452,FLLLLLLLLBLLLLBBLBBBLBBLBLBBLBBBBBBR,FFLLLLLLLBLLLBBLLBLBBBLBBLBLLBBLBBBBRBBB,FFFRFLLFRBBBBLLFLFLLLBRRFLBBLFLFLLBBLBLLBBLBBBLBBLBLLLBRRRBLLBBLBBRBBB,FFFRFLLFRBBBBLLFLFLLLBRRFLBBLFLFLLBBLBLLBBLBBBLBBLBLLLBRRRBLLBBLBBRBBB,,,,,,,1.0,0.3,0.25,0.4
14,T,0.0,1.0,0.6356589,0.41836736,2.0540264,5.0,1.0,0.76,0.23312883,1.9931288,81.0,1.0,0.6666667,0.43661973,2.1032865,81.0,1.0,0.6666667,0.43661973,2.1032865,1.0,0.0,0.2904378,0.11599203,0.40642983,85.0,0.0,0.02349853,0.38715944,0.41065797,87.0,0.0,0.07841817,0.039533712,0.117951885,87.0,0.0,0.07841817,0.039533712,0.117951885,FLLLBLLLLLLLBLLBLBBBLBBLBLBBBBBBBLBL,FFFRFLLFRRBBBBLLFLFLLLBRRFLBBLFLFLLBBLBLLLBBLBBBLBBLBLLLBRRRBLBBBLBBBB,FLLLLLLLLLLBBLBLLBBBBBLLBBBBLBBBBBLB,FLLLLLLLLLLBBLBLLBBBBBLLBBBBLBBBBBLB,,,,,,,1.0,0.64,0.5,0.23076923
15,T,0.0,1.0,0.6356589,0.41836736,2.0540264,6.0,1.0,0.76,0.23312883,1.9931288,15.0,1.0,0.6666667,0.43661973,2.1032865,15.0,1.0,0.6666667,0.43661973,2.1032865,1.0,0.0,0.24894682,99999.0,99999.25,4.0,0.0,0.03237089,0.14876588,0.18113677,14.0,0.0,99999.0,0.076428115,99999.08,4.0,0.0,0.03237089,0.14876588,0.18113677,FLLLBLLLLLLLBLLBLBBBLBBLBLBBBBBBBLBL,FLLFLLBLLLLLLBBLBLLBBBBBLLBBBBLBBBBBLB,FFFRFLLFRRBBBBLLFLFLLLBRRFLBBLFLFLLBBLBLLLBBLBBBLBBLBLLBRBBBLBBRBBBBLLFFRR,FLLFLLBLLLLLLBBLBLLBBBBBLLBBBBLBBBBBLB,,,,,,,1.0,0.62,0.4074074,0.24675325
16,T,0.0,1.0,0.6356589,0.41836736,2.0540264,9.0,1.0,0.76,0.23312883,1.9931288,10.0,1.0,0.6666667,0.43661973,2.1032865,10.0,1.0,0.6666667,0.43661973,2.1032865,1.0,0.0,0.15025151,0.13921405,0.28946555,2.0,0.0,0.030352794,0.14876588,0.17911866,15.0,0.0,0.085727274,0.076428115,0.16215539,15.0,0.0,0.085727274,0.076428115,0.16215539,FLLLLLLLLBLLLLBBLBBBLBBLBLBBLBBBBBBR,FLLFLLBLLLLLLBBLBLLBBBBBLLBBBBLBBBBBLB,FFFRFLLFRRBBBBLLFLFLLLBRRFLBBLFLFLLBBLBLLLBBLBBBLBBLBLLBRBBBLBBRBBBBLLFFRR,FFFRFLLFRRBBBBLLFLFLLLBRRFLBBLFLFLLBBLBLLLBBLBBBLBBLBLLBRBBBLBBRBBBBLLFFRR,,,,,,,1.0,0.26,0.2649573,0.43274853
