genID,reachGoal,bC-ID,bC-C,bC-Sm,bC-Sf,bC-A,bSm-ID,bSm-C,bSm-Sm,bSm-Sf,bSm-A,bSf-ID,bSf-C,bSf-Sm,bSf-Sf,bSf-A,bA-ID,bA-C,bA-Sm,bA-Sf,bA-A,bCCD-ID,bCCD-C,bCCD-Sm,bCCD-Sf,bCCD-A,bSmCD-ID,bSmCD-C,bSmCD-Sm,bSmCD-Sf,bSmCD-A,bSfCD-ID,bSfCD-C,bSfCD-Sm,bSfCD-Sf,bSfCD-A,bACD-ID,bACD-C,bACD-Sm,bACD-Sf,bACD-A,Cmd-bCCD,Cmd-bSmCD,Cmd-bSfCD,Cmd-bACD,bf-ID,bf-C,bf-Sm,bf-Sf,bf-A,Cmd-bf,f_gr,f_t,f_sm,f_sf
0,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,0.001372851,0.56497175,0.8064516,1.3727963,RLLFRBLLRBRRBFRFRFBBFFRBRBFRRBFFBBRBLFLRFLRRRBLBRRBRLRBFLBRFFBLBLBRBBRFLLBFRFLBRBBFFLFFFFFRLLFLBLLRF,0.035751875,0.0,0.12994349,0.8064516
1,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,0.0014804504,0.5780347,0.5681818,1.147697,LLLBBFR2RBFFBFLLFBFLLFFLFBBRLBBRRRFRFLRLRLFBRBBLFRFBFRRLRRRB8FRRBBLBRFFRBRFFLFR1RBFFFLBFRRRFBBBRRLBL,0.037077464,0.0,0.1560694,0.5681818
2,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0014804504,0.5813953,0.8064516,1.3893274,FFLRBLRLLFBRRFLLLRRRBLLFRBRRF8RRBFFRLRLBBBFBFRFRRBRRFBBRLLLFRFRFRBLBBBLBBFLRLRRBFRLFLFBFRFFFFFFRBFRL,0.037077464,0.0,0.16279066,0.8064516
3,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0014804504,0.5780347,0.5681818,1.147697,LLLBBFR2RBFFBFLLFBFLLFFLFBBRLBBRRRFRFLRLRLFBRBBLFRFBFRRLRRRB8FRRBBLBRFFRBRFFLFR1RBFFFLBFRRRFBBBRRLBL,0.037077464,0.0,0.1560694,0.5681818
4,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,0.0016012067,0.6356589,0.5157233,1.1529834,FRRRBRBL1LLBRFRRFFFLBRRRRBBLL8BBRF8BB8LLFLLFRBRFFFRBRBBRFRRRFRFFRRRRFFFFLLLLLLFFRR,0.038505137,0.18,0.27131784,0.5157233
5,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0016012067,0.6363636,0.5217391,1.159704,FRRRBRBL1LLBRFRRFFFLBRRRRBBLL8BBRF8BB8LLFLLFRBRFFFRBRBBRFRRRFLBBLLFFLLFFRRRRRRFFFFFF,0.038505137,0.16000003,0.27272725,0.5217391
6,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,0.0017988797,0.6131387,0.5833333,1.1982708,FRFRBRBL1LLBRFRRFRF1BRRRRBBLL8BBRF8BB8RLFLLFRBRFFFRBRBBRFRRRFLBBLLFFLLFFRRRRRRFFFFFF,0.04072267,0.16000003,0.22627735,0.5833333
7,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0017988797,0.6131387,0.5833333,1.1982708,FRFRBRBL1LLBRFRRFRF1BRRRRBBLL8BBRF8BB8RLFLLFRBRFFFRBRBBRFRRRFLBBLLFFLLFFRRRRRRFFFFFF,0.04072267,0.16000003,0.22627735,0.5833333
8,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0017988797,0.59574467,0.5833333,1.1808769,FRFRBRBL1LLBRFRRFRF1BRRRRBBLL8BBRF8BB8RLFLLFRBRFFFRBRBBRFRRRFLBBLLFFLLFFRBRFFRFFFFFF,0.04072267,0.16000003,0.19148934,0.5833333
9,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0017988797,0.6,0.5833333,1.1851323,FRFRBRBL1LLBRFRRFRF1BRRRRBBLL8BBRF8BB8FLLFRBRFFFRBRBBRFRRRFLBBLLFFLLFFRBRFFRFFFFFFLL,0.04072267,0.16000003,0.20000005,0.5833333
