genID,reachGoal,bC-ID,bC-C,bC-Sm,bC-Sf,bC-A,bSm-ID,bSm-C,bSm-Sm,bSm-Sf,bSm-A,bSf-ID,bSf-C,bSf-Sm,bSf-Sf,bSf-A,bA-ID,bA-C,bA-Sm,bA-Sf,bA-A,bCCD-ID,bCCD-C,bCCD-Sm,bCCD-Sf,bCCD-A,bSmCD-ID,bSmCD-C,bSmCD-Sm,bSmCD-Sf,bSmCD-A,bSfCD-ID,bSfCD-C,bSfCD-Sm,bSfCD-Sf,bSfCD-A,bACD-ID,bACD-C,bACD-Sm,bACD-Sf,bACD-A,Cmd-bCCD,Cmd-bSmCD,Cmd-bSfCD,Cmd-bACD,bf-ID,bf-C,bf-Sm,bf-Sf,bf-A,Cmd-bf,f_gr,f_t,f_sm,f_sf
0,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,0.002247242,0.5882353,0.5154639,1.1059464,BFFFRRBBLBLRLFLFFRLFBRLBBLFFFRBLLFLLLLFFLFLBRRBFBBFLBBBBLFFBRBRFFLRRRBLLBFRRRBFRLLFRFRFRFLLFRBFFBFFL,0.045308184,0.0,0.17647064,0.5154639
1,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,0.0029727228,0.5813953,0.75757575,1.3419437,FBFFFBLRFLFLFFBFRRRFLLRBLFLBRBBLLFFFBFLLLLRFFBFBLRFBBFBBLLFLBLFBBFBFLRRLBRRLBLLFLRRLRBRBBLLBBRRBLFBB,0.051776692,0.0,0.16279066,0.75757575
2,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,0.0051494376,0.6306306,0.49295774,1.1287378,BBLFFLBBFRRFLLFFRBFRRLFFFFBFLLBLLLBRLLLLLBBBLRLBBBBRLRBBBBFBBLRLFFLRBB,0.067116365,0.3,0.26126122,0.49295774
3,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,0.0068161367,0.7126437,0.5740741,1.2935339,BBLFFLBRRFLLFFRRFFFFLLBLLLBLLLLBBBLBBBBRBBBBBLLLLLFFRRBBBBBBRR,0.07650484,0.38,0.42528737,0.5740741
4,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,0.010992567,0.70212764,0.46478873,1.1779089,FFLLLFFFFLLFFLBBLLLBLFFFRRBBLFLBBBBBBRBBBBBBBBLFFRBLBRBBBBBBRRBBBB,0.09537179,0.33999997,0.40425527,0.46478873
5,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.010992567,0.70212764,0.46478873,1.1779089,FFLLLFFFFLLFFLBBLLLBLFFFRRBBLFLBBBBBBRBBBBBBBBLFFRBLBRBBBBBBRRBBBB,0.09537179,0.33999997,0.40425527,0.46478873
6,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,0.013168095,0.66,0.2704918,0.9436599,FFFLLFFFFLLFFLBBLLLBLFFFRRBBLFLBBBBBBRBBB1BB8BLFFRBLBRBBBBBBRBFBBB,0.103553385,0.33999997,0.32000005,0.2704918
7,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,0.022068378,0.6904762,0.39455783,1.1071024,BBLLFFFLFFFRFFLLBB8LFLLLLBBBBBLBBLBRBBBBBBBBRRBBBB1LFFRRBB,0.13060194,0.42000002,0.38095236,0.39455783
8,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.022068378,0.6904762,0.39455783,1.1071024,BBLLFFFLFFFRFFLLBB8LFLLLLBBBBBLBBLBRBBBBBBBBRRBBBB1LFFRRBB,0.13060194,0.42000002,0.38095236,0.39455783
9,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,0.030303031,0.66,0.5116279,1.201931,FFLFLFFFFLLFFLBBLLLBLFFFRRBBLFLBL1BBBRBBBBBBBBLFFRBLBRBBBRBBBBRRRR,0.15022111,0.33999997,0.32000005,0.5116279
10,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.030303031,0.66,0.5116279,1.201931,FFLFLFFFFLLFFLBBLLLBLFFFRRBBLFLBL1BBBRBBBBBBBBLFFRBLBRBBBRBBBBRRRR,0.15022111,0.33999997,0.32000005,0.5116279
11,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.030303031,0.66,0.5116279,1.201931,FFLFLFFFFLLFFLBBLLLBLFFFRRBBLFLBL1BBBRBBBBBBBBLFFRBLBRBBBRBBBBRRRR,0.15022111,0.33999997,0.32000005,0.5116279
12,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,0.052631583,0.64761907,0.44444445,1.144695,FFRFFLLFLFRB1LLLLLLBLBLBBBLBRRBLLBBRRBLBBBBBBBRRBRRFRRFFLLFFLLFFRRBB,0.19074358,0.32,0.29523814,0.44444445
13,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.052631583,0.64761907,0.44444445,1.144695,FFRFFLLFLFRB1LLLLLLBLBLBBBLBRRBLLBBRRBLBBBBBBBRRBRRFRRFFLLFFLLFFRRBB,0.19074358,0.32,0.29523814,0.44444445
14,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.052631583,0.6415094,0.4047619,1.098903,FFRFFLLFLFRB1LLLLLLBLBLBBBLBRRBLLBBRR1LBBBBBBBRRBRRFRRFFLLFF8LFFRRBB,0.19074358,0.32,0.28301883,0.4047619
