genID,reachGoal,bC-ID,bC-C,bC-Sm,bC-Sf,bC-A,bSm-ID,bSm-C,bSm-Sm,bSm-Sf,bSm-A,bSf-ID,bSf-C,bSf-Sm,bSf-Sf,bSf-A,bA-ID,bA-C,bA-Sm,bA-Sf,bA-A,bCCD-ID,bCCD-C,bCCD-Sm,bCCD-Sf,bCCD-A,bSmCD-ID,bSmCD-C,bSmCD-Sm,bSmCD-Sf,bSmCD-A,bSfCD-ID,bSfCD-C,bSfCD-Sm,bSfCD-Sf,bSfCD-A,bACD-ID,bACD-C,bACD-Sm,bACD-Sf,bACD-A,Cmd-bCCD,Cmd-bSmCD,Cmd-bSfCD,Cmd-bACD,bf-ID,bf-C,bf-Sm,bf-Sf,bf-A,Cmd-bf,f_gr,f_t,f_sm,f_sf
0,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,0.004633418,0.5847953,0.48076922,1.0701979,BRLFFBFFLFLFLLLLRLBRRRLBBLBFRBRRLLBFBRLLFBFRFBBRLLRFLBFLFLLLLBFLRRLRLLBBRRBBBLLBFBRRLLLFBLFBFBFRLLLR,0.06386978,0.0,0.16959059,0.48076922
1,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,0.02,0.5524862,0.32258064,0.8950668,LFFLLLLFBLLBLBLLFBFLLRLFLFBBBBRLBFBBFRBFRRFLLRFBFBLRBLLRBLLBBRLRBFBBFLFBRLRBLRLRLRLFBFBFBLBLRLBLBLLR,0.125,0.0,0.10497236,0.32258064
2,T,113.0,1.0,0.62015504,0.43956044,2.0597155,113.0,1.0,0.62015504,0.43956044,2.0597155,113.0,1.0,0.62015504,0.43956044,2.0597155,113.0,1.0,0.62015504,0.43956044,2.0597155,113.0,99999.0,99999.0,99999.0,299997.0,113.0,99999.0,99999.0,99999.0,299997.0,113.0,99999.0,99999.0,99999.0,299997.0,113.0,99999.0,99999.0,99999.0,299997.0,RFFLRFLBLBBFBLLLLLLLLBBBFBFRLLBBBLLBBBLLBLLBLBRLRLFFBBBRBBBLRBLRFRLLLRBBBFFBBRFL,RFFLRFLBLBBFBLLLLLLLLBBBFBFRLLBBBLLBBBLLBLLBLBRLRLFFBBBRBBBLRBLRFRLLLRBBBFFBBRFL,RFFLRFLBLBBFBLLLLLLLLBBBFBFRLLBBBLLBBBLLBLLBLBRLRLFFBBBRBBBLRBLRFRLLLRBBBFFBBRFL,RFFLRFLBLBBFBLLLLLLLLBBBFBFRLLBBBLLBBBLLBLLBLBRLRLFFBBBRBBBLRBLRFRLLLRBBBFFBBRFL,,,,,,,1.0,0.19999999,0.24031007,0.43956044
3,T,0.0,1.0,0.62015504,0.43956044,2.0597155,28.0,1.0,0.6969697,0.38016528,2.077135,0.0,1.0,0.62015504,0.43956044,2.0597155,28.0,1.0,0.6969697,0.38016528,2.077135,27.0,0.0,0.102196164,0.16705608,0.26925224,30.0,0.0,0.09618414,0.014603184,0.110787325,30.0,0.0,0.09618414,0.014603184,0.110787325,30.0,0.0,0.09618414,0.014603184,0.110787325,RFFFLBLBBLLLLLLLBBLBBLLBBBLBLLBLBBRBBBBLLLBBBRFL,RFLLBBLLLLLLLLBBLBBLLBBBLLBLLBLBBRBBBLBBBRFL,RFLLBBLLLLLLLLBBLBBLLBBBLLBLLBLBBRBBBLBBBRFL,RFLLBBLLLLLLLLBBLBBLLBBBLLBLLBLBBRBBBLBBBRFL,,,,,,,1.0,0.56,0.33333337,0.27329192
4,T,0.0,1.0,0.62015504,0.43956044,2.0597155,95.0,1.0,0.7017544,0.3478261,2.0495803,112.0,1.0,0.6315789,0.44720498,2.078784,112.0,1.0,0.6315789,0.44720498,2.078784,1.0,0.0,0.08924689,0.070915975,0.16016287,6.0,0.0,0.0,0.13333829,0.13333829,123.0,99999.0,0.13207768,0.027379971,99999.164,89.0,0.0,0.0,0.12881199,0.12881199,RFLLBBLLLLLLLLBBLBBLLBBBLLBLLBLBBRBBBLBBBRFL,RFFFLBLBBLLLLLLLBBLBBLLBBBLBLLBLBBRBBBBLLLBBBRFL,RFLLRFLBLBRFBLLLLLLLLBBBFBFBBLBFBLLBBBLLBLLBLBRLRBFRBBBBBBBLFB,RFFLBLBLLLLLLLBBLBBLLBBBLBLLBLBBRBBBBLLLBBBRFL,,,,,,,1.0,0.53999996,0.31428576,0.2371134
5,T,0.0,1.0,0.62015504,0.43956044,2.0597155,34.0,1.0,0.7037037,0.2733813,1.9770849,16.0,1.0,0.6315789,0.44720498,2.078784,16.0,1.0,0.6315789,0.44720498,2.078784,1.0,0.0,0.074577376,0.012687933,0.08726531,2.0,0.0,0.0,0.106318116,0.106318116,1.0,0.0,0.074577376,0.012687933,0.08726531,20.0,0.0,0.0,0.054377574,0.054377574,RFLLBBLLLLLLLLBBLBBLLBBBLLBLLBLBBRBBBLBBBRFL,RFLLLBLLLLLLLBBBLBBLLBBBLLBLBLBBBBBLBRBL,RFLLBBLLLLLLLLBBLBBLLBBBLLBLLBLBBRBBBLBBBRFL,RFFFLBLBBLLLLLLLBBLBBLLBBBLBLLBLBBRBBBBLLLBBBRFL,,,,,,,1.0,0.52,0.33333337,0.24489796
6,T,0.0,1.0,0.62015504,0.43956044,2.0597155,4.0,1.0,0.6969697,0.38016528,2.077135,0.0,1.0,0.62015504,0.43956044,2.0597155,4.0,1.0,0.6969697,0.38016528,2.077135,1.0,0.0,0.019642657,0.037770744,0.0574134,17.0,0.0,0.0,0.1096697,0.1096697,1.0,0.0,0.019642657,0.037770744,0.0574134,1.0,0.0,0.019642657,0.037770744,0.0574134,RFFLBLBLLLLLLLBBLBBLLBBBLBLLBBBBBBBLLLBBBRFL,RFLLLBLLLLLLLBBBLBBLLBBBLLBLBLBBBBBLBRBL,RFFLBLBLLLLLLLBBLBBLLBBBLBLLBBBBBBBLLLBBBRFL,RFFLBLBLLLLLLLBBLBBLLBBBLBLLBBBBBBBLLLBBBRFL,,,,,,,1.0,0.56,0.375,0.23404256
7,T,0.0,1.0,0.62015504,0.43956044,2.0597155,2.0,1.0,0.6969697,0.38016528,2.077135,0.0,1.0,0.62015504,0.43956044,2.0597155,2.0,1.0,0.6969697,0.38016528,2.077135,1.0,0.0,0.12132368,0.26544285,0.38676652,14.0,0.0,0.0,0.09608607,0.09608607,98.0,99999.0,0.1041666,0.032820594,99999.13,14.0,0.0,0.0,0.09608607,0.09608607,RFFLFLBLBBBLLLLLLLBBBBLLBBBLLLLBLBBRBBBLLBBBBRFL,RFLLLBLLLLLLLBBBLBBLLBBBLLBLBLBBBBBLBRBL,RFLFLBLBLLLLLLLLBBLBBBLLBBBLLBLLBBBBBBBBBRFL,RFLLLBLLLLLLLBBBLBBLLBBBLLBLBLBBBBBLBRBL,,,,,,,1.0,0.6,0.33333337,0.34188035
8,T,0.0,1.0,0.62015504,0.43956044,2.0597155,1.0,1.0,0.6969697,0.38016528,2.077135,0.0,1.0,0.62015504,0.43956044,2.0597155,1.0,1.0,0.6969697,0.38016528,2.077135,1.0,0.0,99999.0,0.09972845,99999.1,10.0,0.0,0.0,0.063240826,0.063240826,10.0,0.0,0.0,0.063240826,0.063240826,10.0,0.0,0.0,0.063240826,0.063240826,RFFFLBLBBLLLLLLLLBBLBBBLLBBBLLBLLBBBBBLBBBBRFL,RFFFLBLBBLLLLLLLLBBLBBBLLBBBLLBLLBLBLBRBBBBBBRFL,RFFFLBLBBLLLLLLLLBBLBBBLLBBBLLBLLBLBLBRBBBBBBRFL,RFFFLBLBBLLLLLLLLBBLBBBLLBBBLLBLLBLBLBRBBBBBBRFL,,,,,,,1.0,0.52,0.33333337,0.3902439
9,T,0.0,1.0,0.62015504,0.43956044,2.0597155,86.0,1.0,0.75,0.25174826,2.0017483,124.0,1.0,0.6034483,0.4516129,2.055061,12.0,1.0,0.6969697,0.38016528,2.077135,1.0,0.0,0.0598557,0.055490702,0.1153464,2.0,0.0,0.0,0.053816736,0.053816736,16.0,0.0,0.0060925763,0.014761414,0.02085399,16.0,0.0,0.0060925763,0.014761414,0.02085399,RFFFLBLBBLLLLLLLLBBLBBBLLBBBLLBLLBLBLBRBBBBBBRFL,RFFLFLBLBBLLLLLLLLBBLBBBLLBBBLLBLLBBRBBBLBBBBRFL,RFFLBLBLLLLLLLBBLBBLLBBBLBLLBLBBRBBBBLLLBBBRFL,RFFLBLBLLLLLLLBBLBBLLBBBLBLLBLBBRBBBBLLLBBBRFL,,,,,,,1.0,0.53999996,0.31428576,0.2371134
