genID,reachGoal,bC-ID,bC-C,bC-Sm,bC-Sf,bC-A,bSm-ID,bSm-C,bSm-Sm,bSm-Sf,bSm-A,bSf-ID,bSf-C,bSf-Sm,bSf-Sf,bSf-A,bA-ID,bA-C,bA-Sm,bA-Sf,bA-A,bCCD-ID,bCCD-C,bCCD-Sm,bCCD-Sf,bCCD-A,bSmCD-ID,bSmCD-C,bSmCD-Sm,bSmCD-Sf,bSmCD-A,bSfCD-ID,bSfCD-C,bSfCD-Sm,bSfCD-Sf,bSfCD-A,bACD-ID,bACD-C,bACD-Sm,bACD-Sf,bACD-A,Cmd-bCCD,Cmd-bSmCD,Cmd-bSfCD,Cmd-bACD,bf-ID,bf-C,bf-Sm,bf-Sf,bf-A,Cmd-bf,f_gr,f_t,f_sm,f_sf
0,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0.001372851,0.57471263,0.8196721,1.3957577,LBFLFBFLFBRRRRBRRBFRBBLBFRRLFLLLLRRRRBLBFFLFLBRFFRFBBRRLRRLBBBBFFRBRBLRBRRFLLFLFLRBBLRFRFLFBFLLRFRLR,0.0357282,0.01,0.57471263,0.8196721
1,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,0.0014804504,0.5882353,0.7936508,1.3833666,BRRRLLFLBRR8FLLBLRRFLLRFB8RBBFRRFLBRBLFFBBFRFBRRFRRFLRBRBRBRRR8RRBBBBLFRRFRBFBRFLLLFBLFFLLFBBLFFFFBB,0.037051026,0.01,0.5882353,0.7936508
2,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0014804504,0.56179774,0.36900368,0.93228185,LLRRBLLRFBBFFRLFBBLFRRFR1BBBRBBLFRBRLLFBLBFRRRLFLFBFFLFRFFRBRBRRBRBLBRLRBLBLRBLLFRFFLRRFBFBBRBBLFBLR,0.037051026,0.01,0.56179774,0.36900368
3,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0014804504,0.5882353,0.4854369,1.0751526,FRBRLRBB1FLR8LRLLFRRBLLLLRLRFBBRRFBBFFLFLRRBBFBLFRFRRBBFLFRRFBLRFRRRRRRFBRBRRBRRRRRFFFRFRLLRBLRBBRLF,0.037051026,0.01,0.5882353,0.4854369
4,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0014804504,0.5714286,0.66225165,1.2351607,RBRFLFBBF1RRRR8FBFLLRBRFFLBRRRLBLFFFBLBLRRRLBRLLFFFRFBLRBLLRBLLBRRFFLFLRFRRF0RRLFLBLBBLRBFBFBLFLLLBF,0.037051026,0.01,0.5714286,0.66225165
5,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,0.00186373,0.591716,0.47619048,1.0697702,BBFRRLF8FFRRFRLBLRRLLLRFBLR1LL2RRLBRBL8FFLRR11RLFRFFLBBFBBBRRRRRRBRRLLFFBBRBFBRFB1BF1FFFL1FFBBBBRBRL,0.04138434,0.01,0.591716,0.47619048
6,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00186373,0.591716,0.47619048,1.0697702,BBFRRLF8FFRRFRLBLRRLLLRFBLR1LL2RRLBRBL8FFLRR11RLFRFFLBBFBBBRRRRRRBRRLLFFBBRBFBRFB1BF1FFFL1FFBBBBRBRL,0.04138434,0.01,0.591716,0.47619048
7,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00186373,0.591716,0.47619048,1.0697702,BBFRRLF8FFRRFRLBLRRLLLRFBLR1LL2RRLBRBL8FFLRR11RLFRFFLBBFBBBRRRRRRBRRLLFFBBRBFBRFB1BF1FFFL1FFBBBBRBRL,0.04138434,0.01,0.591716,0.47619048
8,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00186373,0.591716,0.47619048,1.0697702,BBFRRLF8FFRRFRLBLRRLLLRFBLR1LL2RRLBRBL8FFLRR11RLFRFFLBBFBBBRRRRRRBRRLLFFBBRBFBRFB1BF1FFFL1FFBBBBRBRL,0.04138434,0.01,0.591716,0.47619048
9,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00186373,0.591716,0.47619048,1.0697702,BBFRRLF8FFRRFRLBLRRLLLRFBLR1LL2RRLBRBL8FFLRR11RLFRFFLBBFBBBRRRRRRBRRLLFFBBRBFBRFB1BF1FFFL1FFBBBBRBRL,0.04138434,0.01,0.591716,0.47619048
10,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00186373,0.591716,0.47619048,1.0697702,BBFRRLF8FFRRFRLBLRRLLLRFBLR1LL2RRLBRBL8FFLRR11RLFRFFLBBFBBBRRRRRRBRRLLFFBBRBFBRFB1BF1FFFL1FFBBBBRBRL,0.04138434,0.01,0.591716,0.47619048
11,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00186373,0.591716,0.47619048,1.0697702,BBFRRLF8FFRRFRLBLRRLLLRFBLR1LL2RRLBRBL8FFLRR11RLFRFFLBBFBBBRRRRRRBRRLLFFBBRBFBRFB1BF1FFFL1FFBBBBRBRL,0.04138434,0.01,0.591716,0.47619048
12,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00186373,0.591716,0.47619048,1.0697702,BBFRRLF8FFRRFRLBLRRLLLRFBLR1LL2RRLBRBL8FFLRR11RLFRFFLBBFBBBRRRRRRBRRLLFFBBRBFBRFB1BF1FFFL1FFBBBBRBRL,0.04138434,0.01,0.591716,0.47619048
13,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00186373,0.591716,0.47619048,1.0697702,BBFRRLF8FFRRFRLBLRRLLLRFBLR1LL2RRLBRBL8FFLRR11RLFRFFLBBFBBBRRRRRRBRRLLFFBBRBFBRFB1BF1FFFL1FFBBBBRBRL,0.04138434,0.01,0.591716,0.47619048
14,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00186373,0.591716,0.47619048,1.0697702,BBFRRLF8FFRRFRLBLRRLLLRFBLR1LL2RRLBRBL8FFLRR11RLFRFFLBBFBBBRRRRRRBRRLLFFBBRBFBRFB1BF1FFFL1FFBBBBRBRL,0.04138434,0.01,0.591716,0.47619048
15,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00186373,0.591716,0.47619048,1.0697702,BBFRRLF8FFRRFRLBLRRLLLRFBLR1LL2RRLBRBL8FFLRR11RLFRFFLBBFBBBRRRRRRBRRLLFFBBRBFBRFB1BF1FFFL1FFBBBBRBRL,0.04138434,0.01,0.591716,0.47619048
16,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00186373,0.591716,0.47619048,1.0697702,BBFRRLF8FFRRFRLBLRRLLLRFBLR1LL2RRLBRBL8FFLRR11RLFRFFLBBFBBBRRRRRRBRRLLFFBBRBFBRFB1BF1FFFL1FFBBBBRBRL,0.04138434,0.01,0.591716,0.47619048
17,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00186373,0.591716,0.47619048,1.0697702,BBFRRLF8FFRRFRLBLRRLLLRFBLR1LL2RRLBRBL8FFLRR11RLFRFFLBBFBBBRRRRRRBRRLLFFBBRBFBRFB1BF1FFFL1FFBBBBRBRL,0.04138434,0.01,0.591716,0.47619048
18,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00186373,0.591716,0.47619048,1.0697702,BBFRRLF8FFRRFRLBLRRLLLRFBLR1LL2RRLBRBL8FFLRR11RLFRFFLBBFBBBRRRRRRBRRLLFFBBRBFBRFB1BF1FFFL1FFBBBBRBRL,0.04138434,0.01,0.591716,0.47619048
19,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00186373,0.591716,0.47619048,1.0697702,BBFRRLF8FFRRFRLBLRRLLLRFBLR1LL2RRLBRBL8FFLRR11RLFRFFLBBFBBBRRRRRRBRRLLFFBBRBFBRFB1BF1FFFL1FFBBBBRBRL,0.04138434,0.01,0.591716,0.47619048
20,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00186373,0.591716,0.47619048,1.0697702,BBFRRLF8FFRRFRLBLRRLLLRFBLR1LL2RRLBRBL8FFLRR11RLFRFFLBBFBBBRRRRRRBRRLLFFBBRBFBRFB1BF1FFFL1FFBBBBRBRL,0.04138434,0.01,0.591716,0.47619048
21,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00186373,0.591716,0.47619048,1.0697702,BBFRRLF8FFRRFRLBLRRLLLRFBLR1LL2RRLBRBL8FFLRR11RLFRFFLBBFBBBRRRRRRBRRLLFFBBRBFBRFB1BF1FFFL1FFBBBBRBRL,0.04138434,0.01,0.591716,0.47619048
