genID,reachGoal,bC-ID,bC-C,bC-Sm,bC-Sf,bC-A,bSm-ID,bSm-C,bSm-Sm,bSm-Sf,bSm-A,bSf-ID,bSf-C,bSf-Sm,bSf-Sf,bSf-A,bA-ID,bA-C,bA-Sm,bA-Sf,bA-A,bCCD-ID,bCCD-C,bCCD-Sm,bCCD-Sf,bCCD-A,bSmCD-ID,bSmCD-C,bSmCD-Sm,bSmCD-Sf,bSmCD-A,bSfCD-ID,bSfCD-C,bSfCD-Sm,bSfCD-Sf,bSfCD-A,bACD-ID,bACD-C,bACD-Sm,bACD-Sf,bACD-A,Cmd-bCCD,Cmd-bSmCD,Cmd-bSfCD,Cmd-bACD,bf-ID,bf-C,bf-Sm,bf-Sf,bf-A,Cmd-bf,f_gr,f_t,f_sm,f_sf
0,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211,0.0020044032,0.61349696,0.7518797,1.3673811,RFFRFLLRRFBRRFBBFLRLLFLFRBBFRRRFLLLBLLBBBRRFRLBBRFFFRFRBFLBBFLLLLFFRRFBLRLLFLLLLRLLRLFFBLLRLLBBBBBLB,0.042893216,0.0,0.22699392,0.7518797
1,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,0.00546888,0.67241377,0.9285714,1.6064541,BLLFFLFFLFFLLFFRFLFLLLBRBBLBLFLBLBBBBBRFLLLLBBRRBBLLBBBBBBLLLLBBRRRRRRFFLLFFFF,0.0690356,0.22000003,0.34482753,0.9285714
2,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,0.0068161367,0.62222224,0.5675676,1.1966059,RRBLFLFFRBLFLFRFFLBBRBLLFFLFFRBRBRFFLBBLBLFFLLFLLBBBLBBLBLLLBBBBRRBBRRBBRRFFRRRRRRBB,0.07650484,0.16000003,0.24444449,0.5675676
3,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227,0.06386979,0.609375,0.48447204,1.1577168,BLFRFLFFLFFLLBFLFBFLBLBRLBLBLLBBFBBBFBRFLLRFBBBBBBBLBBRRBBLLRRBBRRLRRRRRLLRFRR,0.20710677,0.22000003,0.21875,0.48447204
4,T,62.0,1.0,0.65384614,0.41975307,2.0735993,82.0,1.0,0.65957445,0.45255473,2.1121292,82.0,1.0,0.65957445,0.45255473,2.1121292,82.0,1.0,0.65957445,0.45255473,2.1121292,62.0,99999.0,99999.0,99999.0,299997.0,62.0,99999.0,99999.0,99999.0,299997.0,62.0,99999.0,99999.0,99999.0,299997.0,62.0,99999.0,99999.0,99999.0,299997.0,BLFRFLFFLFFLLLFLBLBBLBLLBBBBRFLBBBBBBLBBRRBBBBRRRRRFRRFFLLBBRRFFRRFF,BLFRFLFFLFFLLLFLBLBBLBLLBBBBRFLBBBBBBLBBRRBBBBRRRRRFRRFFLLBBRRFFRRFF,BLFRFLFFLFFLLLFLBLBBLBLLBBBBRFLBBBBBBLBBRRBBBBRRRRRFRRFFLLBBRRFFRRFF,BLFRFLFFLFFLLLFLBLBBLBLLBBBBRFLBBBBBBLBBRRBBBBRRRRRFRRFFLLBBRRFFRRFF,,,,,,,1.0,0.32,0.3076923,0.41975307
5,T,0.0,1.0,0.65384614,0.41975307,2.0735993,170.0,1.0,0.72727275,0.41379312,2.1410658,188.0,1.0,0.68292683,0.45528457,2.1382115,170.0,1.0,0.72727275,0.41379312,2.1410658,3.0,0.0,0.25996274,0.11466372,0.37462646,189.0,0.0,0.016003525,0.41021267,0.42621619,196.0,99999.0,99999.0,0.10595569,199998.11,195.0,0.0,0.10094474,0.11613668,0.21708143,BLFRFLFFLFFLLLFLBLBBLBLLBBBBRFLBBBBBBLBBRRBBBBRRRRRFRRFFFFRRBB,BLFRFLFFLFFLLLLLBBLBLBBBBLBBBBBBBRBBBBRRRRRRRFFRFRFF,BLFRFLFFLFFLLLFLBLBBLBLLBBBBRFLBBBBBBLBBRRBBBBRRRRRFRRFFLLBRRFRRFF,BLFRFLFFLFLLLLLBLBLBBBBLBBBBBLBBRRBBBBRRRRRRRFFFRRFF,,,,,,,1.0,0.48000002,0.36842108,0.4262295
6,T,0.0,1.0,0.65384614,0.41975307,2.0735993,186.0,1.0,0.71428573,0.41666666,2.1309524,156.0,1.0,0.6666667,0.5090909,2.1757576,156.0,1.0,0.6666667,0.5090909,2.1757576,3.0,0.0,0.008677678,0.115396895,0.12407457,181.0,0.0,0.0071676755,0.07398725,0.08115493,0.0,99999.0,0.06347359,0.03232842,99999.09,181.0,0.0,0.0071676755,0.07398725,0.08115493,BLFRFLFFLFFLLLFLBLBBLBLLBBBBRFLBBBBBBLBBRRBBBBRRRRRFRRFFFFRRBB,BLFRFLFFLFFLLLFLBLBBLBLBBBBLBBBBBLBBRRBBBBRRRRRFRRFFFFRRBB,BLFRFLFFLFFLLLFLBLBBLBLLBBBBRFLBBBBBBLBBRRBBBBRRRRRFRRFFLLBBRRFFRRFF,BLFRFLFFLFFLLLFLBLBBLBLBBBBLBBBBBLBBRRBBBBRRRRRFRRFFFFRRBB,,,,,,,1.0,0.42000002,0.31818187,0.4113475
7,T,0.0,1.0,0.65384614,0.41975307,2.0735993,186.0,1.0,0.7222222,0.38518518,2.1074073,37.0,1.0,0.6666667,0.5090909,2.1757576,37.0,1.0,0.6666667,0.5090909,2.1757576,1.0,0.0,0.004290327,0.04558546,0.04987579,57.0,0.0,0.0037762492,0.46015522,0.46393147,0.0,99999.0,0.051130626,0.0063752956,99999.06,151.0,0.0,0.018959522,0.013541222,0.032500744,BLFRFLFFLFFLLLFLBLBBLBLLBBBBRFLBBBBBBLBBRRBBBBRRRRRFRRFFFFRRBB,BLFRFLFFLFFLLLFLBLBLBLBBBBBBBBBBLBBRRBBBBRRRRRFRRFFLLBBRRFFRFF,BLFRFLFFLFFLLLFLBLBBLBLLBBBBRFLBBBBBBLBBRRBBBBRRRRRFRRFFLLBBRRFFRRFF,BLFRFLFFLFFLLLLLBBLBLLBBBBBBBBBLBBRRBBBBRRRRRFFRRFRRFF,,,,,,,1.0,0.45999998,0.38461542,0.446281
8,T,0.0,1.0,0.65384614,0.41975307,2.0735993,22.0,1.0,0.7222222,0.38518518,2.1074073,6.0,1.0,0.65217394,0.4918033,2.1439772,191.0,1.0,0.7222222,0.4369748,2.159197,2.0,0.0,0.11559417,0.0122353025,0.12782948,96.0,0.0,0.0,0.09450579,0.09450579,176.0,0.0,0.25045374,0.003502773,0.25395653,13.0,0.0,0.010719741,0.0062605655,0.016980305,BLFRFLFFLFFLLLLLBBLBLLBBBBBBBBBLBBRRBBBBRRRRRFRRFFLLBBRRFFRRFF,BLFRFLFFLFLLLFLLBBLBLLBBBBRFLBBBBBBLBBRRBBBBRRRRRFRRFFLLBRRFRRFF,BLFRFLFFLFFLLLLLBBLBLLBBBBBBBBBLBBRRBBBBRRRRRFRRFFLLBRRFRRFF,BLFRFLFFLFFLLLFLBLBBLBLLBBBBRFLBBBBBBBBRBBBBRRRRRFFRRFRRFF,,,,,,,1.0,0.42000002,0.31818187,0.43609023
9,T,0.0,1.0,0.65384614,0.41975307,2.0735993,7.0,1.0,0.7222222,0.38518518,2.1074073,31.0,1.0,0.65217394,0.4918033,2.1439772,31.0,1.0,0.65217394,0.4918033,2.1439772,1.0,0.0,0.42983288,0.10746605,0.5372989,10.0,0.0,0.005662029,0.54732037,0.5529824,0.0,99999.0,0.076664194,0.006144432,99999.086,3.0,0.0,0.0064328266,0.026657116,0.033089943,BLFRFLFFLFFLLLLLBBLBLLBBBBBBBBBLBBRRBBBBRRRRRFRRFFLLBBRRFFRRFF,BLFRFLFFLFFLLLFLBLBLBLBBBBBBBBBBLBBRRBBBBRRRRRFRRFFLLBBRRFFRFF,BLFRFLFFLFFLLLFLBLBBLBLLBBBBRFLBBBBBBLBBRRBBBBRRRRRFRRFFLLBBRRFFRRFF,BLFRFLFFLFFLLLFLBLBBLBLLBBBBRFLBBBBBBLBBRRBBBBRRRRRFRRFFFFRRBB,,,,,,,1.0,0.38,0.3191489,0.45255473
