genID,reachGoal,bC-ID,bC-C,bC-Sm,bC-Sf,bC-A,bSm-ID,bSm-C,bSm-Sm,bSm-Sf,bSm-A,bSf-ID,bSf-C,bSf-Sm,bSf-Sf,bSf-A,bA-ID,bA-C,bA-Sm,bA-Sf,bA-A,bCCD-ID,bCCD-C,bCCD-Sm,bCCD-Sf,bCCD-A,bSmCD-ID,bSmCD-C,bSmCD-Sm,bSmCD-Sf,bSmCD-A,bSfCD-ID,bSfCD-C,bSfCD-Sm,bSfCD-Sf,bSfCD-A,bACD-ID,bACD-C,bACD-Sm,bACD-Sf,bACD-A,Cmd-bCCD,Cmd-bSmCD,Cmd-bSfCD,Cmd-bACD,bf-ID,bf-C,bf-Sm,bf-Sf,bf-A,Cmd-bf,f_gr,f_t,f_sm,f_sf
0,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,2.4616913E-4,0.5703422,0.9666714,1.5372598,LLLRLFFRLFBRBFBBLLFFFBBFLFRBRFLLFRRBLBFRLBBLRLBLLLFLBFFBRRFRFFLBBRRFLFBBFBFBBRRBRFFRLRRRFLFRLFLFFFRRLRLLRRRBLLRFFFFLRBFFRFBFRFFFFRBRRLFLRFBBRBLRBBBRRLRLBLRRRLRRRBLLBBLBBRLBLRLFLFBFFLRLRFFRFLRLBFRFRLRLLRBLRBFLLBRFRBRRRRRBFRBRBRLRFBRRLLBRBBFBLRRBRFRLFRBLBBFFBFRBLBBRRRFLRLLRBRBBRLBBFLFLBLFFLRLFBLLRLFFB,0.015449284,0.0,0.14068437,0.9666714
1,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218,4.2822617E-4,0.5628518,0.43316716,0.99644715,BFBFFBBLRRRFBLLRRRFRRLBRBFRLLRLLRFLBLRLFLFFBBBRLFRLBLBFRRFBFRBFRRLFBBRLRLRRRLFBBRFFBLFLBRRFRBLRLBFFLBLRLRRLRRLBRFRBRRFRLFBRFBRFBLBFLRRLRRRBRLFRFRRRBRLLRLBRFRFRLLRLBFBLLRRRFBBLBRRLBRLFBBFBBFFBBBLRFFBRRLLBBBBBFBLRFBBBBRLBFFBBLFFRRBLBRLFRLFFBFRLRLBRRLLRFLBRBLBBBRLRLRRLRBLFFBLBFLRFBFFBRLFBBFFLRBRLFBRLFL,0.020278336,0.0,0.12570357,0.43316716
2,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,4.5442928E-4,0.5934066,0.4529422,1.0468032,BFBFFBBLRRRFBLLRRRFRRLBRBFRLLRLLRFLBLRLFLFFBBBRLFRLBLBFRRFBFRBFRRLFBBRLRLRRRLFBBRFFBLFLBRRFRBLRLBFFLBLRLRRLRRLBRFRBRRFRLFBRFBRFBLBFLRRLRRRBRLFRFRRRBRLLRLBRFRFRLLRLBFBLLRRRFBBLBRRLBRLFBBFBBFFBBBBBBBBBBBLFFRRBLFRFLBRBLBBBRRBLFLFFLBBBBRRRRFFLLFFLLBBRRFFRRBBBBBBLLFFFFRRRRRR,0.020877047,0.100000024,0.18681324,0.4529422
3,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,5.807104E-4,0.60393876,0.53284657,1.137366,BRLRFLRBFBRLRFBRRRFFLBLRRBLRRRLFLRBLRRLRRRRRRLLLLLFBLLFBRFBLRBFRRBFFLRBLLLFFLBFBBFRRFRBBRRFBFLBRRFRBBFRFBFBRLRRFBLBLFRLLBFFLBFBLRFRFLFRBLBBRRFRRRBFRRBFBLFRFRBLRLBRLLFBFBFBRLLRRRRBLFRRRBBLLFRBBLFFRFRBLBRBLBBBBBLBRBBRFRBBBBBBBLLBBLLLLLLFFFFFFFFFFLLFFFFFFRRBBRRRRFFRRRRBBLLFFLRRR,0.023537563,0.07999998,0.20787752,0.53284657
4,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,9.13496E-4,0.59821427,0.5495367,1.1486645,RRRRRFBRLRRLRRRLLRRLLLRLRRLLRRBFRLLLRFRRRLBRRFRRLRRFBLBLRRRFBRLFLBLRFLRFFRRRBBLRLBRLRFBRRRRFBBFRFBBLBBRBBLRLBBRLFLRRBLBLRBBLFRFFFBBFBFRFBLBFBFBRLBBBRFLBBFFFFBLFRRBBLBRBLBRBRFLBLBBBRRFLLBBLBRBLFRBLLFRFRRFFLBRFFLBBBBLBRFLBLLBBRRBBLLFFLLBBBBLLFFLLBBLLLLBBLLBBLLBBLLLLFFRR,0.029350415,0.106666684,0.19642854,0.5495367
5,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9.13496E-4,0.59821427,0.5495367,1.1486645,RRRRRFBRLRRLRRRLLRRLLLRLRRLLRRBFRLLLRFRRRLBRRFRRLRRFBLBLRRRFBRLFLBLRFLRFFRRRBBLRLBRLRFBRRRRFBBFRFBBLBBRBBLRLBBRLFLRRBLBLRBBLFRFFFBBFBFRFBLBFBFBRLBBBRFLBBFFFFBLFRRBBLBRBLBRBRFLBLBBBRRFLLBBLBRBLFRBLLFRFRRFFLBRFFLBBBBLBRFLBLLBBRRBBLLFFLLBBBBLLFFLLBBLLLLBBLLBBLLBBLLLLFFRR,0.029350415,0.106666684,0.19642854,0.5495367
6,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,9.467065E-4,0.6212121,0.49458092,1.1167397,RRLRRRLLRRRLRLRLLRRLRLRLRLFLBBFLRLRRRRRFLBRRLLRRLRRFRBLRRRRLLRLFFRBLFBRBLRRFLLRBRRRLRBFRRRRRLRFRLBBRBBBFLRBBRLRBLBFBFBBRRLLBBRFBLFBLRFBFRLBFBBFLFRFBFBBBRBLBBBBBBBLBRFLLBLLLBBLFLLLFLLLFRBLLLLFFRRFFLLFFRRRRRRRRRRFFLLBBLLBBRRFFFFRRRRFFRRBBRRRRRRBBBB,0.029863866,0.18,0.24242425,0.49458092
7,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,0.0014421454,0.7076923,0.6484455,1.35758,BRRRRRFLLBLFLBRRFFRRBLBRRRRFRBRRRRRRBRRFRRRBBRBBBBBLBBBBBRBLBBBBBBBRFFFFLBBBLBLLLBLLLLLLFLLBRFFRBLBBRRFFLLLLLLBBRRRRBBLLBBLLLLBBLLLLLLLLFFLLLLFFLLLLLLFFRRBBLLFFLLLLLLLLFFRRFFFFFFLLBBBB,0.03661165,0.38666666,0.41538465,0.6484455
8,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,0.0015581569,0.61728394,0.49308228,1.1119244,RRRRRFBRLRRLRRRLBRRLFLRLRRLRRLLLRLBLRFLRRLRRRLRRLRRFBRLLRLRFBRLRLRLRFRRLRRRRBBRRLBRRRBBRRBRFBBBFLBBLBBRBBLLLLBRLFLRFBBBBFLBRFBFBFFBFBFBFBFFFBFBFBBBBBFFBBFFBRFRRBBLLLBRBRFLBLLBRBLFFRFRFFLBBLBBLBLLLLLLLLLBLLLBBRFLBLLLLBBLLFFFFFFLLLLFFLLFFRRBBLLLLFFFFBB,0.038003005,0.16666669,0.23456788,0.49308228
9,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0015581569,0.61728394,0.49308228,1.1119244,RRRRRFBRLRRLRRRLBRRLFLRLRRLRRLLLRLBLRFLRRLRRRLRRLRRFBRLLRLRFBRLRLRLRFRRLRRRRBBRRLBRRRBBRRBRFBBBFLBBLBBRBBLLLLBRLFLRFBBBBFLBRFBFBFFBFBFBFBFFFBFBFBBBBBFFBBFFBRFRRBBLLLBRBRFLBLLBRBLFFRFRFFLBBLBBLBLLLLLLLLLBLLLBBRFLBLLLLBBLLFFFFFFLLLLFFLLFFRRBBLLLLFFFFBB,0.038003005,0.16666669,0.23456788,0.49308228
